4. НАСЕЛЕНИЕ ЧАСТНЫХ ДОМОХОЗЯЙСТВ В ВОЗРАСТЕ 15-64 ЛЕТ ПО ЭКОНОМИЧЕСКОЙ АКТИВНОСТИ И УРОВНЮ ОБРАЗОВАНИЯ  ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ											
											
	Всего	Имеющие образование								Не имеющие начального общего образования	Не указавшие уровень образования
Сельское население	926505.0	2913.0	132486.0	26625.0	275007.0	131575.0	192574.0	129526.0	24848.0	1865.0	9086.0
Экономически активные	656438.0	2549.0	111973.0	16795.0	226928.0	105701.0	131656.0	52528.0	6607.0	414.0	1287.0
в том числе:											
занятые в экономике	610787.0	2428.0	107360.0	15322.0	214127.0	97875.0	120501.0	45846.0	5773.0	383.0	1172.0
из них:											
учащиеся	19062.0	86.0	1331.0	4505.0	5087.0	1152.0	6041.0	758.0	57.0	6.0	39.0
безработные	45651.0	121.0	4613.0	1473.0	12801.0	7826.0	11155.0	6682.0	834.0	31.0	115.0
из них:											
учащиеся	3567.0	9.0	62.0	646.0	444.0	134.0	1433.0	751.0	70.0	-	18.0
Экономически неактивные	229670.0	292.0	17810.0	8413.0	42654.0	23438.0	53873.0	65935.0	15085.0	1216.0	954.0
Орловская область											
Городское и сельское  население	580690.0	1581.0	94312.0	15581.0	169352.0	100076.0	103142.0	74380.0	16311.0	1434.0	4521.0
Экономически активные	377577.0	1409.0	80139.0	8021.0	132874.0	74084.0	57533.0	20482.0	2625.0	122.0	288.0
в том числе:											
занятые в экономике	343744.0	1360.0	75872.0	6833.0	122462.0	66771.0	50687.0	17206.0	2210.0	82.0	261.0
из них:											
учащиеся	10282.0	63.0	858.0	2533.0	3109.0	774.0	2711.0	218.0	13.0	-	3.0
безработные	33833.0	49.0	4267.0	1188.0	10412.0	7313.0	6846.0	3276.0	415.0	40.0	27.0
из них:											
учащиеся	3171.0	13.0	45.0	673.0	398.0	131.0	1464.0	435.0	12.0	-	-
Экономически неактивные	190254.0	165.0	13511.0	7243.0	35140.0	25101.0	44033.0	50905.0	12577.0	1203.0	376.0
Городское население	388727.0	1433.0	78012.0	13046.0	122619.0	56024.0	69328.0	38071.0	5378.0	506.0	4310.0
Экономически активные	264359.0	1287.0	66935.0	6639.0	98040.0	43517.0	37892.0	8802.0	963.0	74.0	210.0
в том числе:											
занятые в экономике	240635.0	1244.0	63235.0	5580.0	90139.0	39042.0	33183.0	7153.0	812.0	46.0	201.0
из них:											
учащиеся	8732.0	57.0	766.0	2210.0	2584.0	626.0	2299.0	180.0	9.0	-	1.0
безработные	23724.0	43.0	3700.0	1059.0	7901.0	4475.0	4709.0	1649.0	151.0	28.0	9.0
из них:											
учащиеся	2882.0	13.0	45.0	635.0	354.0	104.0	1338.0	385.0	8.0	-	-
Экономически неактивные	116369.0	139.0	10651.0	6205.0	23854.0	12211.0	30558.0	27995.0	4086.0	398.0	272.0
Сельское население	191963.0	148.0	16300.0	2535.0	46733.0	44052.0	33814.0	36309.0	10933.0	928.0	211.0
Экономически активные	113218.0	122.0	13204.0	1382.0	34834.0	30567.0	19641.0	11680.0	1662.0	48.0	78.0
в том числе:											
занятые в экономике	103109.0	116.0	12637.0	1253.0	32323.0	27729.0	17504.0	10053.0	1398.0	36.0	60.0
из них:											
учащиеся	1550.0	6.0	92.0	323.0	525.0	148.0	412.0	38.0	4.0	-	2.0
безработные	10109.0	6.0	567.0	129.0	2511.0	2838.0	2137.0	1627.0	264.0	12.0	18.0
из них:											
учащиеся	289.0	-	-	38.0	44.0	27.0	126.0	50.0	4.0	-	-
Экономически неактивные	73885.0	26.0	2860.0	1038.0	11286.0	12890.0	13475.0	22910.0	8491.0	805.0	104.0
Рязанская область											
Городское и сельское  население	824612.0	1591.0	129406.0	22298.0	256647.0	129603.0	139995.0	107126.0	24419.0	2711.0	10816.0
Экономически активные	531401.0	1338.0	108412.0	13336.0	199635.0	94656.0	77800.0	30930.0	4546.0	243.0	505.0
в том числе:											
занятые в экономике	486985.0	1300.0	103628.0	11625.0	185618.0	85683.0	68981.0	25870.0	3685.0	214.0	381.0
из них:											
учащиеся	19055.0	53.0	1404.0	5175.0	6013.0	1299.0	4612.0	472.0	24.0	-	3.0
безработные	44416.0	38.0	4784.0	1711.0	14017.0	8973.0	8819.0	5060.0	861.0	29.0	124.0
из них:											
учащиеся	4264.0	-	83.0	1095.0	574.0	164.0	1858.0	469.0	21.0	-	-
Экономически неактивные	277073.0	247.0	20571.0	8855.0	55816.0	34229.0	61177.0	73698.0	18921.0	2367.0	1192.0
Городское население	598362.0	1443.0	111487.0	19892.0	200822.0	79939.0	102355.0	60588.0	10156.0	1076.0	10604.0
Экономически активные	399802.0	1233.0	94232.0	11756.0	158769.0	60546.0	55678.0	15174.0	1854.0	113.0	447.0
в том числе:											
занятые в экономике	368765.0	1198.0	90169.0	10184.0	148005.0	55228.0	49402.0	12599.0	1547.0	104.0	329.0
из них:											
учащиеся	16714.0	48.0	1313.0	4710.0	5150.0	1090.0	3991.0	388.0	23.0	-	1.0
безработные	31037.0	35.0	4063.0	1572.0	10764.0	5318.0	6276.0	2575.0	307.0	9.0	118.0
из них:											
учащиеся	3940.0	-	72.0	1042.0	527.0	156.0	1751.0	384.0	8.0	-	-
Экономически неактивные	185520.0	204.0	16915.0	8037.0	41226.0	19020.0	46007.0	44125.0	7975.0	927.0	1084.0
Сельское население	226250.0	148.0	17919.0	2406.0	55825.0	49664.0	37640.0	46538.0	14263.0	1635.0	212.0
Экономически активные	131599.0	105.0	14180.0	1580.0	40866.0	34110.0	22122.0	15756.0	2692.0	130.0	58.0
в том числе:											
занятые в экономике	118220.0	102.0	13459.0	1441.0	37613.0	30455.0	19579.0	13271.0	2138.0	110.0	52.0
из них:											
учащиеся	2341.0	5.0	91.0	465.0	863.0	209.0	621.0	84.0	1.0	-	2.0
безработные	13379.0	3.0	721.0	139.0	3253.0	3655.0	2543.0	2485.0	554.0	20.0	6.0
из них:											
учащиеся	324.0	-	11.0	53.0	47.0	8.0	107.0	85.0	13.0	-	-
Экономически неактивные	91553.0	43.0	3656.0	818.0	14590.0	15209.0	15170.0	29573.0	10946.0	1440.0	108.0
Смоленская область											
Городское и сельское  население	712146.0	1376.0	108299.0	16168.0	237720.0	102258.0	122214.0	96594.0	20004.0	2185.0	5328.0
Экономически активные	471750.0	1177.0	91519.0	10283.0	186906.0	74946.0	70528.0	31361.0	4224.0	211.0	595.0
в том числе:											
занятые в экономике	427752.0	1131.0	87495.0	9007.0	172621.0	66597.0	61405.0	25531.0	3313.0	133.0	519.0
из них:											
учащиеся	16049.0	53.0	1200.0	3126.0	5635.0	1195.0	4392.0	405.0	40.0	2.0	1.0
безработные	43998.0	46.0	4024.0	1276.0	14285.0	8349.0	9123.0	5830.0	911.0	78.0	76.0
из них:											
учащиеся	4215.0	5.0	120.0	632.0	669.0	146.0	1980.0	610.0	43.0	3.0	7.0
Экономически неактивные	227169.0	181.0	16169.0	5689.0	48942.0	26495.0	50062.0	61938.0	14852.0	1907.0	934.0
Городское население	524352.0	1303.0	93021.0	14150.0	187169.0	65052.0	91224.0	56915.0	9264.0	1091.0	5163.0
Экономически активные	359853.0	1123.0	79194.0	8916.0	149641.0	49517.0	52009.0	16688.0	2060.0	157.0	548.0
в том числе:											
занятые в экономике	328502.0	1077.0	75734.0	7778.0	138610.0	44314.0	45345.0	13481.0	1602.0	86.0	475.0
из них:											
учащиеся	13984.0	51.0	1100.0	2787.0	4818.0	1025.0	3807.0	355.0	38.0	2.0	1.0
безработные	31351.0	46.0	3460.0	1138.0	11031.0	5203.0	6664.0	3207.0	458.0	71.0	73.0
из них:											
учащиеся	3721.0	5.0	105.0	590.0	584.0	127.0	1774.0	495.0	31.0	3.0	7.0
Экономически неактивные	154100.0	168.0	13317.0	5049.0	36080.0	14966.0	37934.0	38122.0	6723.0	890.0	851.0
Сельское население	187794.0	73.0	15278.0	2018.0	50551.0	37206.0	30990.0	39679.0	10740.0	1094.0	165.0
Экономически активные	111897.0	54.0	12325.0	1367.0	37265.0	25429.0	18519.0	14673.0	2164.0	54.0	47.0
в том числе:											
занятые в экономике	99250.0	54.0	11761.0	1229.0	34011.0	22283.0	16060.0	12050.0	1711.0	47.0	44.0
из них:											
учащиеся	2065.0	2.0	100.0	339.0	817.0	170.0	585.0	50.0	2.0	-	-
безработные	12647.0	-	564.0	138.0	3254.0	3146.0	2459.0	2623.0	453.0	7.0	3.0
из них:											
учащиеся	494.0	-	15.0	42.0	85.0	19.0	206.0	115.0	12.0	-	-
Экономически неактивные	73069.0	13.0	2852.0	640.0	12862.0	11529.0	12128.0	23816.0	8129.0	1017.0	83.0
Тамбовская область											
Городское и сельское  население	791506.0	1552.0	112878.0	17699.0	239271.0	124354.0	150728.0	111646.0	26435.0	2995.0	3948.0
Экономически активные	480602.0	1283.0	92085.0	9118.0	176728.0	85821.0	80386.0	30453.0	3950.0	287.0	491.0
в том числе:											
занятые в экономике	412683.0	1233.0	85410.0	7578.0	154304.0	71789.0	65541.0	23243.0	3060.0	187.0	338.0
из них:											
учащиеся	10055.0	38.0	814.0	2841.0	2932.0	650.0	2510.0	257.0	12.0	-	1.0
безработные	67919.0	50.0	6675.0	1540.0	22424.0	14032.0	14845.0	7210.0	890.0	100.0	153.0
из них:											
учащиеся	4340.0	2.0	96.0	786.0	466.0	175.0	1774.0	1014.0	23.0	-	4.0
Экономически неактивные	300241.0	262.0	20226.0	8367.0	60848.0	37602.0	68865.0	79093.0	21627.0	2625.0	726.0
Городское население	473404.0	1310.0	86454.0	13768.0	159177.0	63023.0	87644.0	50123.0	8085.0	989.0	2831.0
Экономически активные	304775.0	1100.0	70839.0	7057.0	120090.0	45497.0	46248.0	12068.0	1383.0	142.0	351.0
в том числе:											
занятые в экономике	263547.0	1059.0	65765.0	5834.0	105069.0	38075.0	37344.0	9007.0	1066.0	98.0	230.0
из них:											
учащиеся	7918.0	33.0	720.0	2235.0	2262.0	486.0	1981.0	189.0	11.0	-	1.0
безработные	41228.0	41.0	5074.0	1223.0	15021.0	7422.0	8904.0	3061.0	317.0	44.0	121.0
из них:											
учащиеся	3280.0	2.0	87.0	670.0	353.0	131.0	1366.0	652.0	15.0	-	4.0
Экономически неактивные	162336.0	203.0	15170.0	6578.0	37984.0	17084.0	40497.0	37027.0	6425.0	823.0	545.0
Сельское население	318102.0	242.0	26424.0	3931.0	80094.0	61331.0	63084.0	61523.0	18350.0	2006.0	1117.0
Экономически активные	175827.0	183.0	21246.0	2061.0	56638.0	40324.0	34138.0	18385.0	2567.0	145.0	140.0
в том числе:											
занятые в экономике	149136.0	174.0	19645.0	1744.0	49235.0	33714.0	28197.0	14236.0	1994.0	89.0	108.0
из них:											
учащиеся	2137.0	5.0	94.0	606.0	670.0	164.0	529.0	68.0	1.0	-	-
безработные	26691.0	9.0	1601.0	317.0	7403.0	6610.0	5941.0	4149.0	573.0	56.0	32.0
из них:											
учащиеся	1060.0	-	9.0	116.0	113.0	44.0	408.0	362.0	8.0	-	-
Экономически неактивные	137905.0	59.0	5056.0	1789.0	22864.0	20518.0	28368.0	42066.0	15202.0	1802.0	181.0
Тверская область											
Городское и сельское  население	980308.0	2276.0	142534.0	24173.0	328088.0	157382.0	163416.0	122207.0	27263.0	2465.0	10504.0
Экономически активные	665182.0	1925.0	119843.0	15761.0	262365.0	117799.0	100818.0	39725.0	6042.0	365.0	539.0
в том числе:											
занятые в экономике	612371.0	1875.0	114802.0	14099.0	245889.0	106942.0	89767.0	33315.0	4931.0	296.0	455.0
из них:											
учащиеся	22293.0	85.0	1456.0	5162.0	7266.0	1615.0	5733.0	888.0	72.0	7.0	9.0
безработные	52811.0	50.0	5041.0	1662.0	16476.0	10857.0	11051.0	6410.0	1111.0	69.0	84.0
из них:											
учащиеся	5123.0	10.0	118.0	949.0	616.0	222.0	2347.0	795.0	62.0	-	4.0
Экономически неактивные	283710.0	312.0	21126.0	7867.0	61392.0	37091.0	58702.0	75235.0	18957.0	1901.0	1127.0
Городское население	742258.0	2087.0	126308.0	21418.0	261043.0	102523.0	127205.0	77295.0	13037.0	1146.0	10196.0
Экономически активные	521004.0	1794.0	107603.0	13944.0	212726.0	79971.0	78697.0	22887.0	2704.0	210.0	468.0
в том числе:											
занятые в экономике	482854.0	1750.0	103147.0	12481.0	200194.0	73069.0	70191.0	19193.0	2278.0	153.0	398.0
из них:											
учащиеся	20242.0	78.0	1397.0	4761.0	6516.0	1438.0	5210.0	764.0	63.0	7.0	8.0
безработные	38150.0	44.0	4456.0	1463.0	12532.0	6902.0	8506.0	3694.0	426.0	57.0	70.0
из них:											
учащиеся	4765.0	8.0	118.0	913.0	585.0	197.0	2222.0	664.0	54.0	-	4.0
Экономически неактивные	196811.0	257.0	17381.0	7003.0	45071.0	21015.0	45439.0	49599.0	9193.0	838.0	1015.0
Сельское население	238050.0	189.0	16226.0	2755.0	67045.0	54859.0	36211.0	44912.0	14226.0	1319.0	308.0
Экономически активные	144178.0	131.0	12240.0	1817.0	49639.0	37828.0	22121.0	16838.0	3338.0	155.0	71.0
в том числе:											
занятые в экономике	129517.0	125.0	11655.0	1618.0	45695.0	33873.0	19576.0	14122.0	2653.0	143.0	57.0
из них:											
учащиеся	2051.0	7.0	59.0	401.0	750.0	177.0	523.0	124.0	9.0	-	1.0
безработные	14661.0	6.0	585.0	199.0	3944.0	3955.0	2545.0	2716.0	685.0	12.0	14.0
из них:											
учащиеся	358.0	2.0	-	36.0	31.0	25.0	125.0	131.0	8.0	-	-
Экономически неактивные	86899.0	55.0	3745.0	864.0	16321.0	16076.0	13263.0	25636.0	9764.0	1063.0	112.0
Тульская область											
Городское и сельское  население	1135313.0	2446.0	177115.0	28755.0	360636.0	154157.0	221747.0	152443.0	31602.0	3023.0	3389.0
Экономически активные	757947.0	2101.0	149184.0	18155.0	283848.0	114583.0	133617.0	48737.0	6802.0	255.0	665.0
в том числе:											
занятые в экономике	690360.0	2022.0	142336.0	16103.0	262721.0	102770.0	117759.0	40295.0	5561.0	194.0	599.0
из них:											
учащиеся	21378.0	71.0	1305.0	5148.0	6104.0	1353.0	6640.0	710.0	44.0	-	3.0
безработные	67587.0	79.0	6848.0	2052.0	21127.0	11813.0	15858.0	8442.0	1241.0	61.0	66.0
из них:											
учащиеся	5019.0	3.0	113.0	971.0	628.0	201.0	2192.0	862.0	44.0	-	5.0
Экономически неактивные	356788.0	322.0	26446.0	9905.0	73101.0	37892.0	83981.0	97683.0	23034.0	2635.0	1789.0
Городское население	940027.0	2270.0	163368.0	26586.0	309103.0	118197.0	185721.0	109648.0	19814.0	2112.0	3208.0
Экономически активные	641844.0	1954.0	138352.0	16761.0	245477.0	88953.0	112027.0	32954.0	4581.0	188.0	597.0
в том числе:											
занятые в экономике	586819.0	1882.0	132086.0	14860.0	227662.0	79911.0	98803.0	27142.0	3810.0	132.0	531.0
из них:											
учащиеся	19564.0	69.0	1240.0	4839.0	5489.0	1196.0	6094.0	593.0	41.0	-	3.0
безработные	55025.0	72.0	6266.0	1901.0	17815.0	9042.0	13224.0	5812.0	771.0	56.0	66.0
из них:											
учащиеся	4630.0	3.0	110.0	920.0	547.0	184.0	2064.0	761.0	36.0	-	5.0
Экономически неактивные	279937.0	293.0	23622.0	9163.0	60300.0	27814.0	69866.0	71545.0	13806.0	1823.0	1705.0
Сельское население	195286.0	176.0	13747.0	2169.0	51533.0	35960.0	36026.0	42795.0	11788.0	911.0	181.0
Экономически активные	116103.0	147.0	10832.0	1394.0	38371.0	25630.0	21590.0	15783.0	2221.0	67.0	68.0
в том числе:											
занятые в экономике	103541.0	140.0	10250.0	1243.0	35059.0	22859.0	18956.0	13153.0	1751.0	62.0	68.0
из них:											
учащиеся	1814.0	2.0	65.0	309.0	615.0	157.0	546.0	117.0	3.0	-	-
безработные	12562.0	7.0	582.0	151.0	3312.0	2771.0	2634.0	2630.0	470.0	5.0	-
из них:											
учащиеся	389.0	-	3.0	51.0	81.0	17.0	128.0	101.0	8.0	-	-
Экономически неактивные	76851.0	29.0	2824.0	742.0	12801.0	10078.0	14115.0	26138.0	9228.0	812.0	84.0
Ярославская область											
Городское и сельское  население	939919.0	2399.0	155275.0	25206.0	283247.0	162009.0	160300.0	116678.0	24307.0	1785.0	8713.0
Экономически активные	667671.0	2103.0	135737.0	16558.0	234186.0	129785.0	100872.0	42082.0	5660.0	210.0	478.0
в том числе:											
занятые в экономике	618059.0	2071.0	131142.0	14748.0	220342.0	118933.0	89960.0	35463.0	4764.0	190.0	446.0
из них:											
учащиеся	28497.0	88.0	2041.0	6380.0	8119.0	2501.0	7895.0	1363.0	103.0	1.0	6.0
безработные	49612.0	32.0	4595.0	1810.0	13844.0	10852.0	10912.0	6619.0	896.0	20.0	32.0
из них:											
учащиеся	6769.0	2.0	94.0	1251.0	596.0	324.0	3014.0	1345.0	143.0	-	-
Экономически неактивные	223362.0	266.0	16792.0	7172.0	42645.0	27991.0	50067.0	61590.0	15329.0	1199.0	311.0
Городское население	775383.0	2253.0	142184.0	23220.0	240552.0	123471.0	135516.0	84575.0	14036.0	964.0	8612.0
