							
2. НАСЕЛЕНИЕ ПО ПОЛУ И ВОЗРАСТНЫМ ГРУППАМ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ							
							
							
	Мужчины и женщины	Мужчины	Женщины	В процентах к итогу			Женщин на 1000 мужчин
возраст не указан	1218.0	561.0	657.0	0.1	0.1	0.1	1171.0
Медианный возраст	40.1	36.4	43.0				
Из общей численности - население в возрасте:							
моложе трудоспособного	244578.0	124652.0	119926.0	16.0	18.1	14.4	962.0
трудоспособном	909176.0	455103.0	454073.0	59.7	65.9	54.4	998.0
старше трудоспособного	369018.0	109696.0	259322.0	24.2	15.9	31.1	2364.0
0 – 13 лет	194952.0	99693.0	95259.0	12.8	14.4	11.4	956.0
0 – 17 лет	293596.0	149294.0	144302.0	19.3	21.6	17.3	967.0
16 – 29 лет	314886.0	160098.0	154788.0	20.7	23.2	18.6	967.0
Городское население	1213865.0	548505.0	665360.0	100.0	100.0	100.0	1213.0
в том числе в возрасте, лет:							
0 – 4	46069.0	23627.0	22442.0	3.8	4.3	3.4	950.0
5 – 9	49010.0	25148.0	23862.0	4.0	4.6	3.6	949.0
10 – 14	77990.0	39548.0	38442.0	6.4	7.2	5.8	972.0
15 – 19	102932.0	53068.0	49864.0	8.5	9.7	7.5	940.0
20 – 24	90561.0	45670.0	44891.0	7.5	8.3	6.7	983.0
25 – 29	86111.0	43221.0	42890.0	7.1	7.9	6.4	992.0
30 – 34	78983.0	38628.0	40355.0	6.5	7.0	6.1	1045.0
35 – 39	83781.0	39948.0	43833.0	6.9	7.3	6.6	1097.0
40 – 44	104766.0	48965.0	55801.0	8.6	8.9	8.4	1140.0
45 – 49	101635.0	46417.0	55218.0	8.4	8.5	8.3	1190.0
50 – 54	90558.0	40358.0	50200.0	7.5	7.30000019073	7.5	1244.0
55 – 59	48835.0	20668.0	28167.0	4.0	3.8	4.2	1363.0
60 – 64	75380.0	28840.0	46540.0	6.2	5.3	7.0	1614.0
65 – 69	60702.0	22173.0	38529.0	5.0	4.0	5.8	1738.0
70 – 74	55294.0	17896.0	37398.0	4.6	3.3	5.6	2090.0
75 – 79	37718.0	9858.0	27860.0	3.1	1.8	4.2	2826.0
80 – 84	13758.0	2715.0	11043.0	1.1	0.5	1.7	4067.0
85 и более	8672.0	1250.0	7422.0	0.7	0.2	1.1	5938.0
возраст не указан	1110.0	507.0	603.0	0.1	0.1	0.1	1189.0
Медианный возраст	39.5	35.7	42.4				
Из общей численности - население в возрасте:							
моложе трудоспособного	193532.0	98627.0	94905.0	16.0	18.0	14.3	962.0
трудоспособном	739532.0	366639.0	372893.0	60.9	66.8	56.0	1017.0
старше трудоспособного	279691.0	82732.0	196959.0	23.0	15.1	29.6	2381.0
0 – 13 лет	154304.0	78963.0	75341.0	12.7	14.4	11.3	954.0
0 – 17 лет	232863.0	118233.0	114630.0	19.2	21.6	17.2	970.0
16 – 29 лет	259141.0	131655.0	127486.0	21.3	24.0	19.2	968.0
Сельское население	310125.0	141507.0	168618.0	100.0	100.0	100.0	1192.0
в том числе в возрасте, лет:							
0 – 4	11347.0	5777.0	5570.0	3.7	4.1	3.3	964.0
5 – 9	12973.0	6628.0	6345.0	4.2	4.7	3.8	957.0
10 – 14	21415.0	10887.0	10528.0	6.9	7.7	6.2	967.0
15 – 19	23311.0	11728.0	11583.0	7.5	8.3	6.9	988.0
20 – 24	19932.0	10281.0	9651.0	6.4	7.3	5.7	939.0
25 – 29	17813.0	9167.0	8646.0	5.7	6.5	5.1	943.0
30 – 34	17030.0	8718.0	8312.0	5.5	6.09999990463	4.9	953.0
35 – 39	20030.0	10155.0	9875.0	6.5	7.2	5.9	972.0
40 – 44	26432.0	13520.0	12912.0	8.5	9.5	7.7	955.0
45 – 49	24911.0	12608.0	12303.0	8.0	8.9	7.3	976.0
50 – 54	20652.0	10176.0	10476.0	6.7	7.2	6.2	1029.0
55 – 59	10768.0	4844.0	5924.0	3.5	3.4	3.5	1223.0
60 – 64	21071.0	8443.0	12628.0	6.8	6.0	7.5	1496.0
65 – 69	19790.0	7545.0	12245.0	6.4	5.3	7.3	1623.0
70 – 74	20157.0	6652.0	13505.0	6.5	4.7	8.0	2030.0
75 – 79	13478.0	3085.0	10393.0	4.3	2.2	6.2	3369.0
80 – 84	5281.0	861.0	4420.0	1.7	0.6	2.6	5134.0
85 и более	3626.0	378.0	3248.0	1.2	0.3	1.9	8593.0
возраст не указан	108.0	54.0	54.0	0.0	0.0	0.0	1000.0
Медианный возраст	42.2	38.8	45.3				
Из общей численности - население в возрасте:							
моложе трудоспособного	51046.0	26025.0	25021.0	16.5	18.4	14.8	961.0
трудоспособном	169644.0	88464.0	81180.0	54.7	62.5	48.2	918.0
старше трудоспособного	89327.0	26964.0	62363.0	28.8	19.1	37.0	2313.0
0 – 13 лет	40648.0	20730.0	19918.0	13.1	14.6	11.8	961.0
0 – 17 лет	60733.0	31061.0	29672.0	19.6	22.0	17.6	955.0
16 – 29 лет	55745.0	28443.0	27302.0	18.0	20.1	16.2	960.0
Воронежская область							
Все население	2378803.0	1088543.0	1290260.0	100.0	100.0	100.0	1185.0
в том числе в возрасте, лет:							
0 – 4	86869.0	44794.0	42075.0	3.7	4.1	3.3	939.0
5 – 9	102093.0	52228.0	49865.0	4.3	4.8	3.9	955.0
10 – 14	156207.0	80213.0	75994.0	6.6	7.4	5.9	947.0
15 – 19	195049.0	98754.0	96295.0	8.2	9.1	7.5	975.0
20 – 24	164795.0	81996.0	82799.0	6.9	7.5	6.4	1010.0
25 – 29	154057.0	76345.0	77712.0	6.5	7.0	6.0	1018.0
30 – 34	148035.0	73460.0	74575.0	6.2	6.7	5.8	1015.0
35 – 39	161799.0	79180.0	82619.0	6.8	7.3	6.4	1043.0
40 – 44	202459.0	98770.0	103689.0	8.5	9.1	8.0	1050.0
45 – 49	189070.0	91083.0	97987.0	7.9	8.4	7.6	1076.0
50 – 54	165712.0	77194.0	88518.0	7.0	7.1	6.9	1147.0
55 – 59	87672.0	38408.0	49264.0	3.7	3.5	3.8	1283.0
60 – 64	157957.0	64469.0	93488.0	6.6	5.9	7.2	1450.0
65 – 69	122188.0	48036.0	74152.0	5.1	4.4	5.80000019073	1544.0
70 – 74	132696.0	47100.0	85596.0	5.6	4.3	6.6	1817.0
75 – 79	86977.0	23421.0	63556.0	3.7	2.2	4.9	2714.0
80 – 84	32079.0	6727.0	25352.0	1.3	0.6	2.0	3769.0
85 и более	29904.0	4889.0	25015.0	1.3	0.5	1.9	5117.0
возраст не указан	3185.0	1476.0	1709.0	0.1	0.1	0.1	1158.0
Медианный возраст	40.5	37.4	43.1				
Из общей численности - население в возрасте:							
моложе трудоспособного	385371.0	197933.0	187438.0	16.2	18.2	14.5	947.0
трудоспособном	1379182.0	694492.0	684690.0	58.0	63.8	53.1	986.0
старше трудоспособного	611065.0	194642.0	416423.0	25.7	17.9	32.3	2139.0
0 – 13 лет	307823.0	158126.0	149697.0	12.9	14.5	11.6	947.0
0 – 17 лет	463507.0	237869.0	225638.0	19.5	21.9	17.5	949.0
16 – 29 лет	473699.0	236397.0	237302.0	19.9	21.7	18.4	1004.0
Городское население	1471799.0	670318.0	801481.0	100.0	100.0	100.0	1196.0
в том числе в возрасте, лет:							
0 – 4	51574.0	26530.0	25044.0	3.5	4.0	3.1	944.0
5 – 9	59563.0	30540.0	29023.0	4.09999990463	4.5	3.6	950.0
10 – 14	93631.0	47975.0	45656.0	6.4	7.09999990463	5.7	952.0
15 – 19	133638.0	67143.0	66495.0	9.1	10.0	8.3	990.0
20 – 24	114721.0	56716.0	58005.0	7.8	8.5	7.2	1023.0
25 – 29	103194.0	50669.0	52525.0	7.0	7.6	6.6	1037.0
30 – 34	95931.0	46572.0	49359.0	6.5	6.9	6.2	1060.0
35 – 39	102139.0	48267.0	53872.0	6.9	7.2	6.7	1116.0
40 – 44	128381.0	59811.0	68570.0	8.7	8.9	8.6	1146.0
45 – 49	123437.0	57019.0	66418.0	8.4	8.5	8.3	1165.0
50 – 54	109071.0	49518.0	59553.0	7.4	7.4	7.4	1203.0
55 – 59	56643.0	24546.0	32097.0	3.8	3.7	4.0	1308.0
60 – 64	89035.0	36063.0	52972.0	6.0	5.4	6.6	1469.0
65 – 69	65818.0	25181.0	40637.0	4.5	3.8	5.1	1614.0
70 – 74	65500.0	22633.0	42867.0	4.4	3.4	5.40000009537	1894.0
75 – 79	45260.0	13004.0	32256.0	3.1	1.9	4.0	2480.0
80 – 84	17253.0	4060.0	13193.0	1.2	0.6	1.6	3250.0
85 и более	14255.0	2777.0	11478.0	1.0	0.4	1.4	4133.0
возраст не указан	2755.0	1294.0	1461.0	0.2	0.2	0.2	1129.0
Медианный возраст	39.2	36.0	41.6				
Из общей численности - население в возрасте:							
моложе трудоспособного	229943.0	117823.0	112120.0	15.6	17.6	14.0	952.0
трудоспособном	909883.0	447483.0	462400.0	61.8	66.7	57.7	1033.0
старше трудоспособного	329218.0	103718.0	225500.0	22.4	15.5	28.1	2174.0
0 – 13 лет	182092.0	93451.0	88641.0	12.4	13.9	11.1	949.0
0 – 17 лет	282400.0	144096.0	138304.0	19.2	21.5	17.3	960.0
16 – 29 лет	326378.0	161750.0	164628.0	22.2	24.1	20.5	1018.0
Сельское население	907004.0	418225.0	488779.0	100.0	100.0	100.0	1169.0
в том числе в возрасте, лет:							
0 – 4	35295.0	18264.0	17031.0	3.9	4.4	3.5	932.0
5 – 9	42530.0	21688.0	20842.0	4.7	5.2	4.3	961.0
10 – 14	62576.0	32238.0	30338.0	6.9	7.7	6.2	941.0
15 – 19	61411.0	31611.0	29800.0	6.8	7.6	6.1	943.0
20 – 24	50074.0	25280.0	24794.0	5.5	6.09999990463	5.1	981.0
25 – 29	50863.0	25676.0	25187.0	5.6	6.1	5.09999990463	981.0
30 – 34	52104.0	26888.0	25216.0	5.80000019073	6.4	5.2	938.0
35 – 39	59660.0	30913.0	28747.0	6.6	7.4	5.9	930.0
40 – 44	74078.0	38959.0	35119.0	8.2	9.3	7.2	901.0
45 – 49	65633.0	34064.0	31569.0	7.2	8.19999980927	6.5	927.0
50 – 54	56641.0	27676.0	28965.0	6.2	6.6	5.9	1047.0
55 – 59	31029.0	13862.0	17167.0	3.4	3.3	3.5	1238.0
60 – 64	68922.0	28406.0	40516.0	7.6	6.8	8.3	1426.0
65 – 69	56370.0	22855.0	33515.0	6.2	5.5	6.80000019073	1466.0
70 – 74	67196.0	24467.0	42729.0	7.4	5.8	8.7	1746.0
75 – 79	41717.0	10417.0	31300.0	4.6	2.5	6.4	3005.0
80 – 84	14826.0	2667.0	12159.0	1.6	0.6	2.5	4559.0
85 и более	15649.0	2112.0	13537.0	1.7	0.5	2.8	6410.0
возраст не указан	430.0	182.0	248.0	0.10000000149	0.0	0.0	1363.0
Медианный возраст	42.7	39.5	46.1				
Из общей численности - население в возрасте:							
моложе трудоспособного	155428.0	80110.0	75318.0	17.1	19.2	15.4	940.0
трудоспособном	469299.0	247009.0	222290.0	51.7	59.1	45.5	900.0
старше трудоспособного	281847.0	90924.0	190923.0	31.1	21.7	39.1	2100.0
0 – 13 лет	125731.0	64675.0	61056.0	13.9	15.5	12.5	944.0
0 – 17 лет	181107.0	93773.0	87334.0	20.0	22.4	17.9	931.0
16 – 29 лет	147321.0	74647.0	72674.0	16.2	17.8	14.9	974.0
Ивановская область							
Все население	1148329.0	515004.0	633325.0	100.0	100.0	100.0	1230.0
в том числе в возрасте, лет:							
0 – 4	42036.0	21573.0	20463.0	3.7	4.2	3.2	949.0
5 – 9	45602.0	23484.0	22118.0	4.0	4.6	3.5	942.0
10 – 14	73970.0	37884.0	36086.0	6.4	7.30000019073	5.7	953.0
15 – 19	93387.0	47229.0	46158.0	8.1	9.2	7.3	977.0
20 – 24	83951.0	42105.0	41846.0	7.3	8.2	6.6	994.0
25 – 29	79341.0	39453.0	39888.0	6.9	7.7	6.3	1011.0
30 – 34	74221.0	36428.0	37793.0	6.5	7.1	6.0	1037.0
35 – 39	77567.0	37613.0	39954.0	6.8	7.3	6.3	1062.0
40 – 44	93556.0	44954.0	48602.0	8.1	8.7	7.7	1081.0
45 – 49	93251.0	43138.0	50113.0	8.1	8.4	7.9	1162.0
50 – 54	84477.0	38296.0	46181.0	7.4	7.4	7.3	1206.0
55 – 59	42957.0	18369.0	24588.0	3.7	3.6	3.9	1339.0
60 – 64	73336.0	28661.0	44675.0	6.4	5.6	7.1	1559.0
65 – 69	63191.0	22744.0	40447.0	5.5	4.4	6.4	1778.0
70 – 74	61132.0	19072.0	42060.0	5.3	3.7	6.6	2205.0
75 – 79	40411.0	9801.0	30610.0	3.5	1.9	4.8	3123.0
80 – 84	15593.0	2805.0	12788.0	1.4	0.5	2.0	4559.0
85 и более	10063.0	1261.0	8802.0	0.9	0.2	1.4	6980.0
возраст не указан	287.0	134.0	153.0	0.0	0.0	0.0	1142.0
Медианный возраст	40.2	36.3	43.4				
Из общей численности - население в возрасте:							
моложе трудоспособного	180058.0	92379.0	87679.0	15.7	17.9	13.9	949.0
трудоспособном	679670.0	338147.0	341523.0	59.2	65.7	53.9	1010.0
старше трудоспособного	288314.0	84344.0	203970.0	25.1	16.4	32.2	2418.0
0 – 13 лет	144285.0	74107.0	70178.0	12.6	14.4	11.1	947.0
0 – 17 лет	216661.0	110958.0	105703.0	18.9	21.5	16.7	953.0
16 – 29 лет	238229.0	119349.0	118880.0	20.7	23.2	18.8	996.0
Городское население	949249.0	421678.0	527571.0	100.0	100.0	100.0	1251.0
в том числе в возрасте, лет:							
0 – 4	34897.0	17909.0	16988.0	3.7	4.2	3.2	949.0
5 – 9	37272.0	19266.0	18006.0	3.9	4.6	3.4	935.0
10 – 14	59685.0	30481.0	29204.0	6.3	7.2	5.5	958.0
15 – 19	78155.0	39441.0	38714.0	8.2	9.4	7.3	982.0
20 – 24	71532.0	35445.0	36087.0	7.5	8.4	6.8	1018.0
25 – 29	68154.0	33346.0	34808.0	7.2	7.9	6.6	1044.0
30 – 34	63279.0	30715.0	32564.0	6.7	7.3	6.2	1060.0
35 – 39	64166.0	30848.0	33318.0	6.8	7.3	6.3	1080.0
40 – 44	75869.0	35822.0	40047.0	8.0	8.5	7.6	1118.0
45 – 49	76488.0	34551.0	41937.0	8.1	8.2	8.0	1214.0
50 – 54	70894.0	31536.0	39358.0	7.5	7.5	7.5	1248.0
55 – 59	36337.0	15303.0	21034.0	3.8	3.6	4.0	1375.0
60 – 64	59606.0	22885.0	36721.0	6.3	5.4	7.0	1605.0
65 – 69	50402.0	17614.0	32788.0	5.3	4.2	6.2	1861.0
70 – 74	48752.0	14909.0	33843.0	5.1	3.5	6.4	2270.0
75 – 79	32622.0	8092.0	24530.0	3.4	1.9	4.6	3031.0
80 – 84	12676.0	2340.0	10336.0	1.3	0.6	2.0	4417.0
85 и более	8224.0	1068.0	7156.0	0.9	0.3	1.4	6700.0
возраст не указан	239.0	107.0	132.0	0.0	0.0	0.0	1234.0
Медианный возраст	39.8	35.7	43.0				
Из общей численности - население в возрасте:							
моложе трудоспособного	146810.0	75259.0	71551.0	15.5	17.8	13.6	951.0
трудоспособном	568884.0	279404.0	289480.0	59.9	66.3	54.9	1036.0
старше трудоспособного	233316.0	66908.0	166408.0	24.6	15.9	31.5	2487.0
0 – 13 лет	117976.0	60598.0	57378.0	12.4	14.4	10.9	947.0
0 – 17 лет	177029.0	90484.0	86545.0	18.6	21.5	16.4	956.0
16 – 29 лет	202885.0	100629.0	102256.0	21.4	23.9	19.4	1016.0
Сельское население	199080.0	93326.0	105754.0	100.0	100.0	100.0	1133.0
в том числе в возрасте, лет:							
0 – 4	7139.0	3664.0	3475.0	3.6	3.9	3.3	948.0
5 – 9	8330.0	4218.0	4112.0	4.2	4.5	3.9	975.0
10 – 14	14285.0	7403.0	6882.0	7.2	7.9	6.5	930.0
15 – 19	15232.0	7788.0	7444.0	7.7	8.39999961853	7.0	956.0
20 – 24	12419.0	6660.0	5759.0	6.30000019073	7.1	5.4	865.0
25 – 29	11187.0	6107.0	5080.0	5.6	6.59999990463	4.8	832.0
30 – 34	10942.0	5713.0	5229.0	5.5	6.1	4.9	915.0
35 – 39	13401.0	6765.0	6636.0	6.7	7.30000019073	6.3	981.0
40 – 44	17687.0	9132.0	8555.0	8.9	9.8	8.1	937.0
45 – 49	16763.0	8587.0	8176.0	8.4	9.2	7.7	952.0
50 – 54	13583.0	6760.0	6823.0	6.8	7.2	6.5	1009.0
55 – 59	6620.0	3066.0	3554.0	3.3	3.3	3.4	1159.0
60 – 64	13730.0	5776.0	7954.0	6.9	6.2	7.5	1377.0
65 – 69	12789.0	5130.0	7659.0	6.4	5.5	7.2	1493.0
70 – 74	12380.0	4163.0	8217.0	6.2	4.5	7.8	1974.0
75 – 79	7789.0	1709.0	6080.0	3.9	1.8	5.80000019073	3558.0
80 – 84	2917.0	465.0	2452.0	1.5	0.5	2.3	5273.0
85 и более	1839.0	193.0	1646.0	0.9	0.2	1.6	8528.0
возраст не указан	48.0	27.0	21.0	0.0	0.0	0.0	778.0
Медианный возраст	41.9	38.9	44.8				
Из общей численности - население в возрасте:							
моложе трудоспособного	33248.0	17120.0	16128.0	16.7	18.4	15.3	942.0
трудоспособном	110786.0	58743.0	52043.0	55.7	62.9	49.2	886.0
старше трудоспособного	54998.0	17436.0	37562.0	27.6	18.7	35.5	2154.0
0 – 13 лет	26309.0	13509.0	12800.0	13.2	14.5	12.1	948.0
0 – 17 лет	39632.0	20474.0	19158.0	19.9	21.9	18.1	936.0
16 – 29 лет	35344.0	18720.0	16624.0	17.8	20.1	15.7	888.0
Калужская область							
Все население	1041641.0	475874.0	565767.0	100.0	100.0	100.0	1189.0
в том числе в возрасте, лет:							
0 – 4	39822.0	20407.0	19415.0	3.8	4.3	3.4	951.0
5 – 9	43735.0	22462.0	21273.0	4.2	4.7	3.8	947.0
10 – 14	70229.0	36009.0	34220.0	6.80000019073	7.6	6.09999990463	950.0
15 – 19	85277.0	42742.0	42535.0	8.2	9.0	7.5	995.0
20 – 24	75113.0	37865.0	37248.0	7.2	7.90000009537	6.6	984.0
25 – 29	68953.0	34542.0	34411.0	6.6	7.3	6.1	996.0
30 – 34	65887.0	32457.0	33430.0	6.3	6.8	5.9	1030.0
35 – 39	72301.0	35221.0	37080.0	7.0	7.4	6.6	1053.0
40 – 44	91635.0	43983.0	47652.0	8.8	9.2	8.4	1083.0
45 – 49	86692.0	41160.0	45532.0	8.3	8.6	8.10000038147	1106.0
50 – 54	76247.0	35239.0	41008.0	7.3	7.4	7.2	1164.0
55 – 59	40770.0	17992.0	22778.0	3.9	3.8	4.0	1266.0
60 – 64	64847.0	26275.0	38572.0	6.2	5.5	6.8	1468.0
65 – 69	52037.0	19890.0	32147.0	5.0	4.2	5.7	1616.0
70 – 74	51602.0	17159.0	34443.0	5.0	3.6	6.1	2007.0
75 – 79	34469.0	8398.0	26071.0	3.3	1.8	4.6	3104.0
80 – 84	13390.0	2688.0	10702.0	1.3	0.6	1.9	3981.0
85 и более	8303.0	1231.0	7072.0	0.8	0.3	1.2	5745.0
возраст не указан	332.0	154.0	178.0	0.0	0.0	0.0	1156.0
Медианный возраст	40.0	36.7	42.5				
Из общей численности - население в возрасте:							
моложе трудоспособного	171531.0	87828.0	83703.0	16.5	18.5	14.8	953.0
трудоспособном	622352.0	312251.0	310101.0	59.7	65.6	54.8	993.0
старше трудоспособного	247426.0	75641.0	171785.0	23.8	15.9	30.4	2271.0
0 – 13 лет	136937.0	70281.0	66656.0	13.1	14.8	11.8	948.0
0 – 17 лет	205712.0	105163.0	100549.0	19.7	22.1	17.8	956.0
16 – 29 лет	211598.0	106199.0	105399.0	20.3	22.3	18.6	992.0
Городское население	779481.0	355621.0	423860.0	100.0	100.0	100.0	1192.0
в том числе в возрасте, лет:							
0 – 4	29786.0	15286.0	14500.0	3.8	4.3	3.4	949.0
5 – 9	31713.0	16267.0	15446.0	4.1	4.6	3.6	950.0
10 – 14	51196.0	26184.0	25012.0	6.6	7.4	5.9	955.0
15 – 19	66785.0	33253.0	33532.0	8.6	9.4	7.9	1008.0
20 – 24	59698.0	29945.0	29753.0	7.59999990463	8.4	7.0	994.0
25 – 29	54373.0	27028.0	27345.0	7.0	7.6	6.5	1012.0
30 – 34	51203.0	24999.0	26204.0	6.6	7.0	6.2	1048.0
35 – 39	55167.0	26225.0	28942.0	7.1	7.4	6.8	1104.0
40 – 44	70082.0	32556.0	37526.0	9.0	9.2	8.9	1153.0
45 – 49	66942.0	30746.0	36196.0	8.6	8.6	8.5	1177.0
50 – 54	59476.0	26873.0	32603.0	7.6	7.6	7.7	1213.0
55 – 59	31500.0	13790.0	17710.0	4.0	3.9	4.2	1284.0
60 – 64	46634.0	18994.0	27640.0	6.0	5.3	6.5	1455.0
65 – 69	35598.0	13673.0	21925.0	4.6	3.8	5.2	1604.0
70 – 74	32773.0	11010.0	21763.0	4.2	3.1	5.1	1977.0
75 – 79	22199.0	5779.0	16420.0	2.8	1.6	3.9	2841.0
80 – 84	8677.0	1947.0	6730.0	1.1	0.5	1.6	3457.0
85 и более	5400.0	931.0	4469.0	0.7	0.3	1.1	4800.0
возраст не указан	279.0	135.0	144.0	0.0	0.0	0.0	1067.0
Медианный возраст	39.2	36.0	41.6				
Из общей численности - население в возрасте:							
моложе трудоспособного	126040.0	64440.0	61600.0	16.2	18.1	14.6	956.0
трудоспособном	484171.0	238712.0	245459.0	62.1	67.2	57.9	1028.0
старше трудоспособного	168991.0	52334.0	116657.0	21.7	14.7	27.5	2229.0
0 – 13 лет	100247.0	51431.0	48816.0	12.9	14.5	11.5	949.0
0 – 17 лет	152509.0	77697.0	74812.0	19.6	21.8	17.6	963.0
16 – 29 лет	167511.0	83523.0	83988.0	21.5	23.5	19.8	1006.0
Сельское население	262160.0	120253.0	141907.0	100.0	100.0	100.0	1180.0
в том числе в возрасте, лет:							
0 – 4	10036.0	5121.0	4915.0	3.8	4.3	3.5	960.0
5 – 9	12022.0	6195.0	5827.0	4.6	5.09999990463	4.1	941.0
10 – 14	19033.0	9825.0	9208.0	7.3	8.2	6.5	937.0
15 – 19	18492.0	9489.0	9003.0	7.1	7.9	6.40000009537	949.0
20 – 24	15415.0	7920.0	7495.0	5.9	6.6	5.3	946.0
25 – 29	14580.0	7514.0	7066.0	5.6	6.2	5.0	940.0
30 – 34	14684.0	7458.0	7226.0	5.6	6.2	5.1	969.0
35 – 39	17134.0	8996.0	8138.0	6.5	7.5	5.7	905.0
40 – 44	21553.0	11427.0	10126.0	8.2	9.5	7.1	886.0
45 – 49	19750.0	10414.0	9336.0	7.5	8.7	6.6	896.0
50 – 54	16771.0	8366.0	8405.0	6.4	7.0	5.9	1005.0
55 – 59	9270.0	4202.0	5068.0	3.5	3.5	3.6	1206.0
60 – 64	18213.0	7281.0	10932.0	6.9	6.0	7.7	1501.0
65 – 69	16439.0	6217.0	10222.0	6.3	5.2	7.2	1644.0
70 – 74	18829.0	6149.0	12680.0	7.2	5.1	8.9	2062.0
75 – 79	12270.0	2619.0	9651.0	4.7	2.2	6.8	3685.0
80 – 84	4713.0	741.0	3972.0	1.8	0.6	2.8	5360.0
85 и более	2903.0	300.0	2603.0	1.1	0.2	1.8	8677.0
возраст не указан	53.0	19.0	34.0	0.0	0.0	0.0	1789.0
Медианный возраст	42.3	38.8	46.0				
Из общей численности - население в возрасте:							
моложе трудоспособного	45491.0	23388.0	22103.0	17.4	19.4	15.6	945.0
трудоспособном	138181.0	73539.0	64642.0	52.7	61.2	45.6	879.0
старше трудоспособного	78435.0	23307.0	55128.0	29.9	19.4	38.8	2365.0
0 – 13 лет	36690.0	18850.0	17840.0	14.0	15.7	12.6	946.0
0 – 17 лет	53203.0	27466.0	25737.0	20.3	22.8	18.1	937.0
16 – 29 лет	44087.0	22676.0	21411.0	16.8	18.9	15.1	944.0
Костромская область							
Все население	736641.0	337074.0	399567.0	100.0	100.0	100.0	1185.0
в том числе в возрасте, лет:							
0 – 4	30140.0	15445.0	14695.0	4.1	4.6	3.7	951.0
5 – 9	31699.0	16213.0	15486.0	4.3	4.8	3.9	955.0
10 – 14	51412.0	26520.0	24892.0	7.0	7.9	6.2	939.0
15 – 19	61417.0	30654.0	30763.0	8.3	9.1	7.7	1004.0
20 – 24	53195.0	26710.0	26485.0	7.2	7.9	6.6	992.0
25 – 29	48879.0	24055.0	24824.0	6.6	7.1	6.2	1032.0
30 – 34	45354.0	22230.0	23124.0	6.2	6.6	5.8	1040.0
35 – 39	50013.0	24487.0	25526.0	6.8	7.3	6.4	1042.0
40 – 44	66120.0	32382.0	33738.0	9.0	9.6	8.4	1042.0
45 – 49	60795.0	29189.0	31606.0	8.3	8.7	7.9	1083.0
50 – 54	51908.0	24573.0	27335.0	7.0	7.3	6.8	1112.0
55 – 59	24737.0	11291.0	13446.0	3.4	3.4	3.4	1191.0
60 – 64	43844.0	17660.0	26184.0	5.90000009537	5.2	6.6	1483.0
65 – 69	39039.0	14928.0	24111.0	5.3	4.4	6.0	1615.0
70 – 74	36301.0	11893.0	24408.0	4.9	3.5	6.1	2052.0
75 – 79	25016.0	6099.0	18917.0	3.4	1.8	4.7	3102.0
80 – 84	10179.0	1792.0	8387.0	1.4	0.5	2.1	4680.0
85 и более	6153.0	755.0	5398.0	0.8	0.2	1.4	7150.0
возраст не указан	440.0	198.0	242.0	0.1	0.1	0.1	1222.0
Медианный возраст	39.7	36.5	42.1				
