5. ОБЕСПЕЧЕННОСТЬ РАЗЛИЧНЫМИ ВИДАМИ БЛАГОУСТРОЙСТВА ЖИЛОГО ПОМЕЩЕНИЯ НАСЕЛЕНИЯ ЧАСТНЫХ ДОМОХОЗЯЙСТВ,
ПРОЖИВАЮЩИХ В ИНДИВИДУАЛЬНЫХ ДОМАХ, ОТДЕЛЬНЫХ И КОММУНАЛЬНЫХ КВАРТИРАХ1) ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ																
																
	Всего домохозяйств	число домохозяйств, проживающих в помещениях, оборудованных														Число домохозяйств, не указавших виды благоустройства
в коммунальных квартирах	2552.0	2488.0	367.0	1881.0	125.0	1774.0	523.0	185.0	2083.0	2021.0	1532.0	1027.0	449.0	1375.0	-	59.0
Городские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	183613.0	182756.0	3793.0	173870.0	4116.0	124983.0	51007.0	6204.0	159361.0	154829.0	143929.0	80116.0	54506.0	131935.0	16.0	565.0
в том числе:																
в индивидуальных домах	36088.0	35946.0	318.0	32374.0	2471.0	441.0	31674.0	3441.0	20899.0	17898.0	13500.0	137.0	10175.0	9568.0	12.0	88.0
в отдельных квартирах	145268.0	144615.0	3115.0	139768.0	1613.0	122858.0	18894.0	2691.0	136553.0	135067.0	129022.0	78975.0	43939.0	121068.0	4.0	419.0
в коммунальных квартирах	2257.0	2195.0	360.0	1728.0	32.0	1684.0	439.0	72.0	1909.0	1864.0	1407.0	1004.0	392.0	1299.0	-	58.0
Сельские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	118042.0	117405.0	1866.0	55037.0	50280.0	13447.0	45871.0	55814.0	47651.0	41457.0	35139.0	3820.0	16331.0	18773.0	47.0	271.0
в том числе:																
в индивидуальных домах	91778.0	91348.0	1494.0	36437.0	45175.0	743.0	38264.0	50676.0	26917.0	21800.0	17229.0	101.0	8828.0	8222.0	40.0	149.0
в отдельных квартирах	25969.0	25764.0	365.0	18447.0	5012.0	12614.0	7523.0	5025.0	20560.0	19500.0	17785.0	3696.0	7446.0	10475.0	7.0	121.0
в коммунальных квартирах	295.0	293.0	7.0	153.0	93.0	90.0	84.0	113.0	174.0	157.0	125.0	23.0	57.0	76.0	-	1.0
Рязанская область																
Городские и сельские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	455793.0	453856.0	13005.0	311316.0	118599.0	242785.0	91188.0	118174.0	343805.0	307025.0	281420.0	159598.0	84113.0	236940.0	48.0	1010.0
в том числе:																
в индивидуальных домах	152390.0	151764.0	1850.0	55435.0	86556.0	2359.0	56547.0	92579.0	60597.0	34849.0	23098.0	857.0	12637.0	11861.0	37.0	182.0
в отдельных квартирах	298786.0	297523.0	10669.0	252184.0	31786.0	236926.0	33890.0	25328.0	279013.0	268265.0	255665.0	157028.0	70384.0	222793.0	11.0	788.0
в коммунальных квартирах	4617.0	4569.0	486.0	3697.0	257.0	3500.0	751.0	267.0	4195.0	3911.0	2657.0	1713.0	1092.0	2286.0	-	40.0
Городские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	295352.0	294092.0	10675.0	256906.0	24450.0	219951.0	49960.0	22948.0	266988.0	250811.0	235921.0	149652.0	69765.0	213802.0	14.0	847.0
в том числе:																
в индивидуальных домах	45232.0	45019.0	536.0	30300.0	13196.0	1315.0	29070.0	14393.0	26963.0	16778.0	11619.0	575.0	7577.0	7050.0	9.0	90.0
в отдельных квартирах	245807.0	244807.0	9663.0	223088.0	11090.0	215228.0	20246.0	8389.0	236044.0	230300.0	221797.0	147414.0	61138.0	204549.0	5.0	717.0
в коммунальных квартирах	4313.0	4266.0	476.0	3518.0	164.0	3408.0	644.0	166.0	3981.0	3733.0	2505.0	1663.0	1050.0	2203.0	-	40.0
Сельские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	160441.0	159764.0	2330.0	54410.0	94149.0	22834.0	41228.0	95226.0	76817.0	56214.0	45499.0	9946.0	14348.0	23138.0	34.0	163.0
в том числе:																
в индивидуальных домах	107158.0	106745.0	1314.0	25135.0	73360.0	1044.0	27477.0	78186.0	33634.0	18071.0	11479.0	282.0	5060.0	4811.0	28.0	92.0
в отдельных квартирах	52979.0	52716.0	1006.0	29096.0	20696.0	21698.0	13644.0	16939.0	42969.0	37965.0	33868.0	9614.0	9246.0	18244.0	6.0	71.0
в коммунальных квартирах	304.0	303.0	10.0	179.0	93.0	92.0	107.0	101.0	214.0	178.0	152.0	50.0	42.0	83.0	-	-
Смоленская область																
Городские и сельские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	379060.0	375556.0	19315.0	220346.0	124928.0	206092.0	43626.0	124547.0	247492.0	229323.0	209965.0	164503.0	21983.0	180014.0	62.0	2199.0
в том числе:																
в индивидуальных домах	121908.0	120835.0	884.0	27382.0	84600.0	2530.0	27698.0	90694.0	25750.0	14030.0	7613.0	849.0	3795.0	3778.0	33.0	406.0
в отдельных квартирах	252124.0	249814.0	18033.0	189293.0	39659.0	199773.0	15484.0	33223.0	217683.0	211329.0	199374.0	161312.0	17845.0	173890.0	29.0	1691.0
в коммунальных квартирах	5028.0	4907.0	398.0	3671.0	669.0	3789.0	444.0	630.0	4059.0	3964.0	2978.0	2342.0	343.0	2346.0	-	102.0
Городские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	255596.0	253146.0	18533.0	191152.0	40776.0	188483.0	27851.0	35777.0	208618.0	199607.0	186251.0	155114.0	18030.0	167232.0	33.0	1865.0
в том числе:																
в индивидуальных домах	44709.0	44322.0	482.0	19353.0	22924.0	1942.0	18660.0	23508.0	13866.0	7756.0	4203.0	702.0	2523.0	2550.0	16.0	217.0
в отдельных квартирах	206326.0	204367.0	17659.0	168362.0	17387.0	182957.0	8808.0	11822.0	190908.0	188096.0	179252.0	152172.0	15191.0	162465.0	17.0	1559.0
в коммунальных квартирах	4561.0	4457.0	392.0	3437.0	465.0	3584.0	383.0	447.0	3844.0	3755.0	2796.0	2240.0	316.0	2217.0	-	89.0
Сельские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	123464.0	122410.0	782.0	29194.0	84152.0	17609.0	15775.0	88770.0	38874.0	29716.0	23714.0	9389.0	3953.0	12782.0	29.0	334.0
в том числе:																
в индивидуальных домах	77199.0	76513.0	402.0	8029.0	61676.0	588.0	9038.0	67186.0	11884.0	6274.0	3410.0	147.0	1272.0	1228.0	17.0	189.0
в отдельных квартирах	45798.0	45447.0	374.0	20931.0	22272.0	16816.0	6676.0	21401.0	26775.0	23233.0	20122.0	9140.0	2654.0	11425.0	12.0	132.0
в коммунальных квартирах	467.0	450.0	6.0	234.0	204.0	205.0	61.0	183.0	215.0	209.0	182.0	102.0	27.0	129.0	-	13.0
Тамбовская область																
Городские и сельские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	433547.0	431217.0	15047.0	246651.0	152425.0	150007.0	125440.0	147049.0	278397.0	252523.0	221603.0	96550.0	72554.0	162104.0	127.0	1156.0
в том числе:																
в индивидуальных домах	206722.0	205505.0	5076.0	71732.0	116225.0	3862.0	79886.0	116416.0	81003.0	63808.0	47545.0	1348.0	21669.0	20583.0	95.0	424.0
в отдельных квартирах	222175.0	221155.0	9655.0	171574.0	35547.0	143111.0	44680.0	30049.0	193631.0	185185.0	171495.0	93766.0	50131.0	139466.0	31.0	648.0
в коммунальных квартирах	4650.0	4557.0	316.0	3345.0	653.0	3034.0	874.0	584.0	3763.0	3530.0	2563.0	1436.0	754.0	2055.0	1.0	84.0
Городские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	236895.0	235707.0	10190.0	187614.0	34522.0	135856.0	66382.0	29350.0	197505.0	185217.0	168807.0	88937.0	54117.0	138323.0	52.0	751.0
в том числе:																
в индивидуальных домах	61747.0	61381.0	1758.0	36667.0	21404.0	2537.0	37139.0	19431.0	36029.0	28775.0	22452.0	890.0	11808.0	11454.0	34.0	160.0
в отдельных квартирах	170963.0	170226.0	8131.0	147834.0	12636.0	130366.0	28596.0	9473.0	157952.0	153107.0	143956.0	86667.0	41599.0	124911.0	18.0	513.0
в коммунальных квартирах	4185.0	4100.0	301.0	3113.0	482.0	2953.0	647.0	446.0	3524.0	3335.0	2399.0	1380.0	710.0	1958.0	-	78.0
Сельские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	196652.0	195510.0	4857.0	59037.0	117903.0	14151.0	59058.0	117699.0	80892.0	67306.0	52796.0	7613.0	18437.0	23781.0	75.0	405.0
в том числе:																
в индивидуальных домах	144975.0	144124.0	3318.0	35065.0	94821.0	1325.0	42747.0	96985.0	44974.0	35033.0	25093.0	458.0	9861.0	9129.0	61.0	264.0
в отдельных квартирах	51212.0	50929.0	1524.0	23740.0	22911.0	12745.0	16084.0	20576.0	35679.0	32078.0	27539.0	7099.0	8532.0	14555.0	13.0	135.0
в коммунальных квартирах	465.0	457.0	15.0	232.0	171.0	81.0	227.0	138.0	239.0	195.0	164.0	56.0	44.0	97.0	1.0	6.0
Тверская область																
Городские и сельские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	554525.0	549448.0	25821.0	318777.0	173107.0	303532.0	66797.0	178229.0	366491.0	331355.0	304480.0	235086.0	30035.0	254345.0	172.0	3525.0
в том числе:																
в индивидуальных домах	171005.0	169587.0	3278.0	38087.0	106943.0	2925.0	40899.0	126320.0	39268.0	17122.0	12525.0	1113.0	6956.0	6205.0	130.0	622.0
в отдельных квартирах	371157.0	367901.0	21885.0	270871.0	64972.0	291879.0	24138.0	50513.0	317485.0	305196.0	285522.0	228172.0	22595.0	242521.0	38.0	2529.0
в коммунальных квартирах	12363.0	11960.0	658.0	9819.0	1192.0	8728.0	1760.0	1396.0	9738.0	9037.0	6433.0	5801.0	484.0	5619.0	4.0	374.0
Городские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	392075.0	388452.0	22770.0	286948.0	65816.0	279308.0	48538.0	58995.0	314556.0	293803.0	272413.0	221227.0	24786.0	236605.0	75.0	2851.0
в том числе:																
в индивидуальных домах	63304.0	62833.0	1566.0	29313.0	25082.0	2071.0	29407.0	31089.0	21392.0	9311.0	6461.0	880.0	4630.0	4048.0	45.0	253.0
в отдельных квартирах	317093.0	314319.0	20571.0	248008.0	39887.0	268720.0	17442.0	26886.0	283711.0	275699.0	259714.0	214669.0	19690.0	227070.0	26.0	2246.0
в коммунальных квартирах	11678.0	11300.0	633.0	9627.0	847.0	8517.0	1689.0	1020.0	9453.0	8793.0	6238.0	5678.0	466.0	5487.0	4.0	352.0
Сельские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	162450.0	160996.0	3051.0	31829.0	107291.0	24224.0	18259.0	119234.0	51935.0	37552.0	32067.0	13859.0	5249.0	17740.0	97.0	674.0
в том числе:																
в индивидуальных домах	107701.0	106754.0	1712.0	8774.0	81861.0	854.0	11492.0	95231.0	17876.0	7811.0	6064.0	233.0	2326.0	2157.0	85.0	369.0
в отдельных квартирах	54064.0	53582.0	1314.0	22863.0	25085.0	23159.0	6696.0	23627.0	33774.0	29497.0	25808.0	13503.0	2905.0	15451.0	12.0	283.0
в коммунальных квартирах	685.0	660.0	25.0	192.0	345.0	211.0	71.0	376.0	285.0	244.0	195.0	123.0	18.0	132.0	-	22.0
Тульская область																
Городские и сельские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	629615.0	626034.0	9462.0	521324.0	81269.0	428138.0	111948.0	80910.0	554900.0	510433.0	485517.0	165807.0	259797.0	414489.0	184.0	2027.0
в том числе:																
в индивидуальных домах	120269.0	119516.0	1696.0	62948.0	46743.0	4114.0	61086.0	51439.0	66799.0	39926.0	32157.0	1538.0	19524.0	18651.0	110.0	306.0
в отдельных квартирах	495386.0	492797.0	7264.0	446436.0	33647.0	414399.0	47946.0	28475.0	476223.0	459458.0	444834.0	161719.0	235127.0	388649.0	74.0	1499.0
в коммунальных квартирах	13960.0	13721.0	502.0	11940.0	879.0	9625.0	2916.0	996.0	11878.0	11049.0	8526.0	2550.0	5146.0	7189.0	-	222.0
Городские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	508295.0	505361.0	8077.0	465209.0	26254.0	409473.0	67613.0	24677.0	474997.0	448166.0	429656.0	160567.0	229996.0	381380.0	61.0	1843.0
в том числе:																
в индивидуальных домах	59197.0	58789.0	1085.0	44443.0	10258.0	3530.0	42056.0	11487.0	39414.0	25243.0	20959.0	1380.0	13449.0	12901.0	28.0	218.0
в отдельных квартирах	435694.0	433405.0	6509.0	409088.0	15312.0	396513.0	22757.0	12387.0	424079.0	412199.0	400406.0	156695.0	211497.0	361436.0	33.0	1405.0
в коммунальных квартирах	13404.0	13167.0	483.0	11678.0	684.0	9430.0	2800.0	803.0	11504.0	10724.0	8291.0	2492.0	5050.0	7043.0	-	220.0
Сельские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	121320.0	120673.0	1385.0	56115.0	55015.0	18665.0	44335.0	56233.0	79903.0	62267.0	55861.0	5240.0	29801.0	33109.0	123.0	184.0
в том числе:																
в индивидуальных домах	61072.0	60727.0	611.0	18505.0	36485.0	584.0	19030.0	39952.0	27385.0	14683.0	11198.0	158.0	6075.0	5750.0	82.0	88.0
в отдельных квартирах	59692.0	59392.0	755.0	37348.0	18335.0	17886.0	25189.0	16088.0	52144.0	47259.0	44428.0	5024.0	23630.0	27213.0	41.0	94.0
в коммунальных квартирах	556.0	554.0	19.0	262.0	195.0	195.0	116.0	193.0	374.0	325.0	235.0	58.0	96.0	146.0	-	2.0
Ярославская область																
Городские и сельские населенные пункты																
