			
6. НАСЕЛЕНИЕ, УКАЗАВШЕЕ ДВА ИСТОЧНИКА СРЕДСТВ К СУЩЕСТВОВАНИЮ, ПО ПОЛУ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ			
			
			
	Городское и сельское население	Городское население	Сельское население
иной источник	76.0	62.0	14.0
пенсию и			
пособие	560.0	248.0	312.0
сбережения	153.0	94.0	59.0
доход от сдачи внаем или в аренду имущества	362.0	41.0	321.0
на иждивении отдельных лиц	3325.0	1957.0	1368.0
иной источник	306.0	229.0	77.0
пособие и			
сбережения	13.0	9.0	4.0
доход от сдачи внаем или в аренду имущества	35.0	9.0	26.0
на иждивении отдельных лиц	70447.0	26389.0	44058.0
иной источник	180.0	114.0	66.0
другие сочетания источников средств к существованию	7134.0	4403.0	2731.0
Женщины, указавшие два источника средств к существованию	261852.0	98047.0	163805.0
в том числе указавшие источники:			
доход от трудовой деятельности и			
личное подсобное хозяйство	49841.0	9926.0	39915.0
стипендию	455.0	433.0	22.0
пенсию (кроме пенсии по инвалидности)	21021.0	17535.0	3486.0
пенсию по инвалидности	2043.0	1517.0	526.0
пособие (кроме пособия по безработице)	3067.0	2195.0	872.0
пособие по безработице	102.0	79.0	23.0
другой вид государственного обеспечения	424.0	340.0	84.0
сбережения	203.0	160.0	43.0
доход от сдачи внаем или в аренду имущества	248.0	113.0	135.0
на иждивении отдельных лиц	1763.0	1526.0	237.0
иной источник	1624.0	1351.0	273.0
личное подсобное хозяйство и			
стипендию	56.0	30.0	26.0
пенсию (кроме пенсии по инвалидности)	62767.0	9349.0	53418.0
пенсию по инвалидности	3659.0	555.0	3104.0
пособие (кроме пособия по безработице)	1703.0	135.0	1568.0
пособие по безработице	708.0	157.0	551.0
другой вид государственного обеспечения	137.0	33.0	104.0
сбережения	111.0	31.0	80.0
доход от сдачи внаем или в аренду имущества	177.0	5.0	172.0
на иждивении отдельных лиц	8034.0	1736.0	6298.0
иной источник	1030.0	205.0	825.0
стипендию и			
пенсию	211.0	154.0	57.0
пособие (кроме пособия по безработице)	192.0	144.0	48.0
сбережения	5.0	3.0	2.0
доход от сдачи внаем или в аренду имущества	3.0	2.0	1.0
на иждивении отдельных лиц	15334.0	12575.0	2759.0
иной источник	59.0	53.0	6.0
пенсию и			
пособие	753.0	418.0	335.0
сбережения	252.0	145.0	107.0
доход от сдачи внаем или в аренду имущества	920.0	244.0	676.0
на иждивении отдельных лиц	3469.0	2209.0	1260.0
иной источник	370.0	302.0	68.0
пособие и			
сбережения	25.0	17.0	8.0
доход от сдачи внаем или в аренду имущества	49.0	20.0	29.0
на иждивении отдельных лиц	73522.0	29541.0	43981.0
иной источник	349.0	209.0	140.0
другие сочетания источников средств к существованию	7166.0	4600.0	2566.0
Ивановская область			
Все население, указавшее два источника средств к существованию	354507.0	262846.0	91661.0
в том числе указавшее источники:			
доход от трудовой деятельности и			
личное подсобное хозяйство	65554.0	41409.0	24145.0
стипендию	956.0	925.0	31.0
пенсию (кроме пенсии по инвалидности)	23562.0	21603.0	1959.0
пенсию по инвалидности	2116.0	1818.0	298.0
пособие (кроме пособия по безработице)	3746.0	3371.0	375.0
пособие по безработице	45.0	37.0	8.0
другой вид государственного обеспечения	5215.0	4650.0	565.0
сбережения	178.0	165.0	13.0
доход от сдачи внаем или в аренду имущества	148.0	134.0	14.0
на иждивении отдельных лиц	1283.0	1168.0	115.0
иной источник	800.0	660.0	140.0
личное подсобное хозяйство и			
стипендию	58.0	48.0	10.0
пенсию (кроме пенсии по инвалидности)	54494.0	32962.0	21532.0
пенсию по инвалидности	3037.0	1801.0	1236.0
пособие (кроме пособия по безработице)	485.0	222.0	263.0
пособие по безработице	2061.0	767.0	1294.0
другой вид государственного обеспечения	40.0	21.0	19.0
сбережения	102.0	78.0	24.0
доход от сдачи внаем или в аренду имущества	21.0	16.0	5.0
на иждивении отдельных лиц	7914.0	4910.0	3004.0
иной источник	1081.0	573.0	508.0
стипендию и			
пенсию	314.0	269.0	45.0
