3. НАСЕЛЕНИЕ ПО НАЦИОНАЛЬНОСТИ И ВЛАДЕНИЮ РУССКИМ ЯЗЫКОМ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ		
		
		
	Численность лиц соответствующей национальности	из них владеют русским языком
Итальянцы	2.0	2.0
Ительмены 	1.0	1.0
Кабардинцы 	67.0	67.0
Казахи 	155.0	155.0
Калмыки 	12.0	12.0
Караимы 	1.0	1.0
Каракалпаки 	2.0	2.0
Карачаевцы 	56.0	56.0
Карелы 	40.0	40.0
Кеты 	2.0	2.0
Киргизы 	35.0	35.0
Китайцы 	18.0	15.0
Коми 	80.0	80.0
Коми-пермяки	23.0	23.0
Корейцы 	158.0	158.0
Коряки 	3.0	3.0
Кубинцы	1.0	1.0
Кумандинцы 	3.0	3.0
Кумыки 	188.0	186.0
Курды 	44.0	42.0
Лакцы 	61.0	61.0
Латыши 	72.0	72.0
Латгальцы 	1.0	1.0
Лезгины 	345.0	340.0
Литовцы 	160.0	160.0
Марийцы 	105.0	105.0
Лугово-восточные марийцы 	2.0	2.0
Молдаване 	1251.0	1244.0
Монголы 	4.0	4.0
Мордва 	313.0	313.0
Мордва-мокша 	1.0	1.0
Нагайбаки 	2.0	2.0
Нанайцы 	6.0	6.0
Немцы 	816.0	814.0
Ненцы 	4.0	4.0
Ногайцы	7.0	7.0
Осетины 	368.0	367.0
Персы 	5.0	5.0
Поляки 	297.0	296.0
Пуштуны	11.0	11.0
Румыны 	27.0	27.0
Русские 	1184049.0	1182649.0
Казаки 	82.0	82.0
Рутульцы 	8.0	8.0
Сербы	17.0	17.0
Словаки	2.0	2.0
Табасараны 	202.0	201.0
Таджики 	180.0	177.0
Тазы 	1.0	1.0
Талыши 	12.0	11.0
Татары 	1576.0	1573.0
Татары сибирские 	3.0	3.0
Татары крымские 	3.0	3.0
Тувинцы 	5.0	5.0
Турки 	1174.0	1138.0
Турки-месхетинцы	9.0	9.0
Туркмены 	76.0	76.0
Удины 	10.0	10.0
Удмурты 	137.0	137.0
Узбеки 	451.0	446.0
Уйгуры	9.0	9.0
Украинцы 	20920.0	20869.0
Финны 	24.0	24.0
Французы	5.0	5.0
Хакасы 	9.0	9.0
Ханты 	2.0	2.0
Цахуры 	4.0	4.0
Цыгане 	2291.0	2233.0
Черкесы 	14.0	14.0
Чехи 	9.0	9.0
Чеченцы 	360.0	355.0
Чуваши 	368.0	367.0
Чукчи 	5.0	5.0
Шорцы 	3.0	3.0
Эвенки 	5.0	5.0
Эвены 	2.0	2.0
Эстонцы 	35.0	35.0
Юкагиры 	1.0	1.0
Якуты 	10.0	10.0
Японцы 	1.0	1.0
Лица других национальностей (не перечисленных выше)	452.0	307.0
Лица, не указавшие национальность в переписном листе 	2615.0	1248.0
Липецкая область	1213499.0	1204388.0
Абазины 	5.0	5.0
Абхазы 	27.0	27.0
Аварцы 	312.0	311.0
Агулы 	18.0	18.0
Адыгейцы 	3.0	3.0
Азербайджанцы 	3375.0	3229.0
Алтайцы 	6.0	6.0
Американцы	1.0	1.0
Арабы 	22.0	21.0
Армяне 	5398.0	5245.0
Ассирийцы 	44.0	44.0
Балкарцы 	7.0	7.0
Башкиры 	214.0	214.0
Белорусы 	2731.0	2726.0
Болгары	138.0	138.0
Буряты 	15.0	15.0
Венгры 	33.0	33.0
Вепсы 	2.0	2.0
Вьетнамцы 	87.0	82.0
Гагаузы	68.0	68.0
Греки 	189.0	186.0
Грузины 	1011.0	988.0
Даргинцы 	172.0	172.0
Дунгане 	8.0	8.0
Евреи 	427.0	427.0
Евреи горские 	28.0	26.0
Езиды 	704.0	659.0
Ингуши 	259.0	242.0
Индийцы хиндиязычные 	1.0	1.0
Испанцы	3.0	3.0
Итальянцы	7.0	7.0
Кабардинцы 	31.0	31.0
Казахи 	246.0	246.0
Калмыки 	21.0	21.0
Карачаевцы 	22.0	22.0
Карелы 	34.0	34.0
Кеты 	1.0	1.0
Киргизы 	55.0	55.0
Китайцы 	19.0	18.0
Коми 	63.0	63.0
Коми-пермяки	55.0	55.0
Корейцы 	241.0	240.0
Кубинцы	7.0	7.0
Кумандинцы 	1.0	1.0
Кумыки 	119.0	118.0
Курды 	13.0	12.0
Лакцы 	119.0	117.0
Латыши 	91.0	89.0
Латгальцы 	1.0	1.0
Лезгины 	454.0	442.0
Литовцы 	161.0	161.0
Манси 	1.0	1.0
Марийцы 	148.0	148.0
Горные марийцы 	14.0	14.0
Лугово-восточные марийцы 	10.0	10.0
Молдаване 	1269.0	1233.0
Монголы 	2.0	2.0
Мордва 	382.0	379.0
Мордва-мокша 	17.0	17.0
Мордва-эрзя	1.0	1.0
Нганасаны 	1.0	1.0
Немцы 	1124.0	1121.0
Ненцы 	4.0	4.0
Ногайцы	63.0	63.0
Осетины 	286.0	285.0
Персы 	6.0	6.0
Поляки 	259.0	259.0
Пуштуны	56.0	53.0
Румыны 	37.0	37.0
Русские 	1162878.0	1160237.0
Казаки 	70.0	70.0
Рутульцы 	87.0	87.0
Сербы	60.0	57.0
Словаки	1.0	1.0
Табасараны 	260.0	259.0
Таджики 	567.0	548.0
Талыши 	1.0	1.0
Татары 	1751.0	1747.0
Татары крымские 	10.0	10.0
Таты 	1.0	1.0
Тувинцы 	1.0	1.0
Турки 	69.0	63.0
Туркмены 	81.0	81.0
Удины 	15.0	15.0
Удмурты 	155.0	155.0
Узбеки 	579.0	564.0
Уйгуры	2.0	2.0
Украинцы 	13350.0	13322.0
Финны 	20.0	20.0
Французы	1.0	1.0
Хакасы 	21.0	20.0
Ханты 	6.0	6.0
Цахуры 	20.0	20.0
Цыгане 	3122.0	3052.0
Черкесы 	4.0	4.0
Чехи 	10.0	10.0
Чеченцы 	468.0	455.0
Чуваши 	400.0	400.0
Чукчи 	1.0	1.0
Эвенки 	1.0	1.0
Эвены 	1.0	1.0
Эстонцы 	57.0	57.0
Юкагиры 	3.0	3.0
Якуты 	19.0	19.0
Лица других национальностей (не перечисленных выше)	93.0	90.0
Лица, не указавшие национальность в переписном листе 	8678.0	2838.0
Московская область	6618538.0	6455494.0
Абазины 	52.0	52.0
Абхазы 	510.0	504.0
Аварцы 	1242.0	1223.0
Андийцы 	7.0	7.0
Багулалы 	2.0	2.0
Бежтинцы 	1.0	1.0
Гинухцы 	1.0	1.0
Гунзибцы 	4.0	4.0
Дидойцы 	6.0	6.0
Каратинцы 	3.0	3.0
Агулы 	72.0	72.0
Адыгейцы 	228.0	223.0
Азербайджанцы 	14651.0	13969.0
Алеуты 	3.0	3.0
Алтайцы 	40.0	40.0
Американцы	12.0	11.0
Англичане	12.0	11.0
Арабы 	357.0	338.0
Арабы среднеазиатские 	5.0	5.0
Армяне 	39660.0	38900.0
Ассирийцы 	379.0	375.0
Балкарцы 	98.0	95.0
Башкиры 	3565.0	3548.0
Белорусы 	42212.0	42095.0
Бесермяне 	1.0	1.0
Болгары	1511.0	1502.0
Буряты 	482.0	470.0
Венгры 	186.0	186.0
Вепсы 	20.0	20.0
Вьетнамцы 	220.0	160.0
Гагаузы	677.0	671.0
Греки 	1850.0	1829.0
Грузины 	9888.0	9718.0
Аджарцы 	1.0	1.0
Ингилойцы 	4.0	2.0
Лазы 	6.0	6.0
Мегрелы 	12.0	12.0
Сваны	1.0	1.0
Даргинцы 	953.0	938.0
Долганы 	1.0	1.0
Дунгане 	29.0	29.0
Евреи 	9899.0	9856.0
Евреи горские 	114.0	114.0
Евреи грузинские 	1.0	1.0
Евреи среднеазиатские 	3.0	1.0
Езиды 	595.0	579.0
Ижорцы 	8.0	8.0
Ингуши 	572.0	558.0
Индийцы хиндиязычные 	44.0	44.0
Испанцы	142.0	141.0
Итальянцы	19.0	19.0
Ительмены 	5.0	5.0
Кабардинцы 	570.0	561.0
Казахи 	2493.0	2475.0
Калмыки 	395.0	393.0
Камчадалы 	2.0	2.0
Караимы 	19.0	18.0
Каракалпаки 	105.0	102.0
Карачаевцы 	428.0	422.0
Карелы 	480.0	478.0
Кеты 	3.0	3.0
Киргизы 	592.0	574.0
Китайцы 	180.0	151.0
Коми 	708.0	706.0
Коми-ижемцы 	1.0	1.0
Коми-пермяки	368.0	368.0
Корейцы 	3232.0	3207.0
Коряки 	17.0	16.0
Крымчаки 	15.0	15.0
Кубинцы	41.0	41.0
Кумандинцы 	5.0	5.0
Кумыки 	818.0	806.0
Курды 	193.0	181.0
Лакцы 	628.0	623.0
Латыши 	872.0	868.0
Латгальцы 	7.0	7.0
Лезгины 	2130.0	2106.0
Литовцы 	1172.0	1164.0
Манси 	24.0	24.0
Марийцы 	2554.0	2543.0
Горные марийцы 	47.0	47.0
Лугово-восточные марийцы 	82.0	81.0
Молдаване 	10418.0	10273.0
Монголы 	32.0	29.0
Мордва 	21856.0	21794.0
Мордва-мокша 	95.0	93.0
Мордва-эрзя	62.0	62.0
Нагайбаки 	1.0	1.0
Нанайцы 	14.0	14.0
Нганасаны 	1.0	1.0
Немцы 	4607.0	4586.0
Ненцы 	32.0	32.0
Нивхи	4.0	3.0
Ногайцы	106.0	99.0
Орочи 	2.0	2.0
Осетины 	2389.0	2366.0
Осетины-дигорцы 	1.0	1.0
Осетины-иронцы 	1.0	1.0
Персы 	120.0	115.0
Поляки 	2764.0	2750.0
Пуштуны	266.0	241.0
Румыны 	170.0	170.0
Русины 	8.0	8.0
Русские 	6022763.0	5994286.0
Казаки 	559.0	559.0
Поморы 	9.0	9.0
Рутульцы 	103.0	100.0
Саамы 	8.0	8.0
Селькупы 	1.0	1.0
Сербы	207.0	202.0
Словаки	45.0	45.0
Табасараны 	405.0	394.0
Таджики 	3404.0	3122.0
Талыши 	51.0	51.0
Татары 	52851.0	52558.0
Астраханские татары 	1.0	1.0
Кряшены 	22.0	22.0
Татары сибирские 	18.0	18.0
Татары крымские 	77.0	77.0
Таты 	72.0	69.0
Телеуты 	2.0	2.0
Тофалары 	4.0	4.0
Тувинцы 	90.0	88.0
Тувинцы-тоджинцы 	1.0	1.0
Турки 	341.0	238.0
Турки-месхетинцы	3.0	3.0
Туркмены 	833.0	824.0
Удины 	35.0	35.0
Удмурты 	1847.0	1840.0
Удэгейцы 	2.0	2.0
Узбеки 	4183.0	4104.0
Уйгуры	96.0	96.0
Украинцы 	147808.0	147236.0
Ульчи 	5.0	5.0
Финны 	228.0	228.0
Финны-ингерманландцы 	3.0	3.0
Французы	19.0	19.0
Хакасы 	94.0	94.0
Ханты 	35.0	34.0
Хемшилы 	1.0	1.0
Цахуры 	48.0	46.0
Цыгане 	1511.0	1428.0
Цыгане среднеазиатские 	1.0	1.0
Черкесы 	142.0	140.0
Чехи 	88.0	88.0
Чеченцы 	1941.0	1870.0
Чеченцы-аккинцы 	1.0	1.0
Чуванцы 	1.0	1.0
Чуваши 	12530.0	12483.0
Чукчи 	19.0	19.0
Шорцы 	14.0	14.0
Эвенки 	18.0	18.0
Эвены 	12.0	12.0
Эскимосы 	3.0	3.0
Эстонцы 	460.0	459.0
Эстонцы-сету 	1.0	1.0
Юкагиры 	10.0	10.0
Якуты 	242.0	241.0
Японцы 	9.0	8.0
Лица других национальностей (не перечисленных выше)	2634.0	1273.0
Лица, не указавшие национальность в переписном листе 	172090.0	42963.0
Орловская область	860262.0	854948.0
Абазины 	3.0	3.0
Абхазы 	21.0	21.0
Аварцы 	373.0	371.0
Андийцы 	6.0	6.0
Дидойцы 	1.0	1.0
Агулы 	312.0	311.0
Адыгейцы 	13.0	13.0
Азербайджанцы 	2125.0	2061.0
Алтайцы 	5.0	5.0
Арабы 	6.0	6.0
Армяне 	3507.0	3465.0
Ассирийцы 	59.0	59.0
Балкарцы 	8.0	8.0
Башкиры 	149.0	149.0
Белорусы 	2438.0	2438.0
Болгары	121.0	121.0
Буряты 	34.0	34.0
Венгры 	14.0	14.0
Вьетнамцы 	36.0	29.0
Гагаузы	32.0	32.0
Греки 	137.0	137.0
Греки-урумы 	2.0	2.0
Грузины 	687.0	677.0
Даргинцы 	358.0	357.0
Долганы 	2.0	2.0
Евреи 	568.0	568.0
Евреи горские 	10.0	10.0
Езиды 	213.0	197.0
Ингуши 	221.0	217.0
Испанцы	2.0	2.0
Итальянцы	3.0	3.0
Ительмены 	1.0	1.0
Кабардинцы 	22.0	22.0
Казахи 	176.0	176.0
Калмыки 	8.0	8.0
Камчадалы 	1.0	1.0
Караимы 	2.0	2.0
Каракалпаки 	2.0	2.0
Карачаевцы 	37.0	37.0
Карелы 	26.0	26.0
Киргизы 	28.0	28.0
Китайцы 	66.0	61.0
Коми 	62.0	62.0
Коми-пермяки	46.0	46.0
Корейцы 	173.0	173.0
Крымчаки 	2.0	2.0
Кубинцы	2.0	2.0
Кумыки 	82.0	82.0
Курды 	740.0	687.0
Лакцы 	56.0	55.0
Латыши 	67.0	67.0
Латгальцы 	1.0	1.0
Лезгины 	456.0	453.0
Литовцы 	105.0	105.0
Марийцы 	128.0	127.0
Горные марийцы 	5.0	5.0
Лугово-восточные марийцы 	12.0	12.0
Молдаване 	902.0	892.0
Монголы 	2.0	2.0
Мордва 	272.0	272.0
Мордва-мокша 	4.0	4.0
Нагайбаки 	1.0	1.0
Немцы 	888.0	886.0
Ненцы 	4.0	4.0
Ногайцы	14.0	14.0
Осетины 	160.0	158.0
Персы 	7.0	7.0
Поляки 	208.0	208.0
Пуштуны	52.0	49.0
Румыны 	7.0	6.0
Русские 	820024.0	819103.0
Казаки 	49.0	49.0
Рутульцы 	46.0	46.0
Саамы 	1.0	1.0
Сербы	49.0	44.0
Словаки	2.0	2.0
Табасараны 	230.0	228.0
Таджики 	251.0	250.0
Татары 	1417.0	1414.0
Кряшены 	4.0	4.0
Татары сибирские 	2.0	2.0
Татары крымские 	5.0	5.0
Таты 	2.0	2.0
Тувинцы 	14.0	14.0
Турки 	881.0	843.0
Турки-месхетинцы	39.0	39.0
Туркмены 	47.0	47.0
Удины 	19.0	19.0
Удмурты 	146.0	146.0
Узбеки 	348.0	343.0
Уйгуры	8.0	8.0
Украинцы 	11212.0	11203.0
Финны 	12.0	12.0
Французы	4.0	4.0
Хакасы 	9.0	9.0
Ханты 	1.0	1.0
Цахуры 	4.0	4.0
Цыгане 	989.0	972.0
Черкесы 	3.0	3.0
Чехи 	7.0	7.0
Чеченцы 	1630.0	1566.0
Чеченцы-аккинцы 	1.0	1.0
Чуванцы 	1.0	1.0
Чуваши 	406.0	406.0
Эвенки 	3.0	3.0
Эстонцы 	25.0	25.0
Якуты 	20.0	20.0
Лица других национальностей (не перечисленных выше)	93.0	93.0
Лица, не указавшие национальность в переписном листе 	6052.0	2031.0
Рязанская область	1227910.0	1214197.0
Абазины 	6.0	6.0
Абхазы 	17.0	17.0
Аварцы 	465.0	457.0
Агулы 	88.0	88.0
Адыгейцы 	21.0	21.0
Азербайджанцы 	2939.0	2830.0
Алтайцы 	5.0	5.0
Американцы	4.0	3.0
Англичане	2.0	2.0
Арабы 	304.0	168.0
Армяне 	4458.0	4391.0
Ассирийцы 	51.0	51.0
Балкарцы 	21.0	21.0
Башкиры 	386.0	385.0
Белорусы 	3500.0	3491.0
Бесермяне 	2.0	2.0
Болгары	151.0	151.0
Буряты 	38.0	38.0
Венгры 	11.0	11.0
Вепсы 	4.0	4.0
Вьетнамцы 	114.0	106.0
Гагаузы	97.0	96.0
Греки 	136.0	136.0
Грузины 	601.0	597.0
Даргинцы 	200.0	200.0
Дунгане 	11.0	7.0
Евреи 	636.0	635.0
Евреи горские 	7.0	7.0
Езиды 	137.0	137.0
Ингуши 	134.0	130.0
Индийцы хиндиязычные 	149.0	36.0
Испанцы	6.0	6.0
Итальянцы	3.0	3.0
Ительмены 	2.0	2.0
Кабардинцы 	68.0	68.0
Казахи 	294.0	294.0
Калмыки 	45.0	45.0
Камчадалы 	1.0	1.0
Каракалпаки 	8.0	8.0
Карачаевцы 	46.0	45.0
Карелы 	70.0	70.0
Кеты 	1.0	1.0
Киргизы 	72.0	72.0
Китайцы 	8.0	7.0
Коми 	131.0	131.0
Коми-пермяки	61.0	61.0
Корейцы 	373.0	372.0
Кубинцы	6.0	6.0
Кумыки 	254.0	254.0
Курды 	30.0	30.0
Лакцы 	112.0	111.0
Латыши 	97.0	97.0
Латгальцы 	3.0	3.0
Лезгины 	738.0	736.0
Литовцы 	137.0	137.0
Манси 	1.0	1.0
Марийцы 	286.0	284.0
Горные марийцы 	2.0	2.0
Лугово-восточные марийцы 	4.0	4.0
Молдаване 	1133.0	1130.0
Монголы 	9.0	9.0
Мордва 	7252.0	7238.0
Мордва-мокша 	32.0	32.0
Мордва-эрзя	20.0	20.0
Нагайбаки 	1.0	1.0
Нанайцы 	1.0	1.0
Негидальцы 	1.0	1.0
Немцы 	1571.0	1570.0
Ненцы 	7.0	7.0
Нивхи	1.0	1.0
Ногайцы	49.0	47.0
Осетины 	159.0	158.0
Персы 	10.0	10.0
Поляки 	339.0	338.0
Пуштуны	39.0	39.0
Румыны 	53.0	52.0
Русские 	1161447.0	1159840.0
Казаки 	74.0	74.0
Поморы 	1.0	1.0
Рутульцы 	131.0	131.0
Саамы 	1.0	1.0
Сербы	64.0	62.0
Словаки	5.0	5.0
Табасараны 	154.0	153.0
Таджики 	573.0	569.0
Талыши 	3.0	3.0
Татары 	5569.0	5563.0
Астраханские татары 	1.0	1.0
Кряшены 	4.0	4.0
Татары крымские 	8.0	8.0
Тувинцы 	5.0	5.0
Турки 	351.0	337.0
Турки-месхетинцы	24.0	22.0
Туркмены 	136.0	136.0
Удины 	2.0	2.0
Удмурты 	311.0	308.0
Узбеки 	750.0	746.0
Уйгуры	12.0	12.0
Украинцы 	12671.0	12649.0
Финны 	40.0	40.0
Французы	2.0	1.0
Хакасы 	19.0	19.0
Ханты 	11.0	11.0
Хемшилы 	3.0	3.0
Цахуры 	11.0	11.0
Цыгане 	2165.0	2113.0
Черкесы 	19.0	19.0
Чехи 	8.0	8.0
Чеченцы 	504.0	490.0
Чеченцы-аккинцы 	1.0	1.0
Чуваши 	1284.0	1283.0
Чукчи 	3.0	3.0
Шорцы 	1.0	1.0
Эвенки 	6.0	6.0
Эвены 	3.0	3.0
Эскимосы 	2.0	2.0
Эстонцы 	42.0	42.0
Юкагиры 	6.0	6.0
Якуты 	16.0	16.0
Японцы 	3.0	3.0
Лица других национальностей (не перечисленных выше)	158.0	124.0
Лица, не указавшие национальность в переписном листе 	13217.0	1768.0
Смоленская область	1049574.0	1037726.0
Абазины 	9.0	9.0
Абхазы 	19.0	19.0
Аварцы 	235.0	233.0
Андийцы 	2.0	2.0
Агулы 	2.0	2.0
Адыгейцы 	7.0	7.0
Азербайджанцы 	2416.0	2342.0
Алтайцы 	3.0	3.0
Американцы	1.0	1.0
Арабы 	39.0	37.0
Армяне 	3893.0	3853.0
Ассирийцы 	43.0	43.0
Балкарцы 	10.0	10.0
Башкиры 	303.0	301.0
Белорусы 	16231.0	16179.0
Болгары	131.0	131.0
Буряты 	35.0	35.0
Венгры 	14.0	14.0
Вепсы 	2.0	2.0
Вьетнамцы 	16.0	15.0
Гагаузы	187.0	186.0
Греки 	131.0	131.0
Греки-урумы 	1.0	1.0
Грузины 	810.0	802.0
Даргинцы 	174.0	172.0
Долганы 	1.0	1.0
Евреи 	1434.0	1428.0
Евреи горские 	11.0	11.0
Езиды 	41.0	41.0
Ингуши 	52.0	52.0
Индийцы хиндиязычные 	1.0	1.0
Итальянцы	1.0	1.0
Кабардинцы 	35.0	35.0
Казахи 	320.0	318.0
Калмыки 	14.0	14.0
Каракалпаки 	10.0	10.0
Карачаевцы 	43.0	43.0
Карелы 	63.0	62.0
Киргизы 	44.0	43.0
Китайцы 	21.0	18.0
Коми 	120.0	120.0
Коми-пермяки	74.0	74.0
Корейцы 	240.0	240.0
Коряки 	2.0	2.0
Кубинцы	2.0	2.0
Кумыки 	96.0	96.0
Курды 	30.0	30.0
Лакцы 	52.0	52.0
Латыши 	189.0	189.0
Лезгины 	307.0	304.0
Литовцы 	516.0	514.0
Манси 	6.0	6.0
Марийцы 	225.0	224.0
Горные марийцы 	2.0	2.0
Лугово-восточные марийцы 	2.0	2.0
Молдаване 	924.0	915.0
Мордва 	627.0	626.0
Мордва-мокша 	13.0	13.0
Мордва-эрзя	4.0	4.0
Нагайбаки 	1.0	1.0
Немцы 	1133.0	1128.0
Ненцы 	5.0	5.0
Ногайцы	17.0	17.0
Осетины 	181.0	181.0
Персы 	6.0	6.0
Поляки 	680.0	678.0
Пуштуны	5.0	5.0
Румыны 	31.0	30.0
Русские 	980073.0	977862.0
Казаки 	95.0	95.0
Рутульцы 	20.0	20.0
Селькупы 	1.0	1.0
Сербы	11.0	10.0
Словаки	4.0	4.0
Табасараны 	68.0	68.0
Таджики 	424.0	415.0
Талыши 	6.0	4.0
Татары 	2424.0	2417.0
Кряшены 	1.0	1.0
Татары сибирские 	3.0	3.0
Татары крымские 	5.0	5.0
Таты 	5.0	5.0
Тувинцы 	5.0	5.0
Турки 	343.0	332.0
Турки-месхетинцы	83.0	81.0
Туркмены 	89.0	88.0
Удины 	2.0	2.0
Удмурты 	297.0	295.0
Узбеки 	533.0	528.0
Уйгуры	12.0	12.0
Украинцы 	17362.0	17315.0
Финны 	25.0	25.0
Французы	1.0	1.0
Хакасы 	12.0	12.0
Ханты 	5.0	5.0
Цахуры 	4.0	4.0
Цыгане 	3011.0	2941.0
