7. НАСЕЛЕНИЕ ОТДЕЛЬНЫХ НАЦИОНАЛЬНОСТЕЙ ПО ВОЗРАСТНЫМ ГРУППАМ И ПОЛУ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ									
									
									
	Городское и сельское			Городское население			Сельское население		
60 - 64	33578.0	13262.0	20316.0	15976.0	6406.0	9570.0	17602.0	6856.0	10746.0
65 - 69	29802.0	10538.0	19264.0	12321.0	4491.0	7830.0	17481.0	6047.0	11434.0
70 и более	55032.0	13185.0	41847.0	22830.0	5972.0	16858.0	32202.0	7213.0	24989.0
возраст не указан	37.0	17.0	20.0	21.0	9.0	12.0	16.0	8.0	8.0
Из общей численности - население в возрасте:									
моложе трудоспособного	99571.0	50591.0	48980.0	33100.0	16740.0	16360.0	66471.0	33851.0	32620.0
трудоспособном	407849.0	198924.0	208925.0	206642.0	95609.0	111033.0	201207.0	103315.0	97892.0
старше трудоспособного	129449.0	36985.0	92464.0	57213.0	16869.0	40344.0	72236.0	20116.0	52120.0
Медианный возраст	   40,0	   37,4	   42,0	   41,2	   39,0	   42,6	   38,9	   36,1	   41,3
Азербайджанцы	621840.0	386776.0	235064.0	479517.0	307346.0	172171.0	142323.0	79430.0	62893.0
 в том числе в возрасте, лет:									
0 - 4	47959.0	25775.0	22184.0	36568.0	19875.0	16693.0	11391.0	5900.0	5491.0
5 - 9	59421.0	31851.0	27570.0	45017.0	24290.0	20727.0	14404.0	7561.0	6843.0
10 - 14	62110.0	33146.0	28964.0	44843.0	24109.0	20734.0	17267.0	9037.0	8230.0
15 - 17	29412.0	16206.0	13206.0	20118.0	11258.0	8860.0	9294.0	4948.0	4346.0
18 - 19	17329.0	9470.0	7859.0	12437.0	6941.0	5496.0	4892.0	2529.0	2363.0
20 - 24	46053.0	26582.0	19471.0	35263.0	20860.0	14403.0	10790.0	5722.0	5068.0
25 - 29	55218.0	32980.0	22238.0	44951.0	27485.0	17466.0	10267.0	5495.0	4772.0
30 - 34	76580.0	50833.0	25747.0	63471.0	43198.0	20273.0	13109.0	7635.0	5474.0
35 - 39	80023.0	55676.0	24347.0	65196.0	46873.0	18323.0	14827.0	8803.0	6024.0
40 - 44	64766.0	46788.0	17978.0	51235.0	38422.0	12813.0	13531.0	8366.0	5165.0
45 - 49	34402.0	25203.0	9199.0	26383.0	20146.0	6237.0	8019.0	5057.0	2962.0
50 - 54	18690.0	13572.0	5118.0	14158.0	10683.0	3475.0	4532.0	2889.0	1643.0
55 - 59	7557.0	5331.0	2226.0	5673.0	4134.0	1539.0	1884.0	1197.0	687.0
60 - 64	8712.0	5827.0	2885.0	5955.0	4161.0	1794.0	2757.0	1666.0	1091.0
65 - 69	6174.0	3659.0	2515.0	3811.0	2372.0	1439.0	2363.0	1287.0	1076.0
70 и более	7173.0	3669.0	3504.0	4183.0	2336.0	1847.0	2990.0	1333.0	1657.0
возраст не указан	261.0	208.0	53.0	255.0	203.0	52.0	6.0	5.0	1.0
Из общей численности - население в возрасте:									
моложе трудоспособного	179901.0	96448.0	83453.0	133469.0	72207.0	61262.0	46432.0	24241.0	22191.0
трудоспособном	417393.0	276965.0	140428.0	330305.0	226067.0	104238.0	87088.0	50898.0	36190.0
старше трудоспособного	24285.0	13155.0	11130.0	15488.0	8869.0	6619.0	8797.0	4286.0	4511.0
Медианный возраст	   29,5	   31,9	   24,6	   30,0	   32,3	   24,7	   26,5	   28,7	   24,1
Марийцы	604298.0	278912.0	325386.0	256094.0	113570.0	142524.0	348204.0	165342.0	182862.0
 в том числе в возрасте, лет:									
0 - 4	25504.0	12883.0	12621.0	8171.0	4132.0	4039.0	17333.0	8751.0	8582.0
5 - 9	29636.0	14981.0	14655.0	9371.0	4750.0	4621.0	20265.0	10231.0	10034.0
10 - 14	47756.0	24632.0	23124.0	16795.0	8555.0	8240.0	30961.0	16077.0	14884.0
15 - 17	33761.0	16887.0	16874.0	15304.0	7175.0	8129.0	18457.0	9712.0	8745.0
18 - 19	19960.0	9796.0	10164.0	11554.0	5419.0	6135.0	8406.0	4377.0	4029.0
20 - 24	44251.0	21593.0	22658.0	22294.0	10342.0	11952.0	21957.0	11251.0	10706.0
25 - 29	41432.0	20341.0	21091.0	19394.0	9031.0	10363.0	22038.0	11310.0	10728.0
30 - 34	42661.0	20489.0	22172.0	18733.0	8128.0	10605.0	23928.0	12361.0	11567.0
35 - 39	55644.0	26762.0	28882.0	25124.0	10758.0	14366.0	30520.0	16004.0	14516.0
40 - 44	66281.0	31382.0	34899.0	31208.0	13130.0	18078.0	35073.0	18252.0	16821.0
45 - 49	55010.0	25849.0	29161.0	26223.0	11346.0	14877.0	28787.0	14503.0	14284.0
50 - 54	38711.0	17530.0	21181.0	18639.0	7989.0	10650.0	20072.0	9541.0	10531.0
55 - 59	15858.0	6971.0	8887.0	7188.0	3113.0	4075.0	8670.0	3858.0	4812.0
60 - 64	25779.0	10435.0	15344.0	9241.0	3933.0	5308.0	16538.0	6502.0	10036.0
65 - 69	22142.0	8105.0	14037.0	6536.0	2635.0	3901.0	15606.0	5470.0	10136.0
70 и более	39875.0	10261.0	29614.0	10295.0	3123.0	7172.0	29580.0	7138.0	22442.0
возраст не указан	37.0	15.0	22.0	24.0	11.0	13.0	13.0	4.0	9.0
Из общей численности - население в возрасте:									
моложе трудоспособного	114754.0	58530.0	56224.0	39124.0	19819.0	19305.0	75630.0	38711.0	36919.0
трудоспособном	392824.0	191566.0	201258.0	186799.0	84049.0	102750.0	206025.0	107517.0	98508.0
старше трудоспособного	96683.0	28801.0	67882.0	30147.0	9691.0	20456.0	66536.0	19110.0	47426.0
Медианный возраст	   36,7	   34,5	   38,5	   36,4	   34,6	   37,7	   36,9	   34,5	   39,3
Немцы	597212.0	290115.0	307097.0	339288.0	164015.0	175273.0	257924.0	126100.0	131824.0
 в том числе в возрасте, лет:									
0 - 4	21655.0	11412.0	10243.0	10238.0	5409.0	4829.0	11417.0	6003.0	5414.0
5 - 9	21347.0	11249.0	10098.0	9727.0	5194.0	4533.0	11620.0	6055.0	5565.0
10 - 14	33021.0	16901.0	16120.0	15454.0	7876.0	7578.0	17567.0	9025.0	8542.0
15 - 17	29076.0	14539.0	14537.0	15759.0	7693.0	8066.0	13317.0	6846.0	6471.0
18 - 19	21472.0	10743.0	10729.0	14354.0	7203.0	7151.0	7118.0	3540.0	3578.0
20 - 24	57619.0	28779.0	28840.0	36629.0	18200.0	18429.0	20990.0	10579.0	10411.0
25 - 29	46848.0	23612.0	23236.0	29856.0	14906.0	14950.0	16992.0	8706.0	8286.0
30 - 34	32540.0	16785.0	15755.0	19288.0	9859.0	9429.0	13252.0	6926.0	6326.0
35 - 39	37363.0	19186.0	18177.0	20488.0	10351.0	10137.0	16875.0	8835.0	8040.0
40 - 44	55434.0	28299.0	27135.0	30041.0	15138.0	14903.0	25393.0	13161.0	12232.0
45 - 49	61280.0	30596.0	30684.0	35019.0	17223.0	17796.0	26261.0	13373.0	12888.0
50 - 54	52791.0	25779.0	27012.0	32783.0	15938.0	16845.0	20008.0	9841.0	10167.0
55 - 59	14122.0	6686.0	7436.0	8967.0	4289.0	4678.0	5155.0	2397.0	2758.0
60 - 64	33282.0	15167.0	18115.0	17900.0	8277.0	9623.0	15382.0	6890.0	8492.0
65 - 69	26942.0	11566.0	15376.0	13592.0	5923.0	7669.0	13350.0	5643.0	7707.0
70 и более	52382.0	18792.0	33590.0	29162.0	10515.0	18647.0	23220.0	8277.0	14943.0
возраст не указан	38.0	24.0	14.0	31.0	21.0	10.0	7.0	3.0	4.0
Из общей численности - население в возрасте:									
моложе трудоспособного	85483.0	44366.0	41117.0	40161.0	20883.0	19278.0	45322.0	23483.0	21839.0
трудоспособном	391649.0	200200.0	191449.0	233764.0	118396.0	115368.0	157885.0	81804.0	76081.0
старше трудоспособного	120042.0	45525.0	74517.0	65332.0	24715.0	40617.0	54710.0	20810.0	33900.0
Медианный возраст	   39,7	   38,2	   41,2	   39,6	   38,0	   41,0	   40,0	   38,4	   41,4
Кабардинцы	519958.0	250455.0	269503.0	241062.0	114449.0	126613.0	278896.0	136006.0	142890.0
 в том числе в возрасте, лет:									
0 - 4	33853.0	17040.0	16813.0	13182.0	6729.0	6453.0	20671.0	10311.0	10360.0
5 - 9	39597.0	19882.0	19715.0	15771.0	7956.0	7815.0	23826.0	11926.0	11900.0
10 - 14	54022.0	27216.0	26806.0	22491.0	11337.0	11154.0	31531.0	15879.0	15652.0
15 - 17	32808.0	16636.0	16172.0	14982.0	7641.0	7341.0	17826.0	8995.0	8831.0
18 - 19	22573.0	11081.0	11492.0	12073.0	6004.0	6069.0	10500.0	5077.0	5423.0
20 - 24	50352.0	24465.0	25887.0	26219.0	12651.0	13568.0	24133.0	11814.0	12319.0
25 - 29	40066.0	19856.0	20210.0	20224.0	9809.0	10415.0	19842.0	10047.0	9795.0
30 - 34	39483.0	19485.0	19998.0	18828.0	8995.0	9833.0	20655.0	10490.0	10165.0
35 - 39	43201.0	20816.0	22385.0	20084.0	8953.0	11131.0	23117.0	11863.0	11254.0
40 - 44	42263.0	20518.0	21745.0	20986.0	9580.0	11406.0	21277.0	10938.0	10339.0
45 - 49	29890.0	14520.0	15370.0	15900.0	7348.0	8552.0	13990.0	7172.0	6818.0
50 - 54	21559.0	10275.0	11284.0	12121.0	5592.0	6529.0	9438.0	4683.0	4755.0
55 - 59	12808.0	5670.0	7138.0	6744.0	3128.0	3616.0	6064.0	2542.0	3522.0
60 - 64	21745.0	9047.0	12698.0	9168.0	3902.0	5266.0	12577.0	5145.0	7432.0
65 - 69	15333.0	6694.0	8639.0	5564.0	2407.0	3157.0	9769.0	4287.0	5482.0
70 и более	20397.0	7248.0	13149.0	6722.0	2415.0	4307.0	13675.0	4833.0	8842.0
возраст не указан	8.0	6.0	2.0	3.0	2.0	1.0	5.0	4.0	1.0
Из общей численности - население в возрасте:									
моложе трудоспособного	138300.0	69663.0	68637.0	56174.0	28440.0	27734.0	82126.0	41223.0	40903.0
трудоспособном	317037.0	157797.0	159240.0	159815.0	77283.0	82532.0	157222.0	80514.0	76708.0
старше трудоспособного	64613.0	22989.0	41624.0	25070.0	8724.0	16346.0	39543.0	14265.0	25278.0
Медианный возраст	   28,2	   27,1	   29,3	   28,8	   27,4	   30,2	   27,7	   26,9	   28,4
Осетины	514875.0	249874.0	265001.0	332629.0	160107.0	172522.0	182246.0	89767.0	92479.0
 в том числе в возрасте, лет:									
0 - 4	27690.0	14364.0	13326.0	17302.0	9032.0	8270.0	10388.0	5332.0	5056.0
5 - 9	32807.0	16742.0	16065.0	20363.0	10457.0	9906.0	12444.0	6285.0	6159.0
10 - 14	42150.0	21837.0	20313.0	26681.0	13885.0	12796.0	15469.0	7952.0	7517.0
15 - 17	27235.0	14024.0	13211.0	17485.0	9016.0	8469.0	9750.0	5008.0	4742.0
18 - 19	17805.0	9071.0	8734.0	12225.0	6259.0	5966.0	5580.0	2812.0	2768.0
20 - 24	39968.0	20165.0	19803.0	26623.0	13387.0	13236.0	13345.0	6778.0	6567.0
25 - 29	38338.0	19125.0	19213.0	25348.0	12568.0	12780.0	12990.0	6557.0	6433.0
30 - 34	38271.0	19106.0	19165.0	25457.0	12586.0	12871.0	12814.0	6520.0	6294.0
35 - 39	40540.0	20125.0	20415.0	26948.0	13020.0	13928.0	13592.0	7105.0	6487.0
40 - 44	41244.0	20516.0	20728.0	27592.0	13288.0	14304.0	13652.0	7228.0	6424.0
45 - 49	31828.0	15789.0	16039.0	21427.0	10204.0	11223.0	10401.0	5585.0	4816.0
50 - 54	26723.0	13104.0	13619.0	18358.0	8718.0	9640.0	8365.0	4386.0	3979.0
55 - 59	16658.0	7658.0	9000.0	11077.0	5014.0	6063.0	5581.0	2644.0	2937.0
60 - 64	30033.0	13039.0	16994.0	18950.0	8106.0	10844.0	11083.0	4933.0	6150.0
65 - 69	24687.0	10898.0	13789.0	14430.0	6371.0	8059.0	10257.0	4527.0	5730.0
70 и более	38696.0	14218.0	24478.0	22169.0	8105.0	14064.0	16527.0	6113.0	10414.0
возраст не указан	202.0	93.0	109.0	194.0	91.0	103.0	8.0	2.0	6.0
Из общей численности - население в возрасте:									
моложе трудоспособного	111818.0	57643.0	54175.0	70130.0	36350.0	33780.0	41688.0	21293.0	20395.0
трудоспособном	300439.0	153983.0	146456.0	200693.0	101084.0	99609.0	99746.0	52899.0	46847.0
старше трудоспособного	102416.0	38155.0	64261.0	61612.0	22582.0	39030.0	40804.0	15573.0	25231.0
Медианный возраст	   34,1	   32,5	   35,7	   34,0	   32,2	   35,7	   34,4	   33,2	   35,6
Даргинцы	510156.0	253936.0	256220.0	172421.0	87841.0	84580.0	337735.0	166095.0	171640.0
 в том числе в возрасте, лет:									
0 - 4	42939.0	21792.0	21147.0	12874.0	6539.0	6335.0	30065.0	15253.0	14812.0
5 - 9	49512.0	25423.0	24089.0	14801.0	7554.0	7247.0	34711.0	17869.0	16842.0
10 - 14	57983.0	29717.0	28266.0	17359.0	8912.0	8447.0	40624.0	20805.0	19819.0
15 - 17	35188.0	17919.0	17269.0	12530.0	6433.0	6097.0	22658.0	11486.0	11172.0
18 - 19	23922.0	12133.0	11789.0	11348.0	6063.0	5285.0	12574.0	6070.0	6504.0
20 - 24	48914.0	24689.0	24225.0	19450.0	10187.0	9263.0	29464.0	14502.0	14962.0
25 - 29	41411.0	20606.0	20805.0	14171.0	7075.0	7096.0	27240.0	13531.0	13709.0
30 - 34	41776.0	20986.0	20790.0	14516.0	7351.0	7165.0	27260.0	13635.0	13625.0
35 - 39	40576.0	20204.0	20372.0	14162.0	7144.0	7018.0	26414.0	13060.0	13354.0
40 - 44	36628.0	18427.0	18201.0	12997.0	6648.0	6349.0	23631.0	11779.0	11852.0
45 - 49	23106.0	11537.0	11569.0	8487.0	4326.0	4161.0	14619.0	7211.0	7408.0
50 - 54	15479.0	7668.0	7811.0	5684.0	2958.0	2726.0	9795.0	4710.0	5085.0
55 - 59	7586.0	3566.0	4020.0	2791.0	1366.0	1425.0	4795.0	2200.0	2595.0
60 - 64	12331.0	5713.0	6618.0	3748.0	1856.0	1892.0	8583.0	3857.0	4726.0
65 - 69	12969.0	5793.0	7176.0	3257.0	1542.0	1715.0	9712.0	4251.0	5461.0
70 и более	19791.0	7748.0	12043.0	4230.0	1882.0	2348.0	15561.0	5866.0	9695.0
возраст не указан	45.0	15.0	30.0	16.0	5.0	11.0	29.0	10.0	19.0
Из общей численности - население в возрасте:									
моложе трудоспособного	162068.0	82896.0	79172.0	48695.0	24855.0	23840.0	113373.0	58041.0	55332.0
трудоспособном	298932.0	151771.0	147161.0	111050.0	57701.0	53349.0	187882.0	94070.0	93812.0
старше трудоспособного	49111.0	19254.0	29857.0	12660.0	5280.0	7380.0	36451.0	13974.0	22477.0
Медианный возраст	   24,6	   23,9	   25,3	   24,3	   23,8	   24,8	   24,8	   24,0	   25,6
Буряты	445175.0	212150.0	233025.0	194562.0	90240.0	104322.0	250613.0	121910.0	128703.0
 в том числе в возрасте, лет:									
0 - 4	29173.0	14927.0	14246.0	10580.0	5330.0	5250.0	18593.0	9597.0	8996.0
5 - 9	31117.0	15853.0	15264.0	11439.0	5871.0	5568.0	19678.0	9982.0	9696.0
10 - 14	46899.0	24060.0	22839.0	16578.0	8418.0	8160.0	30321.0	15642.0	14679.0
15 - 17	31026.0	15756.0	15270.0	14372.0	6900.0	7472.0	16654.0	8856.0	7798.0
18 - 19	18779.0	9527.0	9252.0	12522.0	6227.0	6295.0	6257.0	3300.0	2957.0
20 - 24	40555.0	20194.0	20361.0	22421.0	11032.0	11389.0	18134.0	9162.0	8972.0
25 - 29	34407.0	16875.0	17532.0	16841.0	8063.0	8778.0	17566.0	8812.0	8754.0
30 - 34	30262.0	14447.0	15815.0	13753.0	6327.0	7426.0	16509.0	8120.0	8389.0
35 - 39	33930.0	16216.0	17714.0	14489.0	6554.0	7935.0	19441.0	9662.0	9779.0
40 - 44	38673.0	18062.0	20611.0	16194.0	7045.0	9149.0	22479.0	11017.0	11462.0
45 - 49	31996.0	14704.0	17292.0	13284.0	5688.0	7596.0	18712.0	9016.0	9696.0
50 - 54	23291.0	10536.0	12755.0	10301.0	4471.0	5830.0	12990.0	6065.0	6925.0
55 - 59	10103.0	4375.0	5728.0	4573.0	1931.0	2642.0	5530.0	2444.0	3086.0
60 - 64	14291.0	5921.0	8370.0	5728.0	2331.0	3397.0	8563.0	3590.0	4973.0
65 - 69	10173.0	4078.0	6095.0	3845.0	1530.0	2315.0	6328.0	2548.0	3780.0
70 и более	20464.0	6601.0	13863.0	7625.0	2512.0	5113.0	12839.0	4089.0	8750.0
возраст не указан	36.0	18.0	18.0	17.0	10.0	7.0	19.0	8.0	11.0
Из общей численности - население в возрасте:									
моложе трудоспособного	118076.0	60383.0	57693.0	42726.0	21645.0	21081.0	75350.0	38738.0	36612.0
трудоспособном	276407.0	135149.0	141258.0	131979.0	62212.0	69767.0	144428.0	72937.0	71491.0
старше трудоспособного	50656.0	16600.0	34056.0	19840.0	6373.0	13467.0	30816.0	10227.0	20589.0
Медианный возраст	   28,6	   26,6	   30,5	   27,6	   25,7	   29,5	   29,5	   27,4	   31,5
Якуты	443852.0	212911.0	230941.0	157825.0	72107.0	85718.0	286027.0	140804.0	145223.0
 в том числе в возрасте, лет:									
0 - 4	35015.0	17909.0	17106.0	10528.0	5387.0	5141.0	24487.0	12522.0	11965.0
5 - 9	40174.0	20444.0	19730.0	11658.0	5813.0	5845.0	28516.0	14631.0	13885.0
10 - 14	47992.0	24542.0	23450.0	13163.0	6696.0	6467.0	34829.0	17846.0	16983.0
15 - 17	30451.0	15245.0	15206.0	10395.0	4935.0	5460.0	20056.0	10310.0	9746.0
18 - 19	19825.0	9850.0	9975.0	10333.0	4702.0	5631.0	9492.0	5148.0	4344.0
20 - 24	36729.0	18041.0	18688.0	17578.0	8304.0	9274.0	19151.0	9737.0	9414.0
25 - 29	29956.0	14624.0	15332.0	13375.0	6295.0	7080.0	16581.0	8329.0	8252.0
30 - 34	30403.0	14645.0	15758.0	12073.0	5624.0	6449.0	18330.0	9021.0	9309.0
35 - 39	35321.0	16720.0	18601.0	12484.0	5612.0	6872.0	22837.0	11108.0	11729.0
40 - 44	37852.0	17602.0	20250.0	12419.0	5117.0	7302.0	25433.0	12485.0	12948.0
45 - 49	30425.0	13853.0	16572.0	9811.0	4071.0	5740.0	20614.0	9782.0	10832.0
50 - 54	20738.0	9209.0	11529.0	7188.0	2869.0	4319.0	13550.0	6340.0	7210.0
55 - 59	11586.0	4983.0	6603.0	4372.0	1709.0	2663.0	7214.0	3274.0	3940.0
60 - 64	10695.0	4550.0	6145.0	3808.0	1560.0	2248.0	6887.0	2990.0	3897.0
65 - 69	10749.0	4571.0	6178.0	3449.0	1415.0	2034.0	7300.0	3156.0	4144.0
70 и более	15909.0	6107.0	9802.0	5181.0	1993.0	3188.0	10728.0	4114.0	6614.0
возраст не указан	32.0	16.0	16.0	10.0	5.0	5.0	22.0	11.0	11.0
Из общей численности - население в возрасте:									
моложе трудоспособного	133432.0	68093.0	65339.0	38100.0	19264.0	18836.0	95332.0	48829.0	46503.0
трудоспособном	266432.0	129574.0	136858.0	104614.0	47870.0	56744.0	161818.0	81704.0	80114.0
старше трудоспособного	43956.0	15228.0	28728.0	15101.0	4968.0	10133.0	28855.0	10260.0	18595.0
Медианный возраст	   26,9	   25,1	   28,7	   26,9	   25,2	   28,5	   27,0	   25,1	   28,8
Кумыки	422409.0	205632.0	216777.0	198807.0	96486.0	102321.0	223602.0	109146.0	114456.0
 в том числе в возрасте, лет:									
0 - 4	35727.0	18077.0	17650.0	15075.0	7517.0	7558.0	20652.0	10560.0	10092.0
5 - 9	39625.0	19934.0	19691.0	16629.0	8298.0	8331.0	22996.0	11636.0	11360.0
10 - 14	47667.0	23774.0	23893.0	20785.0	10323.0	10462.0	26882.0	13451.0	13431.0
15 - 17	29979.0	15239.0	14740.0	14579.0	7441.0	7138.0	15400.0	7798.0	7602.0
18 - 19	20272.0	10194.0	10078.0	11657.0	5970.0	5687.0	8615.0	4224.0	4391.0
20 - 24	40727.0	19854.0	20873.0	21347.0	10414.0	10933.0	19380.0	9440.0	9940.0
25 - 29	32855.0	15824.0	17031.0	15873.0	7623.0	8250.0	16982.0	8201.0	8781.0
30 - 34	31461.0	15243.0	16218.0	15146.0	7242.0	7904.0	16315.0	8001.0	8314.0
35 - 39	32572.0	15758.0	16814.0	15193.0	7158.0	8035.0	17379.0	8600.0	8779.0
40 - 44	31770.0	15560.0	16210.0	15037.0	7347.0	7690.0	16733.0	8213.0	8520.0
45 - 49	21962.0	10694.0	11268.0	10605.0	5130.0	5475.0	11357.0	5564.0	5793.0
50 - 54	15701.0	7638.0	8063.0	8115.0	3927.0	4188.0	7586.0	3711.0	3875.0
55 - 59	7801.0	3671.0	4130.0	3996.0	1863.0	2133.0	3805.0	1808.0	1997.0
60 - 64	11019.0	4906.0	6113.0	5253.0	2356.0	2897.0	5766.0	2550.0	3216.0
65 - 69	9586.0	4099.0	5487.0	4118.0	1768.0	2350.0	5468.0	2331.0	3137.0
70 и более	13665.0	5157.0	8508.0	5388.0	2102.0	3286.0	8277.0	3055.0	5222.0
возраст не указан	20.0	10.0	10.0	11.0	7.0	4.0	9.0	3.0	6.0
Из общей численности - население в возрасте:									
моложе трудоспособного	132692.0	66791.0	65901.0	56853.0	28401.0	28452.0	75839.0	38390.0	37449.0
трудоспособном	251297.0	124669.0	126628.0	125051.0	61852.0	63199.0	126246.0	62817.0	63429.0
старше трудоспособного	38400.0	14162.0	24238.0	16892.0	6226.0	10666.0	21508.0	7936.0	13572.0
Медианный возраст	   24,6	   23,7	   25,4	   24,8	   23,9	   25,6	   24,4	   23,5	   25,2
Ингуши	413016.0	198115.0	214901.0	186478.0	91497.0	94981.0	226538.0	106618.0	119920.0
 в том числе в возрасте, лет:									
0 - 4	43498.0	21366.0	22132.0	18666.0	9452.0	9214.0	24832.0	11914.0	12918.0
5 - 9	46030.0	22310.0	23720.0	20117.0	9961.0	10156.0	25913.0	12349.0	13564.0
10 - 14	48253.0	23512.0	24741.0	21237.0	10527.0	10710.0	27016.0	12985.0	14031.0
15 - 17	27710.0	13375.0	14335.0	12570.0	6153.0	6417.0	15140.0	7222.0	7918.0
18 - 19	18173.0	8844.0	9329.0	8784.0	4553.0	4231.0	9389.0	4291.0	5098.0
20 - 24	40352.0	19241.0	21111.0	18968.0	9431.0	9537.0	21384.0	9810.0	11574.0
25 - 29	33071.0	15739.0	17332.0	15134.0	7263.0	7871.0	17937.0	8476.0	9461.0
30 - 34	31877.0	15239.0	16638.0	14588.0	7124.0	7464.0	17289.0	8115.0	9174.0
35 - 39	29037.0	13727.0	15310.0	13178.0	6303.0	6875.0	15859.0	7424.0	8435.0
40 - 44	28055.0	13732.0	14323.0	12925.0	6466.0	6459.0	15130.0	7266.0	7864.0
45 - 49	19605.0	9617.0	9988.0	9033.0	4394.0	4639.0	10572.0	5223.0	5349.0
50 - 54	12611.0	6168.0	6443.0	5931.0	2977.0	2954.0	6680.0	3191.0	3489.0
55 - 59	6835.0	3142.0	3693.0	3335.0	1540.0	1795.0	3500.0	1602.0	1898.0
60 - 64	9335.0	3959.0	5376.0	4197.0	1867.0	2330.0	5138.0	2092.0	3046.0
65 - 69	7700.0	3438.0	4262.0	3250.0	1487.0	1763.0	4450.0	1951.0	2499.0
70 и более	10681.0	4604.0	6077.0	4388.0	1905.0	2483.0	6293.0	2699.0	3594.0
возраст не указан	193.0	102.0	91.0	177.0	94.0	83.0	16.0	8.0	8.0
Из общей численности - население в возрасте:									
моложе трудоспособного	147076.0	71720.0	75356.0	64243.0	32059.0	32184.0	82833.0	39661.0	43172.0
трудоспособном	234338.0	114292.0	120046.0	108428.0	54085.0	54343.0	125910.0	60207.0	65703.0
