4. НАСЕЛЕНИЕ ЧАСТНЫХ ДОМОХОЗЯЙСТВ, ПРОЖИВАЮЩЕЕ В ИНДИВИДУАЛЬНЫХ ДОМАХ, ОТДЕЛЬНЫХ И КОММУНАЛЬНЫХ КВАРТИРАХ, ПО ПЕРИОДУ ПОСТРОЙКИ ДОМА И МАТЕРИАЛУ НАРУЖНЫХ СТЕН 1) ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ								
								
	Всего	из них проживают в домах, где материал наружных стен 						Не указали материал наружных стен
в 1920 г. и ранее	389.0	159.0	-	-	111.0	113.0	6.0	-
в 1921-1945 гг.	304.0	113.0	-	-	110.0	69.0	7.0	5.0
в 1946-1956 гг.	869.0	259.0	-	93.0	144.0	340.0	25.0	8.0
в 1957-1970 гг.	1859.0	779.0	108.0	208.0	157.0	413.0	143.0	51.0
в 1971-1995 гг.	2833.0	1041.0	1371.0	55.0	92.0	180.0	17.0	77.0
после 1995 г.	434.0	249.0	126.0	24.0	4.0	25.0	2.0	4.0
не указавшие период постройки дома	182.0	23.0	31.0	7.0	10.0	-	-	111.0
Сельское население								
Проживающие в индивидуальных домах, отдельных и коммунальных квартирах	510861.0	183046.0	26777.0	31105.0	199232.0	56059.0	8665.0	5977.0
в том числе построенных:								
в 1920 г. и ранее	10347.0	2167.0	12.0	28.0	6524.0	1274.0	242.0	100.0
в 1921-1945 гг.	24439.0	3373.0	39.0	67.0	17383.0	2913.0	448.0	216.0
в 1946-1956 гг.	54763.0	9601.0	111.0	940.0	34696.0	7497.0	1342.0	576.0
в 1957-1970 гг.	195180.0	52850.0	1728.0	5031.0	104857.0	23784.0	4987.0	1943.0
в 1971-1995 гг.	196677.0	99123.0	21470.0	21000.0	33547.0	17711.0	1513.0	2313.0
после 1995 г.	26124.0	14906.0	3274.0	3853.0	1088.0	2562.0	107.0	334.0
не указавшие период постройки дома	3331.0	1026.0	143.0	186.0	1137.0	318.0	26.0	495.0
Проживающие в индивидуальных домах	424458.0	134415.0	7691.0	23411.0	194806.0	51281.0	8245.0	4609.0
в том числе построенных:								
в 1920 г. и ранее	8722.0	1252.0	8.0	23.0	6091.0	1040.0	230.0	78.0
в 1921-1945 гг.	22841.0	2732.0	18.0	50.0	16733.0	2677.0	439.0	192.0
в 1946-1956 гг.	51755.0	8252.0	42.0	653.0	33845.0	7147.0	1287.0	529.0
в 1957-1970 гг.	179358.0	42782.0	388.0	4316.0	103059.0	22345.0	4747.0	1721.0
в 1971-1995 гг.	137290.0	64926.0	6609.0	14563.0	32960.0	15323.0	1415.0	1494.0
после 1995 г.	21919.0	13733.0	598.0	3680.0	1024.0	2495.0	105.0	284.0
не указавшие период постройки дома	2573.0	738.0	28.0	126.0	1094.0	254.0	22.0	311.0
Проживающие в отдельных квартирах	84919.0	48007.0	19023.0	7580.0	3974.0	4596.0	414.0	1325.0
в том числе построенных:								
в 1920 г. и ранее	1554.0	890.0	4.0	5.0	389.0	234.0	10.0	22.0
в 1921-1945 гг.	1495.0	613.0	21.0	17.0	579.0	232.0	9.0	24.0
в 1946-1956 гг.	2899.0	1320.0	69.0	281.0	782.0	345.0	55.0	47.0
в 1957-1970 гг.	15323.0	9903.0	1334.0	680.0	1653.0	1326.0	236.0	191.0
в 1971-1995 гг.	58824.0	33867.0	14804.0	6384.0	526.0	2338.0	98.0	807.0
после 1995 г.	4089.0	1130.0	2676.0	159.0	11.0	61.0	2.0	50.0
не указавшие период постройки дома	735.0	284.0	115.0	54.0	34.0	60.0	4.0	184.0
Проживающие в коммунальных квартирах	1484.0	624.0	63.0	114.0	452.0	182.0	6.0	43.0
в том числе построенных:								
в 1920 г. и ранее	71.0	25.0	-	-	44.0	-	2.0	-
в 1921-1945 гг.	103.0	28.0	-	-	71.0	4.0	-	-
в 1946-1956 гг.	109.0	29.0	-	6.0	69.0	5.0	-	-
в 1957-1970 гг.	499.0	165.0	6.0	35.0	145.0	113.0	4.0	31.0
в 1971-1995 гг.	563.0	330.0	57.0	53.0	61.0	50.0	-	12.0
после 1995 г.	116.0	43.0	-	14.0	53.0	6.0	-	-
не указавшие период постройки дома	23.0	4.0	-	6.0	9.0	4.0	-	-
Брянская область								
Городское и сельское население								
Проживающие в индивидуальных домах, отдельных и коммунальных квартирах	1283438.0	475264.0	225333.0	28189.0	446930.0	84091.0	12039.0	11592.0
в том числе построенных:								
в 1920 г. и ранее	13303.0	2762.0	3.0	41.0	9118.0	1264.0	6.0	109.0
в 1921-1945 гг.	45202.0	8318.0	34.0	454.0	32182.0	3796.0	166.0	252.0
в 1946-1956 гг.	164323.0	26061.0	646.0	3470.0	118137.0	13517.0	1098.0	1394.0
в 1957-1970 гг.	367461.0	124728.0	34749.0	7877.0	171923.0	21927.0	3267.0	2990.0
в 1971-1995 гг.	629035.0	275196.0	179792.0	15349.0	107106.0	39399.0	6931.0	5262.0
после 1995 г.	56491.0	35371.0	9003.0	855.0	6406.0	3811.0	519.0	526.0
не указавшие период постройки дома	7623.0	2828.0	1106.0	143.0	2058.0	377.0	52.0	1059.0
Проживающие в индивидуальных домах	617007.0	123375.0	5402.0	10781.0	396222.0	65968.0	9972.0	5287.0
в том числе построенных:								
в 1920 г. и ранее	7314.0	793.0	-	15.0	5709.0	761.0	6.0	30.0
в 1921-1945 гг.	31760.0	1552.0	-	119.0	27085.0	2781.0	52.0	171.0
в 1946-1956 гг.	127405.0	7918.0	80.0	1388.0	106935.0	9416.0	662.0	1006.0
в 1957-1970 гг.	216329.0	28074.0	350.0	5336.0	160115.0	18074.0	2683.0	1697.0
в 1971-1995 гг.	206748.0	70499.0	4740.0	3640.0	88591.0	31081.0	6295.0	1902.0
после 1995 г.	24392.0	13852.0	189.0	203.0	6094.0	3577.0	229.0	248.0
не указавшие период постройки дома	3059.0	687.0	43.0	80.0	1693.0	278.0	45.0	233.0
Проживающие в отдельных квартирах	659342.0	348418.0	219172.0	17103.0	48867.0	17570.0	2021.0	6191.0
в том числе построенных:								
в 1920 г. и ранее	5884.0	1937.0	3.0	26.0	3350.0	489.0	-	79.0
в 1921-1945 гг.	12541.0	6154.0	34.0	289.0	4911.0	958.0	114.0	81.0
в 1946-1956 гг.	35334.0	17490.0	556.0	1993.0	10638.0	3867.0	423.0	367.0
в 1957-1970 гг.	149014.0	95325.0	34303.0	2422.0	11377.0	3723.0	579.0	1285.0
в 1971-1995 гг.	420148.0	204001.0	174422.0	11663.0	17937.0	8204.0	608.0	3313.0
после 1995 г.	31969.0	21419.0	8799.0	652.0	301.0	230.0	290.0	278.0
не указавшие период постройки дома	4452.0	2092.0	1055.0	58.0	353.0	99.0	7.0	788.0
Проживающие в коммунальных квартирах	7089.0	3471.0	759.0	305.0	1841.0	553.0	46.0	114.0
в том числе построенных:								
в 1920 г. и ранее	105.0	32.0	-	-	59.0	14.0	-	-
в 1921-1945 гг.	901.0	612.0	-	46.0	186.0	57.0	-	-
в 1946-1956 гг.	1584.0	653.0	10.0	89.0	564.0	234.0	13.0	21.0
в 1957-1970 гг.	2118.0	1329.0	96.0	119.0	431.0	130.0	5.0	8.0
в 1971-1995 гг.	2139.0	696.0	630.0	46.0	578.0	114.0	28.0	47.0
после 1995 г.	130.0	100.0	15.0	-	11.0	4.0	-	-
не указавшие период постройки дома	112.0	49.0	8.0	5.0	12.0	-	-	38.0
Городское население								
Проживающие в индивидуальных домах, отдельных и коммунальных квартирах	859610.0	365797.0	198770.0	19690.0	207054.0	54106.0	6395.0	7798.0
в том числе построенных:								
в 1920 г. и ранее	11756.0	2614.0	3.0	37.0	7816.0	1188.0	6.0	92.0
в 1921-1945 гг.	32696.0	7934.0	32.0	431.0	20603.0	3352.0	151.0	193.0
в 1946-1956 гг.	97429.0	22856.0	598.0	3159.0	57884.0	11231.0	842.0	859.0
в 1957-1970 гг.	227478.0	103670.0	33718.0	6157.0	64391.0	15191.0	2399.0	1952.0
в 1971-1995 гг.	439974.0	197153.0	155378.0	9139.0	51684.0	20495.0	2595.0	3530.0
после 1995 г.	44760.0	29307.0	8095.0	653.0	3549.0	2395.0	369.0	392.0
не указавшие период постройки дома	5517.0	2263.0	946.0	114.0	1127.0	254.0	33.0	780.0
Проживающие в индивидуальных домах	299067.0	68385.0	1915.0	6717.0	174088.0	40263.0	4966.0	2733.0
в том числе построенных:								
в 1920 г. и ранее	5883.0	680.0	-	11.0	4479.0	688.0	6.0	19.0
в 1921-1945 гг.	19882.0	1311.0	-	101.0	15921.0	2389.0	48.0	112.0
в 1946-1956 гг.	64824.0	6209.0	61.0	1190.0	49018.0	7317.0	499.0	530.0
в 1957-1970 гг.	93486.0	17665.0	222.0	3842.0	57010.0	12000.0	1916.0	831.0
в 1971-1995 гг.	97527.0	32425.0	1482.0	1413.0	43489.0	15449.0	2324.0	945.0
после 1995 г.	15753.0	9663.0	129.0	103.0	3323.0	2244.0	143.0	148.0
не указавшие период постройки дома	1712.0	432.0	21.0	57.0	848.0	176.0	30.0	148.0
Проживающие в отдельных квартирах	554024.0	294216.0	196144.0	12683.0	31319.0	13315.0	1383.0	4964.0
в том числе построенных:								
в 1920 г. и ранее	5768.0	1902.0	3.0	26.0	3278.0	486.0	-	73.0
в 1921-1945 гг.	11924.0	6017.0	32.0	284.0	4501.0	906.0	103.0	81.0
в 1946-1956 гг.	31081.0	16014.0	527.0	1880.0	8329.0	3687.0	330.0	314.0
в 1957-1970 гг.	132062.0	84795.0	33400.0	2196.0	7013.0	3067.0	478.0	1113.0
в 1971-1995 гг.	340592.0	164142.0	153314.0	7695.0	7712.0	4944.0	243.0	2542.0
после 1995 г.	28883.0	19550.0	7951.0	550.0	215.0	147.0	226.0	244.0
не указавшие период постройки дома	3714.0	1796.0	917.0	52.0	271.0	78.0	3.0	597.0
Проживающие в коммунальных квартирах	6519.0	3196.0	711.0	290.0	1647.0	528.0	46.0	101.0
в том числе построенных:								
в 1920 г. и ранее	105.0	32.0	-	-	59.0	14.0	-	-
в 1921-1945 гг.	890.0	606.0	-	46.0	181.0	57.0	-	-
в 1946-1956 гг.	1524.0	633.0	10.0	89.0	537.0	227.0	13.0	15.0
в 1957-1970 гг.	1930.0	1210.0	96.0	119.0	368.0	124.0	5.0	8.0
в 1971-1995 гг.	1855.0	586.0	582.0	31.0	483.0	102.0	28.0	43.0
после 1995 г.	124.0	94.0	15.0	-	11.0	4.0	-	-
не указавшие период постройки дома	91.0	35.0	8.0	5.0	8.0	-	-	35.0
Сельское население								
Проживающие в индивидуальных домах, отдельных и коммунальных квартирах	423828.0	109467.0	26563.0	8499.0	239876.0	29985.0	5644.0	3794.0
в том числе построенных:								
в 1920 г. и ранее	1547.0	148.0	-	4.0	1302.0	76.0	-	17.0
в 1921-1945 гг.	12506.0	384.0	2.0	23.0	11579.0	444.0	15.0	59.0
в 1946-1956 гг.	66894.0	3205.0	48.0	311.0	60253.0	2286.0	256.0	535.0
в 1957-1970 гг.	139983.0	21058.0	1031.0	1720.0	107532.0	6736.0	868.0	1038.0
в 1971-1995 гг.	189061.0	78043.0	24414.0	6210.0	55422.0	18904.0	4336.0	1732.0
после 1995 г.	11731.0	6064.0	908.0	202.0	2857.0	1416.0	150.0	134.0
не указавшие период постройки дома	2106.0	565.0	160.0	29.0	931.0	123.0	19.0	279.0
Проживающие в индивидуальных домах	317940.0	54990.0	3487.0	4064.0	222134.0	25705.0	5006.0	2554.0
в том числе построенных:								
в 1920 г. и ранее	1431.0	113.0	-	4.0	1230.0	73.0	-	11.0
в 1921-1945 гг.	11878.0	241.0	-	18.0	11164.0	392.0	4.0	59.0
в 1946-1956 гг.	62581.0	1709.0	19.0	198.0	57917.0	2099.0	163.0	476.0
в 1957-1970 гг.	122843.0	10409.0	128.0	1494.0	103105.0	6074.0	767.0	866.0
в 1971-1995 гг.	109221.0	38074.0	3258.0	2227.0	45102.0	15632.0	3971.0	957.0
после 1995 г.	8639.0	4189.0	60.0	100.0	2771.0	1333.0	86.0	100.0
не указавшие период постройки дома	1347.0	255.0	22.0	23.0	845.0	102.0	15.0	85.0
Проживающие в отдельных квартирах	105318.0	54202.0	23028.0	4420.0	17548.0	4255.0	638.0	1227.0
в том числе построенных:								
в 1920 г. и ранее	116.0	35.0	-	-	72.0	3.0	-	6.0
в 1921-1945 гг.	617.0	137.0	2.0	5.0	410.0	52.0	11.0	-
в 1946-1956 гг.	4253.0	1476.0	29.0	113.0	2309.0	180.0	93.0	53.0
в 1957-1970 гг.	16952.0	10530.0	903.0	226.0	4364.0	656.0	101.0	172.0
в 1971-1995 гг.	79556.0	39859.0	21108.0	3968.0	10225.0	3260.0	365.0	771.0
после 1995 г.	3086.0	1869.0	848.0	102.0	86.0	83.0	64.0	34.0
не указавшие период постройки дома	738.0	296.0	138.0	6.0	82.0	21.0	4.0	191.0
Проживающие в коммунальных квартирах	570.0	275.0	48.0	15.0	194.0	25.0	-	13.0
в том числе построенных:								
в 1920 г. и ранее	-	-	-	-	-	-	-	-
в 1921-1945 гг.	11.0	6.0	-	-	5.0	-	-	-
в 1946-1956 гг.	60.0	20.0	-	-	27.0	7.0	-	6.0
в 1957-1970 гг.	188.0	119.0	-	-	63.0	6.0	-	-
в 1971-1995 гг.	284.0	110.0	48.0	15.0	95.0	12.0	-	4.0
после 1995 г.	6.0	6.0	-	-	-	-	-	-
не указавшие период постройки дома	21.0	14.0	-	-	4.0	-	-	3.0
Владимирская область								
Городское и сельское население								
Проживающие в индивидуальных домах, отдельных и коммунальных квартирах	1414061.0	653043.0	346709.0	22860.0	322153.0	52118.0	3962.0	13216.0
в том числе построенных:								
в 1920 г. и ранее	45050.0	11217.0	5.0	94.0	27588.0	5861.0	22.0	263.0
в 1921-1945 гг.	92057.0	14360.0	54.0	636.0	70306.0	5750.0	224.0	727.0
в 1946-1956 гг.	109350.0	22688.0	231.0	2970.0	70745.0	10644.0	995.0	1077.0
в 1957-1970 гг.	341594.0	201801.0	29348.0	2995.0	87484.0	15177.0	1899.0	2890.0
в 1971-1995 гг.	762363.0	366660.0	303360.0	15705.0	57971.0	11854.0	745.0	6068.0
после 1995 г.	53500.0	32067.0	12370.0	383.0	5850.0	2386.0	53.0	391.0
не указавшие период постройки дома	10147.0	4250.0	1341.0	77.0	2209.0	446.0	24.0	1800.0
Проживающие в индивидуальных домах	273203.0	29951.0	2806.0	2606.0	204631.0	28695.0	1924.0	2590.0
в том числе построенных:								
в 1920 г. и ранее	19627.0	1711.0	4.0	10.0	15834.0	1951.0	13.0	104.0
в 1921-1945 гг.	50762.0	1102.0	2.0	76.0	45985.0	3210.0	35.0	352.0
в 1946-1956 гг.	60228.0	1891.0	29.0	362.0	51605.0	5525.0	281.0	535.0
в 1957-1970 гг.	80728.0	7778.0	63.0	746.0	60623.0	9445.0	1301.0	772.0
в 1971-1995 гг.	47134.0	11904.0	2565.0	1203.0	24292.0	6418.0	248.0	504.0
после 1995 г.	12798.0	5342.0	136.0	206.0	5073.0	1881.0	31.0	129.0
не указавшие период постройки дома	1926.0	223.0	7.0	3.0	1219.0	265.0	15.0	194.0
Проживающие в отдельных квартирах	1118542.0	610083.0	341881.0	19752.0	112544.0	22182.0	1925.0	10175.0
в том числе построенных:								
в 1920 г. и ранее	24217.0	8836.0	1.0	75.0	11336.0	3818.0	9.0	142.0
в 1921-1945 гг.	36173.0	10743.0	47.0	506.0	22095.0	2307.0	145.0	330.0
в 1946-1956 гг.	44976.0	18774.0	202.0	2274.0	17909.0	4672.0	681.0	464.0
в 1957-1970 гг.	255499.0	190176.0	29075.0	2218.0	26054.0	5348.0	563.0	2065.0
в 1971-1995 гг.	709224.0	351067.0	299013.0	14428.0	33441.0	5369.0	497.0	5409.0
после 1995 г.	40585.0	26645.0	12222.0	177.0	763.0	494.0	22.0	262.0
не указавшие период постройки дома	7868.0	3842.0	1321.0	74.0	946.0	174.0	8.0	1503.0
Проживающие в коммунальных квартирах	22316.0	13009.0	2022.0	502.0	4978.0	1241.0	113.0	451.0
в том числе построенных:								
в 1920 г. и ранее	1206.0	670.0	-	9.0	418.0	92.0	-	17.0
в 1921-1945 гг.	5122.0	2515.0	5.0	54.0	2226.0	233.0	44.0	45.0
в 1946-1956 гг.	4146.0	2023.0	-	334.0	1231.0	447.0	33.0	78.0
в 1957-1970 гг.	5367.0	3847.0	210.0	31.0	807.0	384.0	35.0	53.0
в 1971-1995 гг.	6005.0	3689.0	1782.0	74.0	238.0	67.0	-	155.0
после 1995 г.	117.0	80.0	12.0	-	14.0	11.0	-	-
не указавшие период постройки дома	353.0	185.0	13.0	-	44.0	7.0	1.0	103.0
Городское население								
Проживающие в индивидуальных домах, отдельных и коммунальных квартирах	1117625.0	574848.0	307317.0	15515.0	170242.0	36823.0	2592.0	10288.0
в том числе построенных:								
в 1920 г. и ранее	31242.0	9582.0	4.0	91.0	16405.0	4962.0	8.0	190.0
в 1921-1945 гг.	61835.0	13565.0	44.0	608.0	42288.0	4599.0	209.0	522.0
в 1946-1956 гг.	78950.0	20720.0	220.0	2884.0	44476.0	8938.0	911.0	801.0
в 1957-1970 гг.	273798.0	182918.0	28820.0	2331.0	45068.0	11192.0	1214.0	2255.0
в 1971-1995 гг.	620322.0	316074.0	266095.0	9408.0	18673.0	5241.0	192.0	4639.0
после 1995 г.	43251.0	28246.0	10913.0	127.0	2109.0	1541.0	39.0	276.0
не указавшие период постройки дома	8227.0	3743.0	1221.0	66.0	1223.0	350.0	19.0	1605.0
Проживающие в индивидуальных домах	140024.0	17690.0	423.0	1174.0	99919.0	18228.0	1151.0	1439.0
в том числе построенных:								
в 1920 г. и ранее	8457.0	714.0	3.0	9.0	6448.0	1228.0	3.0	52.0
в 1921-1945 гг.	24342.0	634.0	2.0	48.0	21283.0	2168.0	22.0	185.0
в 1946-1956 гг.	36883.0	1466.0	26.0	317.0	30232.0	4282.0	223.0	337.0
в 1957-1970 гг.	44128.0	5282.0	25.0	592.0	30420.0	6575.0	799.0	435.0
в 1971-1995 гг.	18320.0	5880.0	286.0	143.0	9122.0	2608.0	75.0	206.0
после 1995 г.	6738.0	3562.0	74.0	63.0	1762.0	1175.0	19.0	83.0
не указавшие период постройки дома	1156.0	152.0	7.0	2.0	652.0	192.0	10.0	141.0
Проживающие в отдельных квартирах	956988.0	544824.0	305177.0	13844.0	65903.0	17482.0	1341.0	8417.0
в том числе построенных:								
в 1920 г. и ранее	21647.0	8200.0	1.0	73.0	9605.0	3642.0	5.0	121.0
в 1921-1945 гг.	32549.0	10437.0	37.0	506.0	18923.0	2204.0	143.0	299.0
в 1946-1956 гг.	38092.0	17282.0	194.0	2233.0	13100.0	4242.0	655.0	386.0
в 1957-1970 гг.	224764.0	174026.0	28585.0	1711.0	13968.0	4305.0	393.0	1776.0
в 1971-1995 гг.	596766.0	306830.0	264332.0	9193.0	9432.0	2581.0	117.0	4281.0
после 1995 г.	36443.0	24638.0	10827.0	64.0	344.0	357.0	20.0	193.0
не указавшие период постройки дома	6727.0	3411.0	1201.0	64.0	531.0	151.0	8.0	1361.0
Проживающие в коммунальных квартирах	20613.0	12334.0	1717.0	497.0	4420.0	1113.0	100.0	432.0
в том числе построенных:								
в 1920 г. и ранее	1138.0	668.0	-	9.0	352.0	92.0	-	17.0
в 1921-1945 гг.	4944.0	2494.0	5.0	54.0	2082.0	227.0	44.0	38.0
в 1946-1956 гг.	3975.0	1972.0	-	334.0	1144.0	414.0	33.0	78.0
в 1957-1970 гг.	4906.0	3610.0	210.0	28.0	680.0	312.0	22.0	44.0
в 1971-1995 гг.	5236.0	3364.0	1477.0	72.0	119.0	52.0	-	152.0
после 1995 г.	70.0	46.0	12.0	-	3.0	9.0	-	-
не указавшие период постройки дома	344.0	180.0	13.0	-	40.0	7.0	1.0	103.0
