3. ЧАСТНЫЕ ДОМОХОЗЯЙСТВА, СОСТОЯЩИЕ ИЗ ДВУХ И БОЛЕЕ ЧЕЛОВЕК, ПО ТИПАМ, РАЗМЕРУ И ЧИСЛУ ДЕТЕЙ МОЛОЖЕ 18 ЛЕТ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ								
								
	Число частных домохозяйств	В них чис-ленность членов домохозяйств	Из общего числа домохозяйств – домохозяйства, состоящие из					Средний размер домохозяйства, человек
Домохозяйства, состоящие из двух супружеских пар,  родственников (или без них) и не родственников (или без них)	6201.0	33428.0			909.0	2976.0	2316.0	5.39074342848
из них домохозяйства, имеющие детей моложе 18 лет	4809.0	27262.0				2586.0	2223.0	5.6689540445
в том числе домохозяйства:								
с 1 ребенком	3512.0	18622.0				2586.0	926.0	5.30239179954
с 2 детьми	1083.0	6879.0					1083.0	6.35180055402
с 3 и более детьми	214.0	1761.0					214.0	8.22897196262
в них детей		735.0					735.0	
Домохозяйства, состоящие из трех и более супружеских пар, родственников (или без них) и не родственников (или без них)	101.0	859.0					101.0	8.50495049505
из них домохозяйства, имеющие детей моложе 18 лет	90.0	787.0					90.0	8.74444444444
в том числе домохозяйства:								
с 1 ребенком	31.0	229.0					31.0	7.38709677419
с 2 детьми	35.0	298.0					35.0	8.51428571429
с 3 и более детьми	24.0	260.0					24.0	10.8333333333
в них детей		93.0					93.0	
Домохозяйства, состоящие из матери с детьми	51941.0	116637.0	41001.0	9545.0	1109.0	193.0	93.0	2.24556708573
из них домохозяйства, имеющие детей моложе 18 лет	23395.0	56503.0	15310.0	6859.0	957.0	177.0	92.0	2.41517418252
в том числе домохозяйства:								
с 1 ребенком	18627.0	40865.0	15310.0	3051.0	242.0	20.0	4.0	2.19385837762
с 2 детьми	4190.0	13022.0		3808.0	326.0	43.0	13.0	3.10787589499
с 3 и более детьми	578.0	2616.0			389.0	114.0	75.0	4.52595155709
в них детей		1897.0			1167.0	407.0	323.0	
Домохозяйства, состоящие из отца с детьми	5130.0	11240.0	4289.0	731.0	88.0	16.0	6.0	2.1910331384
из них домохозяйства, имеющие детей моложе 18 лет	1902.0	4480.0	1344.0	467.0	71.0	14.0	6.0	2.35541535226
в том числе домохозяйства:								
с 1 ребенком	1608.0	3508.0	1344.0	239.0	23.0	1.0	1.0	2.1815920398
с 2 детьми	256.0	800.0		228.0	25.0	2.0	1.0	3.125
с 3 и более детьми	38.0	172.0			23.0	11.0	4.0	4.52631578947
в них детей		125.0			69.0	39.0	17.0	
Домохозяйства, состоящие из матери (отца) с детьми и одного из родителей матери (отца)	10962.0	35202.0		8909.0	1855.0	150.0	48.0	3.21127531472
из них домохозяйства, имеющие детей моложе 18 лет	8688.0	28150.0		6853.0	1649.0	138.0	48.0	3.24010128913
в том числе домохозяйства:								
с 1 ребенком	7380.0	22681.0		6853.0	514.0	12.0	1.0	3.07330623306
с 2 детьми	1175.0	4745.0			1135.0	35.0	5.0	4.03829787234
с 3 и более детьми	133.0	724.0				91.0	42.0	5.44360902256
в них детей		443.0				273.0	170.0	
Домохозяйства, состоящие из матери (отца) с детьми, одного из родителей матери или отца (или без них), прочих родственников (или без них) и не родственников (или без них)	11634.0	44548.0		5076.0	4491.0	1444.0	623.0	3.82912154031
из них домохозяйства, имеющие детей моложе 18 лет	8643.0	34554.0		2899.0	3820.0	1335.0	589.0	3.9979173898
в том числе домохозяйства:								
с 1 ребенком	6087.0	22238.0		2820.0	2669.0	511.0	87.0	3.65335961886
с 2 детьми	2035.0	9168.0		79.0	1127.0	629.0	200.0	4.50515970516
с 3 и более детьми	521.0	3148.0			24.0	195.0	302.0	6.04222648752
в них детей		1757.0			72.0	593.0	1092.0	
Прочие домохозяйства	23042.0	52593.0	18575.0	3197.0	944.0	180.0	146.0	2.28248415936
из них домохозяйства, имеющие детей моложе 18 лет	4110.0	11210.0	2319.0	1127.0	463.0	105.0	96.0	2.72749391727
в том числе домохозяйства:								
с 1 ребенком	3141.0	7711.0	2115.0	745.0	213.0	43.0	25.0	2.45495065266
с 2 детьми	651.0	2064.0	204.0	275.0	117.0	30.0	25.0	3.17050691244
с 3 и более детьми	318.0	1435.0		107.0	133.0	32.0	46.0	4.51257861635
в них детей		1168.0		321.0	456.0	119.0	272.0	
Калужская область								
Все домохозяйства	303021.0	928726.0	115706.0	95658.0	62786.0	19457.0	9414.0	3.06488989212
из них домохозяйства, имеющие детей моложе 18 лет	147923.0	544589.0	16055.0	55579.0	49793.0	17551.0	8945.0	3.68157081725
в том числе домохозяйства:								
с 1 ребенком	104069.0	346672.0	15798.0	51741.0	25560.0	8697.0	2273.0	3.33117450922
с 2 детьми	37492.0	160394.0	257.0	3725.0	23688.0	6221.0	3601.0	4.27808599168
с 3 и более детьми	6362.0	37523.0		113.0	545.0	2633.0	3071.0	5.89798805407
в них детей		21487.0		339.0	1663.0	7999.0	11486.0	
Домохозяйства, состоящие из одной супружеской пары, родственников (или без них) и не родственников (или без них)	205938.0	654373.0	61472.0	72065.0	53894.0	13742.0	4765.0	3.17752430343
из них домохозяйства, имеющие детей моложе 18 лет	100895.0	387443.0		40202.0	43518.0	12585.0	4590.0	3.84006145002
в том числе домохозяйства:								
с 1 ребенком	68236.0	239430.0		40202.0	22267.0	4977.0	790.0	3.50885163257
с 2 детьми	28326.0	122417.0			21251.0	5429.0	1646.0	4.32171856245
с 3 и более детьми	4333.0	25596.0				2179.0	2154.0	5.90722363259
в них детей		14505.0				6537.0	7968.0	
Домохозяйства, состоящие из двух супружеских пар,  родственников (или без них) и не родственников (или без них)	8373.0	45892.0			1138.0	3723.0	3512.0	5.48095067479
из них домохозяйства, имеющие детей моложе 18 лет	6552.0	37754.0				3183.0	3369.0	5.76221001221
в том числе домохозяйства:								
с 1 ребенком	4504.0	24050.0				3183.0	1321.0	5.33969804618
с 2 детьми	1669.0	10624.0					1669.0	6.36548831636
с 3 и более детьми	379.0	3080.0					379.0	8.12664907652
в них детей		1280.0					1280.0	
Домохозяйства, состоящие из трех и более супружеских пар, родственников (или без них) и не родственников (или без них)	204.0	1833.0					204.0	8.98529411765
из них домохозяйства, имеющие детей моложе 18 лет	180.0	1680.0					180.0	9.33333333333
в том числе домохозяйства:								
с 1 ребенком	51.0	377.0					51.0	7.39215686275
с 2 детьми	71.0	586.0					71.0	8.25352112676
с 3 и более детьми	58.0	717.0					58.0	12.3620689655
в них детей		280.0					280.0	
Домохозяйства, состоящие из матери с детьми	43628.0	98695.0	33980.0	8279.0	1084.0	195.0	90.0	2.26219400385
из них домохозяйства, имеющие детей моложе 18 лет	20006.0	48770.0	12861.0	5935.0	939.0	185.0	86.0	2.4377686694
в том числе домохозяйства:								
с 1 ребенком	15814.0	34856.0	12861.0	2705.0	226.0	18.0	4.0	2.20412292905
с 2 детьми	3582.0	11171.0		3230.0	292.0	51.0	9.0	3.11864879955
с 3 и более детьми	610.0	2743.0			421.0	116.0	73.0	4.49672131148
в них детей		2020.0			1263.0	416.0	341.0	
Домохозяйства, состоящие из отца с детьми	4748.0	10452.0	3934.0	709.0	76.0	21.0	8.0	2.20134793597
из них домохозяйства, имеющие детей моложе 18 лет	1804.0	4273.0	1267.0	445.0	64.0	20.0	8.0	2.36862527716
в том числе домохозяйства:								
с 1 ребенком	1514.0	3301.0	1267.0	224.0	20.0	3.0	-	2.18031704095
с 2 детьми	250.0	791.0		221.0	20.0	6.0	3.0	3.164
с 3 и более детьми	40.0	181.0			24.0	11.0	5.0	4.525
в них детей		131.0			72.0	39.0	20.0	
Домохозяйства, состоящие из матери (отца) с детьми и одного из родителей матери (отца)	9106.0	29454.0		7275.0	1601.0	182.0	48.0	3.23457061278
из них домохозяйства, имеющие детей моложе 18 лет	7166.0	23399.0		5561.0	1384.0	173.0	48.0	3.26528049121
в том числе домохозяйства:								
с 1 ребенком	5981.0	18400.0		5561.0	385.0	34.0	1.0	3.07640862732
с 2 детьми	1042.0	4217.0			999.0	37.0	6.0	4.04702495202
с 3 и более детьми	143.0	782.0				102.0	41.0	5.46853146853
в них детей		479.0				306.0	173.0	
Домохозяйства, состоящие из матери (отца) с детьми, одного из родителей матери или отца (или без них), прочих родственников (или без них) и не родственников (или без них)	11266.0	43387.0		4842.0	4344.0	1433.0	647.0	3.85114503817
из них домохозяйства, имеющие детей моложе 18 лет	8150.0	32983.0		2591.0	3612.0	1332.0	615.0	4.04699386503
в том числе домохозяйства:								
с 1 ребенком	5613.0	20632.0		2518.0	2542.0	460.0	93.0	3.67575271691
с 2 детьми	1982.0	8973.0		73.0	1043.0	679.0	187.0	4.52724520686
с 3 и более детьми	555.0	3378.0			27.0	193.0	335.0	6.08648648649
в них детей		1905.0			81.0	587.0	1237.0	
Прочие домохозяйства	19758.0	44640.0	16320.0	2488.0	649.0	161.0	140.0	2.25933798968
из них домохозяйства, имеющие детей моложе 18 лет	3170.0	8287.0	1927.0	845.0	276.0	73.0	49.0	2.6141955836
в том числе домохозяйства:								
с 1 ребенком	2356.0	5626.0	1670.0	531.0	120.0	22.0	13.0	2.38794567063
с 2 детьми	570.0	1615.0	257.0	201.0	83.0	19.0	10.0	2.83333333333
с 3 и более детьми	244.0	1046.0		113.0	73.0	32.0	26.0	4.2868852459
в них детей		887.0		339.0	247.0	114.0	187.0	
Костромская область								
Все домохозяйства	217835.0	646952.0	88101.0	70672.0	43242.0	11306.0	4514.0	2.96991759818
из них домохозяйства, имеющие детей моложе 18 лет	106967.0	382291.0	11096.0	44685.0	36360.0	10461.0	4365.0	3.57391531968
в том числе домохозяйства:								
с 1 ребенком	73585.0	237101.0	10916.0	41864.0	15493.0	4348.0	964.0	3.22213766393
с 2 детьми	28865.0	119917.0	180.0	2707.0	20495.0	3880.0	1603.0	4.15440845314
с 3 и более детьми	4517.0	25273.0		114.0	372.0	2233.0	1798.0	5.59508523356
в них детей		15000.0		342.0	1143.0	6751.0	6764.0	
Домохозяйства, состоящие из одной супружеской пары, родственников (или без них) и не родственников (или без них)	157458.0	483961.0	52510.0	55648.0	38203.0	8581.0	2516.0	3.0735878774
из них домохозяйства, имеющие детей моложе 18 лет	77920.0	291012.0		34745.0	32703.0	8027.0	2445.0	3.73475359343
в том числе домохозяйства:								
с 1 ребенком	51307.0	173697.0		34745.0	13704.0	2548.0	310.0	3.38544448126
с 2 детьми	23207.0	97901.0			18999.0	3476.0	732.0	4.21859783686
