11. НАСЕЛЕНИЕ ОТДЕЛЬНЫХ НАЦИОНАЛЬНОСТЕЙ ПО УРОВНЮ ОБРАЗОВАНИЯ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ												
												
												
	Численность населения соответствующей национальности в возрасте 15 лет и более	в том числе имеют образование								Не имеют начального общего образования	из них неграмотные 	Не указавшие уровень образования
Украинцы	244855.0	2944.0	66252.0	10232.0	71982.0	21185.0	48469.0	15856.0	4825.0	646.0	121.0	2464.0
Татары	147971.0	963.0	28621.0	7675.0	40987.0	13660.0	31442.0	15829.0	6405.0	737.0	315.0	1652.0
Армяне	105399.0	1485.0	34308.0	6288.0	21873.0	6652.0	23380.0	7947.0	1619.0	315.0	52.0	1532.0
Азербайджанцы	82106.0	471.0	9962.0	2548.0	15960.0	6916.0	29485.0	12687.0	2331.0	330.0	39.0	1416.0
Евреи	75240.0	2780.0	45941.0	3956.0	9725.0	2041.0	6517.0	2498.0	926.0	167.0	44.0	689.0
Белорусы	57405.0	698.0	16762.0	2239.0	16911.0	4682.0	9745.0	3895.0	1812.0	132.0	28.0	529.0
Грузины	47416.0	586.0	14290.0	2836.0	10753.0	2961.0	10962.0	3477.0	649.0	145.0	16.0	757.0
Узбеки	22700.0	166.0	2316.0	797.0	4948.0	1828.0	6705.0	4493.0	1068.0	57.0	8.0	322.0
Мордва	22298.0	90.0	2398.0	639.0	7315.0	2914.0	5316.0	2003.0	1203.0	191.0	94.0	229.0
Чуваши	15218.0	93.0	2285.0	588.0	4732.0	1848.0	3626.0	1319.0	546.0	41.0	12.0	140.0
Чеченцы	10929.0	104.0	2701.0	756.0	2014.0	575.0	2760.0	1260.0	438.0	73.0	28.0	248.0
Осетины	9153.0	220.0	4016.0	733.0	1576.0	420.0	1490.0	488.0	89.0	29.0	4.0	92.0
Корейцы	7461.0	116.0	3147.0	683.0	1143.0	269.0	1547.0	399.0	78.0	17.0	3.0	62.0
Казахи	7232.0	171.0	1715.0	518.0	1775.0	520.0	1707.0	604.0	128.0	18.0	5.0	76.0
Башкиры	5530.0	94.0	1464.0	333.0	1460.0	478.0	1123.0	400.0	102.0	18.0	6.0	58.0
Северо-Западный федеральный округ												
Республика Карелия												
Все население	600686.0	1280.0	81087.0	13381.0	167281.0	105516.0	88918.0	88233.0	46221.0	4684.0	2427.0	4085.0
Карелы	57912.0	66.0	5969.0	1009.0	14817.0	12223.0	7077.0	8659.0	7352.0	726.0	377.0	14.0
Русские	449235.0	1048.0	64175.0	10869.0	129425.0	77220.0	69726.0	66972.0	27281.0	2359.0	1229.0	160.0
Белорусы	35995.0	31.0	2661.0	310.0	8404.0	7231.0	4320.0	5732.0	6388.0	908.0	454.0	10.0
Украинцы	18089.0	42.0	3122.0	348.0	5591.0	3015.0	2367.0	2073.0	1356.0	171.0	92.0	4.0
Финны	12712.0	35.0	1916.0	327.0	3542.0	2095.0	1613.0	1588.0	1479.0	115.0	27.0	2.0
Вепсы	4466.0	8.0	535.0	116.0	1153.0	809.0	533.0	689.0	581.0	42.0	22.0	-
Городское население	451442.0	1214.0	72781.0	12221.0	134987.0	71424.0	69487.0	58772.0	24452.0	2125.0	1026.0	3979.0
Карелы	31845.0	58.0	4584.0	804.0	9386.0	5976.0	4219.0	4043.0	2575.0	193.0	97.0	7.0
Русские	355874.0	998.0	58609.0	10076.0	108122.0	55958.0	56674.0	47474.0	16571.0	1264.0	585.0	128.0
Белорусы	20156.0	26.0	2149.0	257.0	5744.0	3778.0	2593.0	2799.0	2503.0	301.0	161.0	6.0
Украинцы	13321.0	41.0	2801.0	311.0	4490.0	1891.0	1700.0	1284.0	713.0	87.0	43.0	3.0
Финны	9697.0	33.0	1711.0	303.0	2868.0	1446.0	1280.0	1106.0	890.0	59.0	14.0	1.0
Вепсы	2991.0	8.0	456.0	100.0	890.0	436.0	355.0	425.0	296.0	25.0	9.0	-
Сельское население	149244.0	66.0	8306.0	1160.0	32294.0	34092.0	19431.0	29461.0	21769.0	2559.0	1401.0	106.0
Карелы	26067.0	8.0	1385.0	205.0	5431.0	6247.0	2858.0	4616.0	4777.0	533.0	280.0	7.0
Русские	93361.0	50.0	5566.0	793.0	21303.0	21262.0	13052.0	19498.0	10710.0	1095.0	644.0	32.0
Белорусы	15839.0	5.0	512.0	53.0	2660.0	3453.0	1727.0	2933.0	3885.0	607.0	293.0	4.0
Украинцы	4768.0	1.0	321.0	37.0	1101.0	1124.0	667.0	789.0	643.0	84.0	49.0	1.0
Финны	3015.0	2.0	205.0	24.0	674.0	649.0	333.0	482.0	589.0	56.0	13.0	1.0
Вепсы	1475.0	-	79.0	16.0	263.0	373.0	178.0	264.0	285.0	17.0	13.0	-
Республика Коми												
Все население	837438.0	1434.0	100795.0	19621.0	262681.0	134480.0	130144.0	129033.0	48732.0	6326.0	3531.0	4192.0
Коми	217235.0	338.0	21537.0	3752.0	62484.0	38788.0	28132.0	40144.0	19385.0	2631.0	1462.0	44.0
Русские	483156.0	878.0	63231.0	13002.0	156558.0	72848.0	78428.0	72774.0	22335.0	2578.0	1418.0	524.0
Украинцы	56866.0	86.0	7539.0	1238.0	19943.0	9467.0	9082.0	6363.0	2791.0	318.0	160.0	39.0
Татары	13293.0	12.0	1348.0	273.0	4339.0	2510.0	2629.0	1652.0	461.0	56.0	37.0	13.0
Белорусы	14125.0	38.0	1890.0	276.0	4668.0	2353.0	2075.0	1674.0	1025.0	118.0	58.0	8.0
Немцы	8204.0	14.0	835.0	210.0	2535.0	1213.0	1330.0	1152.0	796.0	115.0	55.0	4.0
Чуваши	6899.0	10.0	569.0	104.0	2424.0	1374.0	1215.0	846.0	325.0	29.0	10.0	3.0
Ненцы	513.0	-	11.0	2.0	84.0	59.0	63.0	123.0	39.0	132.0	119.0	-
Ханты	65.0	-	3.0	-	8.0	8.0	14.0	24.0	2.0	6.0	5.0	-
Городское население	632678.0	1333.0	88654.0	17507.0	214750.0	90468.0	103285.0	83335.0	25907.0	3320.0	1821.0	4119.0
Коми	104290.0	280.0	15248.0	2753.0	36817.0	14508.0	14722.0	13962.0	5233.0	731.0	405.0	36.0
Русские	410675.0	845.0	58656.0	12099.0	138823.0	57742.0	67781.0	56658.0	15780.0	1776.0	933.0	515.0
Украинцы	48782.0	82.0	7012.0	1149.0	17947.0	7522.0	7909.0	4979.0	1917.0	227.0	104.0	38.0
Татары	12172.0	12.0	1269.0	264.0	4067.0	2245.0	2487.0	1421.0	354.0	40.0	26.0	13.0
Белорусы	12016.0	36.0	1749.0	255.0	4171.0	1867.0	1823.0	1324.0	702.0	81.0	38.0	8.0
Немцы	6457.0	14.0	751.0	187.0	2168.0	819.0	1110.0	831.0	511.0	63.0	28.0	3.0
Чуваши	5991.0	10.0	500.0	97.0	2175.0	1158.0	1106.0	681.0	241.0	20.0	9.0	3.0
Ненцы	436.0	-	11.0	2.0	70.0	43.0	53.0	100.0	27.0	130.0	118.0	-
Ханты	57.0	-	3.0	-	6.0	5.0	12.0	24.0	2.0	5.0	4.0	-
Сельское население	204760.0	101.0	12141.0	2114.0	47931.0	44012.0	26859.0	45698.0	22825.0	3006.0	1710.0	73.0
Коми	112945.0	58.0	6289.0	999.0	25667.0	24280.0	13410.0	26182.0	14152.0	1900.0	1057.0	8.0
Русские	72481.0	33.0	4575.0	903.0	17735.0	15106.0	10647.0	16116.0	6555.0	802.0	485.0	9.0
Украинцы	8084.0	4.0	527.0	89.0	1996.0	1945.0	1173.0	1384.0	874.0	91.0	56.0	1.0
Татары	1121.0	-	79.0	9.0	272.0	265.0	142.0	231.0	107.0	16.0	11.0	-
Белорусы	2109.0	2.0	141.0	21.0	497.0	486.0	252.0	350.0	323.0	37.0	20.0	-
Немцы	1747.0	-	84.0	23.0	367.0	394.0	220.0	321.0	285.0	52.0	27.0	1.0
Чуваши	908.0	-	69.0	7.0	249.0	216.0	109.0	165.0	84.0	9.0	1.0	-
Ненцы	77.0	-	-	-	14.0	16.0	10.0	23.0	12.0	2.0	1.0	-
Ханты	8.0	-	-	-	2.0	3.0	2.0	-	-	1.0	1.0	-
Архангельская область												
Все население	1112127.0	1606.0	131770.0	23585.0	321850.0	206042.0	154038.0	180332.0	82643.0	8701.0	4347.0	1560.0
Русские	1042614.0	1472.0	122327.0	22435.0	302409.0	194798.0	144377.0	170030.0	76578.0	7690.0	3797.0	498.0
Украинцы	26548.0	56.0	4263.0	475.0	8405.0	4523.0	3400.0	3215.0	1976.0	226.0	92.0	9.0
Белорусы	9996.0	13.0	1481.0	152.0	3004.0	1745.0	1120.0	1271.0	1081.0	126.0	55.0	3.0
Ненцы	5736.0	2.0	249.0	41.0	1101.0	634.0	779.0	1939.0	789.0	202.0	138.0	-
Коми	4863.0	5.0	418.0	55.0	1566.0	817.0	456.0	946.0	526.0	71.0	45.0	3.0
Татары	3090.0	12.0	477.0	54.0	909.0	535.0	440.0	405.0	227.0	31.0	22.0	-
Городское население	836740.0	1483.0	116134.0	21215.0	260464.0	141315.0	123601.0	121454.0	45011.0	4588.0	2336.0	1475.0
Русские	787270.0	1358.0	107997.0	20239.0	245525.0	133862.0	116482.0	115627.0	41744.0	4001.0	2021.0	435.0
Украинцы	19820.0	52.0	3708.0	403.0	6704.0	3025.0	2554.0	2128.0	1116.0	124.0	48.0	6.0
Белорусы	7824.0	12.0	1283.0	130.0	2486.0	1273.0	911.0	943.0	700.0	83.0	35.0	3.0
Ненцы	1313.0	1.0	163.0	20.0	354.0	178.0	202.0	237.0	78.0	80.0	55.0	-
Коми	2474.0	5.0	346.0	45.0	963.0	379.0	223.0	318.0	169.0	25.0	17.0	1.0
Татары	2574.0	12.0	432.0	47.0	778.0	431.0	373.0	319.0	161.0	21.0	16.0	-
Сельское население	275387.0	123.0	15636.0	2370.0	61386.0	64727.0	30437.0	58878.0	37632.0	4113.0	2011.0	85.0
Русские	255344.0	114.0	14330.0	2196.0	56884.0	60936.0	27895.0	54403.0	34834.0	3689.0	1776.0	63.0
Украинцы	6728.0	4.0	555.0	72.0	1701.0	1498.0	846.0	1087.0	860.0	102.0	44.0	3.0
Белорусы	2172.0	1.0	198.0	22.0	518.0	472.0	209.0	328.0	381.0	43.0	20.0	-
Ненцы	4423.0	1.0	86.0	21.0	747.0	456.0	577.0	1702.0	711.0	122.0	83.0	-
Коми	2389.0	-	72.0	10.0	603.0	438.0	233.0	628.0	357.0	46.0	28.0	2.0
Татары	516.0	-	45.0	7.0	131.0	104.0	67.0	86.0	66.0	10.0	6.0	-
Ненецкий автономный округ												
Все население	31933.0	63.0	3113.0	441.0	10042.0	4450.0	3729.0	6710.0	2515.0	373.0	245.0	497.0
Ненцы	5245.0	2.0	225.0	35.0	983.0	532.0	692.0	1842.0	748.0	186.0	129.0	-
Русские	20146.0	45.0	2271.0	317.0	6962.0	2975.0	2349.0	3828.0	1270.0	116.0	70.0	13.0
Коми	3652.0	4.0	225.0	28.0	1156.0	589.0	351.0	801.0	435.0	60.0	39.0	3.0
Городское население	20599.0	59.0	2717.0	372.0	7567.0	2732.0	2449.0	3193.0	841.0	175.0	107.0	494.0
Ненцы	1088.0	1.0	142.0	15.0	289.0	126.0	160.0	216.0	67.0	72.0	48.0	-
Русские	15351.0	42.0	2052.0	280.0	5763.0	2082.0	1859.0	2559.0	622.0	79.0	43.0	13.0
Коми	1616.0	4.0	181.0	20.0	666.0	234.0	141.0	235.0	114.0	20.0	15.0	1.0
Сельское население	11334.0	4.0	396.0	69.0	2475.0	1718.0	1280.0	3517.0	1674.0	198.0	138.0	3.0
Ненцы	4157.0	1.0	83.0	20.0	694.0	406.0	532.0	1626.0	681.0	114.0	81.0	-
Русские	4795.0	3.0	219.0	37.0	1199.0	893.0	490.0	1269.0	648.0	37.0	27.0	-
Коми	2036.0	-	44.0	8.0	490.0	355.0	210.0	566.0	321.0	40.0	24.0	2.0
Вологодская область												
Все население	1062508.0	1663.0	128865.0	22162.0	313643.0	142410.0	160814.0	169486.0	102244.0	13232.0	6459.0	7989.0
Русские	1024676.0	1566.0	122979.0	21439.0	303684.0	138223.0	154785.0	165370.0	99691.0	12519.0	6036.0	4420.0
Украинцы	11753.0	38.0	2377.0	241.0	3862.0	1520.0	1737.0	1269.0	627.0	71.0	29.0	11.0
Белорусы	4729.0	11.0	881.0	76.0	1495.0	594.0	630.0	555.0	430.0	52.0	22.0	5.0
Городское население	736079.0	1506.0	109326.0	19565.0	241286.0	84702.0	119053.0	103700.0	44287.0	4834.0	2292.0	7820.0
Русские	706972.0	1417.0	104114.0	18926.0	233388.0	82086.0	114450.0	101042.0	42875.0	4395.0	2033.0	4279.0
Украинцы	8519.0	34.0	2065.0	211.0	2993.0	875.0	1194.0	767.0	335.0	37.0	14.0	8.0
Белорусы	3616.0	10.0	791.0	68.0	1209.0	393.0	508.0	366.0	245.0	25.0	13.0	1.0
Сельское население	326429.0	157.0	19539.0	2597.0	72357.0	57708.0	41761.0	65786.0	57957.0	8398.0	4167.0	169.0
Русские	317704.0	149.0	18865.0	2513.0	70296.0	56137.0	40335.0	64328.0	56816.0	8124.0	4003.0	141.0
Украинцы	3234.0	4.0	312.0	30.0	869.0	645.0	543.0	502.0	292.0	34.0	15.0	3.0
Белорусы	1113.0	1.0	90.0	8.0	286.0	201.0	122.0	189.0	185.0	27.0	9.0	4.0
Калининградская область												
Все население	806700.0	2300.0	140434.0	25074.0	252468.0	99526.0	129202.0	98544.0	46576.0	4518.0	2456.0	8058.0
Русские	653351.0	1911.0	115235.0	21691.0	206929.0	80603.0	107317.0	81016.0	33880.0	3147.0	1676.0	1622.0
Белорусы	48704.0	102.0	7188.0	900.0	15405.0	6655.0	6318.0	5822.0	5784.0	483.0	240.0	47.0
Украинцы	44618.0	135.0	10055.0	1182.0	16072.0	4892.0	5994.0	3894.0	2159.0	169.0	81.0	66.0
Литовцы	12541.0	10.0	546.0	134.0	2768.0	2346.0	1940.0	2499.0	2027.0	256.0	168.0	15.0
Городское население	633720.0	2100.0	126884.0	22544.0	210975.0	64425.0	102568.0	67185.0	27017.0	2311.0	1158.0	7711.0
Русские	520538.0	1753.0	104780.0	19732.0	174482.0	53268.0	86940.0	56469.0	20026.0	1634.0	805.0	1454.0
Белорусы	37552.0	95.0	6380.0	767.0	12847.0	4377.0	5043.0	4148.0	3593.0	261.0	116.0	41.0
Украинцы	36577.0	127.0	9049.0	1026.0	13715.0	3368.0	4783.0	2908.0	1437.0	108.0	51.0	56.0
Литовцы	6666.0	9.0	470.0	102.0	2004.0	968.0	1157.0	1075.0	783.0	89.0	58.0	9.0
Сельское население	172980.0	200.0	13550.0	2530.0	41493.0	35101.0	26634.0	31359.0	19559.0	2207.0	1298.0	347.0
Русские	132813.0	158.0	10455.0	1959.0	32447.0	27335.0	20377.0	24547.0	13854.0	1513.0	871.0	168.0
Белорусы	11152.0	7.0	808.0	133.0	2558.0	2278.0	1275.0	1674.0	2191.0	222.0	124.0	6.0
Украинцы	8041.0	8.0	1006.0	156.0	2357.0	1524.0	1211.0	986.0	722.0	61.0	30.0	10.0
Литовцы	5875.0	1.0	76.0	32.0	764.0	1378.0	783.0	1424.0	1244.0	167.0	110.0	6.0
Ленинградская область												
Все население	1431655.0	3458.0	198687.0	41523.0	421296.0	212579.0	209042.0	193653.0	111198.0	7486.0	3801.0	32733.0
Русские	1274498.0	2951.0	175536.0	37977.0	383194.0	195995.0	190308.0	179080.0	100207.0	6299.0	3067.0	2951.0
Украинцы	39589.0	163.0	8724.0	1016.0	13637.0	4919.0	5244.0	3553.0	2147.0	126.0	60.0	60.0
Белорусы	25179.0	96.0	4165.0	543.0	7945.0	3702.0	3203.0	2820.0	2466.0	165.0	82.0	74.0
Татары	8658.0	26.0	1679.0	281.0	2820.0	1115.0	1255.0	923.0	499.0	43.0	28.0	17.0
Финны	7447.0	6.0	565.0	149.0	1801.0	1280.0	896.0	1194.0	1472.0	66.0	35.0	18.0
Вепсы	1954.0	-	90.0	14.0	379.0	259.0	184.0	323.0	634.0	70.0	49.0	1.0
Ижорцы	174.0	-	12.0	1.0	26.0	19.0	13.0	36.0	59.0	6.0	1.0	2.0
Городское население	950637.0	2443.0	148330.0	30868.0	292749.0	125145.0	142864.0	117285.0	58484.0	3906.0	1933.0	28563.0
Русские	847695.0	2090.0	132152.0	28449.0	268638.0	116732.0	131407.0	109459.0	53269.0	3352.0	1620.0	2147.0
Украинцы	25147.0	112.0	6236.0	694.0	8941.0	2681.0	3185.0	1985.0	1204.0	68.0	31.0	41.0
Белорусы	15000.0	61.0	2795.0	333.0	5066.0	1883.0	1996.0	1543.0	1223.0	68.0	29.0	32.0
Татары	5585.0	21.0	1193.0	185.0	1849.0	660.0	821.0	531.0	290.0	26.0	19.0	9.0
Финны	2368.0	1.0	283.0	62.0	692.0	302.0	341.0	369.0	299.0	16.0	12.0	3.0
Вепсы	496.0	-	43.0	6.0	141.0	63.0	52.0	61.0	117.0	12.0	6.0	1.0
Ижорцы	46.0	-	6.0	1.0	11.0	4.0	2.0	8.0	11.0	2.0	-	1.0
Сельское население	481018.0	1015.0	50357.0	10655.0	128547.0	87434.0	66178.0	76368.0	52714.0	3580.0	1868.0	4170.0
Русские	426803.0	861.0	43384.0	9528.0	114556.0	79263.0	58901.0	69621.0	46938.0	2947.0	1447.0	804.0
Украинцы	14442.0	51.0	2488.0	322.0	4696.0	2238.0	2059.0	1568.0	943.0	58.0	29.0	19.0
Белорусы	10179.0	35.0	1370.0	210.0	2879.0	1819.0	1207.0	1277.0	1243.0	97.0	53.0	42.0
Татары	3073.0	5.0	486.0	96.0	971.0	455.0	434.0	392.0	209.0	17.0	9.0	8.0
Финны	5079.0	5.0	282.0	87.0	1109.0	978.0	555.0	825.0	1173.0	50.0	23.0	15.0
Вепсы	1458.0	-	47.0	8.0	238.0	196.0	132.0	262.0	517.0	58.0	43.0	-
Ижорцы	128.0	-	6.0	-	15.0	15.0	11.0	28.0	48.0	4.0	1.0	1.0
Мурманская область												
Все население	746070.0	1455.0	114167.0	18806.0	224070.0	116804.0	141820.0	88370.0	29372.0	2762.0	1346.0	8444.0
Русские	628105.0	1206.0	96050.0	16572.0	187003.0	99768.0	120913.0	78090.0	25079.0	2344.0	1147.0	1080.0
Украинцы	52463.0	139.0	9757.0	1095.0	19808.0	7585.0	8942.0	3699.0	1311.0	99.0	47.0	28.0
Белорусы	19261.0	34.0	3016.0	336.0	6333.0	3027.0	3169.0	2026.0	1212.0	94.0	43.0	14.0
Татары	7242.0	12.0	994.0	147.0	2271.0	1255.0	1436.0	781.0	301.0	39.0	22.0	6.0
Карелы	2123.0	1.0	181.0	28.0	594.0	383.0	335.0	294.0	281.0	25.0	9.0	1.0
Коми	1820.0	2.0	171.0	28.0	409.0	398.0	356.0	319.0	125.0	11.0	6.0	1.0
Саамы	1355.0	2.0	96.0	32.0	185.0	310.0	274.0	294.0	139.0	23.0	10.0	-
Городское население	688950.0	1377.0	106142.0	18092.0	207138.0	106576.0	131211.0	80479.0	27123.0	2567.0	1263.0	8245.0
Русские	584451.0	1151.0	89738.0	16011.0	174388.0	91758.0	112902.0	71808.0	23408.0	2217.0	1094.0	1070.0
Украинцы	46857.0	124.0	8837.0	1022.0	17468.0	6809.0	7993.0	3277.0	1212.0	90.0	43.0	25.0
Белорусы	17706.0	33.0	2738.0	322.0	5776.0	2794.0	2928.0	1872.0	1141.0	89.0	43.0	13.0
Татары	6478.0	9.0	891.0	139.0	2041.0	1101.0	1279.0	698.0	280.0	34.0	19.0	6.0
Карелы	1789.0	1.0	169.0	27.0	517.0	331.0	281.0	222.0	219.0	21.0	8.0	1.0
Коми	694.0	2.0	117.0	22.0	208.0	114.0	123.0	87.0	17.0	4.0	3.0	-
Саамы	548.0	1.0	59.0	17.0	113.0	108.0	115.0	85.0	39.0	11.0	4.0	-
Сельское население	57120.0	78.0	8025.0	714.0	16932.0	10228.0	10609.0	7891.0	2249.0	195.0	83.0	199.0
Русские	43654.0	55.0	6312.0	561.0	12615.0	8010.0	8011.0	6282.0	1671.0	127.0	53.0	10.0
Украинцы	5606.0	15.0	920.0	73.0	2340.0	776.0	949.0	422.0	99.0	9.0	4.0	3.0
Белорусы	1555.0	1.0	278.0	14.0	557.0	233.0	241.0	154.0	71.0	5.0	-	1.0
Татары	764.0	3.0	103.0	8.0	230.0	154.0	157.0	83.0	21.0	5.0	3.0	-
Карелы	334.0	-	12.0	1.0	77.0	52.0	54.0	72.0	62.0	4.0	1.0	-
Коми	1126.0	-	54.0	6.0	201.0	284.0	233.0	232.0	108.0	7.0	3.0	1.0
Саамы	807.0	1.0	37.0	15.0	72.0	202.0	159.0	209.0	100.0	12.0	6.0	-
Новгородская область												
Все население	590282.0	1297.0	77984.0	13227.0	162360.0	80084.0	93377.0	89844.0	61078.0	6366.0	3107.0	4665.0
Русские	553436.0	1189.0	72059.0	12459.0	153163.0	76265.0	88203.0	85872.0	58359.0	5435.0	2517.0	432.0
Украинцы	9996.0	39.0	2142.0	219.0	3471.0	1252.0	1350.0	934.0	536.0	48.0	17.0	5.0
Белорусы	5073.0	15.0	1073.0	108.0	1703.0	627.0	656.0	497.0	361.0	32.0	14.0	1.0
Городское население	411669.0	1061.0	65922.0	11480.0	123599.0	50617.0	69608.0	55092.0	27358.0	2354.0	1092.0	4578.0
Русские	384939.0	973.0	61055.0	10847.0	116845.0	48258.0	65914.0	52657.0	25975.0	2043.0	898.0	372.0
Украинцы	7070.0	30.0	1733.0	172.0	2508.0	772.0	940.0	581.0	303.0	29.0	11.0	2.0
Белорусы	3729.0	9.0	898.0	82.0	1311.0	389.0	502.0	311.0	209.0	17.0	6.0	1.0
Сельское население	178613.0	236.0	12062.0	1747.0	38761.0	29467.0	23769.0	34752.0	33720.0	4012.0	2015.0	87.0
Русские	168497.0	216.0	11004.0	1612.0	36318.0	28007.0	22289.0	33215.0	32384.0	3392.0	1619.0	60.0
Украинцы	2926.0	9.0	409.0	47.0	963.0	480.0	410.0	353.0	233.0	19.0	6.0	3.0
Белорусы	1344.0	6.0	175.0	26.0	392.0	238.0	154.0	186.0	152.0	15.0	8.0	-
Псковская область												
Все население	650111.0	1045.0	82098.0	12403.0	177344.0	94134.0	103898.0	93785.0	75891.0	7442.0	3521.0	2071.0
Русские	611119.0	940.0	75163.0	11687.0	166465.0	89434.0	97974.0	89290.0	72716.0	6753.0	3110.0	697.0
Украинцы	11819.0	38.0	2590.0	222.0	4051.0	1491.0	1622.0	1102.0	642.0	59.0	26.0	2.0
Белорусы	9132.0	36.0	1833.0	169.0	3040.0	1222.0	1261.0	892.0	613.0	62.0	28.0	4.0
Городское население	427384.0	903.0	68032.0	10557.0	131677.0	57308.0	75198.0	52310.0	27423.0	2086.0	963.0	1890.0
Русские	400533.0	816.0	62295.0	10001.0	123884.0	54457.0	71122.0	49747.0	25891.0	1771.0	773.0	549.0
Украинцы	8528.0	34.0	2210.0	176.0	3007.0	938.0	1124.0	661.0	349.0	27.0	14.0	2.0
Белорусы	6233.0	27.0	1458.0	133.0	2137.0	743.0	899.0	505.0	303.0	26.0	10.0	2.0
Сельское население	222727.0	142.0	14066.0	1846.0	45667.0	36826.0	28700.0	41475.0	48468.0	5356.0	2558.0	181.0
Русские	210586.0	124.0	12868.0	1686.0	42581.0	34977.0	26852.0	39543.0	46825.0	4982.0	2337.0	148.0
Украинцы	3291.0	4.0	380.0	46.0	1044.0	553.0	498.0	441.0	293.0	32.0	12.0	-
Белорусы	2899.0	9.0	375.0	36.0	903.0	479.0	362.0	387.0	310.0	36.0	18.0	2.0
г. Санкт–Петербург												
Городское население	4076854.0	32315.0	1032284.0	228977.0	1089189.0	316018.0	561988.0	334063.0	124428.0	8447.0	2287.0	349145.0
Русские	3445108.0	28294.0	927755.0	210041.0	996185.0	290522.0	508552.0	310868.0	113721.0	6668.0	1979.0	52502.0
Украинцы	84016.0	998.0	28998.0	3828.0	25618.0	6441.0	10228.0	4665.0	2220.0	141.0	43.0	879.0
Белорусы	52789.0	417.0	13274.0	1937.0	16783.0	5665.0	7319.0	4174.0	2565.0	137.0	50.0	518.0
Евреи	35299.0	947.0	20784.0	1562.0	6192.0	1009.0	2433.0	1274.0	468.0	68.0	12.0	562.0
Татары	32646.0	218.0	7458.0	1687.0	9999.0	3051.0	5184.0	3024.0	1477.0	114.0	62.0	434.0
Финны	3766.0	32.0	779.0	208.0	1175.0	396.0	550.0	378.0	196.0	6.0	3.0	46.0
Узбеки	2528.0	31.0	591.0	170.0	740.0	189.0	560.0	162.0	48.0	8.0	-	29.0
Казахи	2523.0	25.0	597.0	239.0	667.0	178.0	621.0	131.0	34.0	1.0	1.0	30.0
Южный федеральный округ												
Республика Адыгея												
Все население	368205.0	906.0	53491.0	10847.0	94100.0	46312.0	71967.0	53398.0	30939.0	4875.0	2980.0	1370.0
Адыгейцы	85566.0	348.0	16798.0	3712.0	21063.0	8964.0	18746.0	9092.0	5452.0	1387.0	1120.0	4.0
Русские	241061.0	452.0	31403.0	6083.0	64285.0	32799.0	44403.0	37635.0	21475.0	2507.0	1195.0	19.0
Армяне	12150.0	19.0	1277.0	287.0	2488.0	1524.0	3487.0	2247.0	727.0	90.0	48.0	4.0
Украинцы	8677.0	26.0	1440.0	159.0	2379.0	988.0	1279.0	1189.0	1083.0	134.0	53.0	-
Городское население	197160.0	716.0	37850.0	7265.0	55458.0	20008.0	37282.0	25523.0	10926.0	1308.0	644.0	824.0
Адыгейцы	35479.0	293.0	9706.0	1953.0	8834.0	2861.0	7266.0	3372.0	994.0	197.0	146.0	3.0
