7. ЧАСТНЫЕ ДОМОХОЗЯЙСТВА, СОСТОЯЩИЕ ИЗ ДВУХ И БОЛЕЕ ЧЕЛОВЕК, ПО ЧИСЛУ ЗАНЯТЫХ В ЭКОНОМИКЕ И ЧИСЛУ ИЖДИВЕНЦЕВ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ 							
							
	Число частных домохозяйств	Из них домохозяйства, в которых имеются иждивенцы	в том числе домохозяйства с количеством иждивенцев				Домохозяйства, в которых нет иждивенцев
1 человека	5185.0	3927.0	1499.0	1226.0	1202.0	4222.0	1258.0
2 человек	9400.0	6262.0	2733.0	2318.0	1211.0	3888.0	3138.0
3 человек	5779.0	3978.0	2272.0	1360.0	346.0	1123.0	1801.0
4 человек	2656.0	1474.0	1096.0	275.0	103.0	336.0	1182.0
5 и более человек	584.0	278.0	167.0	60.0	51.0	188.0	306.0
в них занятых	3155.0	1456.0	858.0	309.0	289.0		1699.0
Домохозяйства, в которых есть занятые	232837.0	101860.0	73924.0	23065.0	4871.0	15631.0	130977.0
в них членов домохозяйств	743708.0	366142.0	247067.0	93977.0	25098.0		377566.0
Домохозяйства, в которых нет занятых	73479.0	18434.0	13086.0	4002.0	1346.0	4607.0	55045.0
в них членов домохозяйств	177076.0	53720.0	34503.0	13119.0	6098.0		123356.0
Тамбовская область							
Все домохозяйства	343944.0	116591.0	86264.0	24171.0	6156.0	20237.0	227353.0
в них членов домохозяйств	1050939.0	418723.0	290312.0	97145.0	31266.0		632216.0
Из общего числа домохозяйств - домохозяйства, состоящие из:							
2 человек	132945.0	17628.0	16804.0	824.0			115317.0
из них имеют занятых							
1 человека	41310.0	8827.0	8827.0				32483.0
2 человек	20349.0						20349.0
3 человек	108468.0	43731.0	36467.0	6868.0	396.0	1188.0	64737.0
из них имеют занятых							
1 человека	40058.0	19461.0	14603.0	4858.0			20597.0
2 человек	43047.0	15356.0	15356.0				27691.0
3 человек	5733.0						5733.0
4 человек	69520.0	35240.0	22212.0	10642.0	2386.0	7294.0	34280.0
из них имеют занятых							
1 человека	22949.0	13824.0	8303.0	3801.0	1720.0	5160.0	9125.0
2 человек	29718.0	13706.0	8463.0	5243.0			16012.0
3 человек	7297.0	2916.0	2916.0				4381.0
4 человек	1052.0						1052.0
5 и более человек	33011.0	19992.0	10781.0	5837.0	3374.0	11755.0	13019.0
в них членов домохозяйств	181565.0	111314.0	58455.0	32325.0	20534.0		70251.0
из них имеют занятых							
1 человека	9041.0	6081.0	3031.0	1724.0	1326.0	4643.0	2960.0
2 человек	11685.0	6678.0	3532.0	2203.0	943.0	3095.0	5007.0
3 человек	5612.0	3361.0	2246.0	895.0	220.0	747.0	2251.0
4 человек	2189.0	1080.0	828.0	170.0	82.0	295.0	1109.0
5 и более человек	377.0	145.0	95.0	32.0	18.0	70.0	232.0
в них занятых	1981.0	763.0	494.0	168.0	101.0		1218.0
Домохозяйства, в которых есть занятые	240417.0	91435.0	68200.0	18926.0	4309.0	14010.0	148982.0
в них членов домохозяйств	792211.0	340070.0	238917.0	78546.0	22607.0		452141.0
Домохозяйства, в которых нет занятых	103527.0	25156.0	18064.0	5245.0	1847.0	6227.0	78371.0
в них членов домохозяйств	258728.0	78653.0	51395.0	18599.0	8659.0		180075.0
Тверская область							
Все домохозяйства	431947.0	134354.0	101113.0	26883.0	6358.0	20808.0	297593.0
в них членов домохозяйств	1285827.0	473885.0	333685.0	108284.0	31916.0		811942.0
Из общего числа домохозяйств - домохозяйства, состоящие из:							
2 человек	179462.0	22100.0	21203.0	897.0			157362.0
из них имеют занятых							
1 человека	60509.0	13193.0	13193.0				47316.0
2 человек	39289.0						39289.0
3 человек	135409.0	51291.0	44033.0	6878.0	380.0	1140.0	84118.0
из них имеют занятых							
1 человека	41906.0	20132.0	14550.0	5582.0			21774.0
2 человек	65384.0	24720.0	24720.0				40664.0
3 человек	12581.0						12581.0
4 человек	81661.0	40088.0	24795.0	12845.0	2448.0	7434.0	41573.0
из них имеют занятых							
1 человека	19516.0	12447.0	6964.0	3444.0	2039.0	6117.0	7069.0
2 человек	40397.0	19315.0	10789.0	8526.0			21082.0
3 человек	13758.0	5661.0	5661.0				8097.0
4 человек	2884.0						2884.0
5 и более человек	35415.0	20875.0	11082.0	6263.0	3530.0	12234.0	14540.0
в них членов домохозяйств	194032.0	115460.0	60000.0	34476.0	20984.0		78572.0
из них имеют занятых							
1 человека	6805.0	4688.0	2057.0	1302.0	1329.0	4741.0	2117.0
2 человек	12887.0	7532.0	3677.0	2620.0	1235.0	4004.0	5355.0
3 человек	8398.0	4952.0	3097.0	1525.0	330.0	1110.0	3446.0
4 человек	3917.0	1886.0	1444.0	349.0	93.0	306.0	2031.0
5 и более человек	862.0	316.0	226.0	57.0	33.0	122.0	546.0
в них занятых	4772.0	1634.0	1163.0	295.0	176.0		3138.0
Домохозяйства, в которых есть занятые	329093.0	114842.0	86378.0	23405.0	5059.0	16400.0	214251.0
в них членов домохозяйств	1044991.0	417530.0	294580.0	96844.0	26106.0		627461.0
Домохозяйства, в которых нет занятых	102854.0	19512.0	14735.0	3478.0	1299.0	4408.0	83342.0
в них членов домохозяйств	240836.0	56355.0	39105.0	11440.0	5810.0		184481.0
Тульская область							
Все домохозяйства	490284.0	177229.0	131938.0	36822.0	8469.0	27818.0	313055.0
в них членов домохозяйств	1483339.0	634145.0	440305.0	150256.0	43584.0		849194.0
Из общего числа домохозяйств - домохозяйства, состоящие из:							
2 человек	195897.0	27919.0	26797.0	1122.0			167978.0
из них имеют занятых							
1 человека	73808.0	16800.0	16800.0				57008.0
2 человек	37039.0						37039.0
3 человек	154568.0	66044.0	56288.0	9327.0	429.0	1287.0	88524.0
из них имеют занятых							
1 человека	53684.0	26510.0	19187.0	7323.0			27174.0
2 человек	69767.0	30634.0	30634.0				39133.0
3 человек	13127.0						13127.0
4 человек	93227.0	52393.0	32684.0	16737.0	2972.0	9030.0	40834.0
из них имеют занятых							
1 человека	24507.0	16487.0	9092.0	5042.0	2353.0	7059.0	8020.0
2 человек	43648.0	24704.0	14508.0	10196.0			18944.0
3 человек	16005.0	7096.0	7096.0				8909.0
4 человек	2810.0						2810.0
5 и более человек	46592.0	30873.0	16169.0	9636.0	5068.0	17501.0	15719.0
в них членов домохозяйств	254933.0	170603.0	87111.0	53083.0	30409.0		84330.0
из них имеют занятых							
1 человека	8978.0	6798.0	2826.0	2071.0	1901.0	6689.0	2180.0
2 человек	17239.0	11384.0	5573.0	4154.0	1657.0	5355.0	5855.0
3 человек	11535.0	7442.0	4765.0	2180.0	497.0	1676.0	4093.0
4 человек	4864.0	2636.0	1986.0	526.0	124.0	410.0	2228.0
5 и более человек	963.0	441.0	299.0	93.0	49.0	186.0	522.0
в них занятых	5018.0	2297.0	1531.0	492.0	274.0		2721.0
Домохозяйства, в которых есть занятые	377974.0	150932.0	112766.0	31585.0	6581.0	21375.0	227042.0
в них членов домохозяйств	1217160.0	556440.0	389032.0	132631.0	34777.0		660720.0
Домохозяйства, в которых нет занятых	112310.0	26297.0	19172.0	5237.0	1888.0	6443.0	86013.0
в них членов домохозяйств	266179.0	77705.0	51273.0	17625.0	8807.0		188474.0
Ярославская область							
Все домохозяйства	402167.0	145699.0	109332.0	30188.0	6179.0	20286.0	256468.0
в них членов домохозяйств	1196147.0	511383.0	358518.0	121612.0	31253.0		684764.0
Из общего числа домохозяйств - домохозяйства, состоящие из:							
2 человек	162402.0	21807.0	21109.0	698.0			140595.0
из них имеют занятых							
1 человека	62085.0	14864.0	14864.0				47221.0
2 человек	38862.0						38862.0
3 человек	131419.0	58301.0	50791.0	7269.0	241.0	723.0	73118.0
из них имеют занятых							
1 человека	38858.0	20266.0	14040.0	6226.0			18592.0
2 человек	68248.0	33257.0	33257.0				34991.0
3 человек	13599.0						13599.0
4 человек	77689.0	44817.0	26763.0	15642.0	2412.0	7299.0	32872.0
из них имеют занятых							
1 человека	15712.0	11045.0	5376.0	3534.0	2135.0	6405.0	4667.0
2 человек	40338.0	24321.0	12839.0	11482.0			16017.0
3 человек	15496.0	7689.0	7689.0				7807.0
4 человек	3150.0						3150.0
5 и более человек	30657.0	20774.0	10669.0	6579.0	3526.0	12264.0	9883.0
в них членов домохозяйств	166330.0	113598.0	56875.0	35841.0	20882.0		52732.0
из них имеют занятых							
1 человека	4996.0	3780.0	1399.0	1075.0	1306.0	4703.0	1216.0
2 человек	11419.0	7739.0	3413.0	2930.0	1396.0	4587.0	3680.0
3 человек	8011.0	5516.0	3349.0	1799.0	368.0	1261.0	2495.0
4 человек	4117.0	2484.0	1937.0	445.0	102.0	358.0	1633.0
5 и более человек	856.0	434.0	304.0	86.0	44.0	165.0	422.0
в них занятых	4459.0	2300.0	1559.0	451.0	290.0		2159.0
Домохозяйства, в которых есть занятые	325747.0	131395.0	98467.0	27577.0	5351.0	17479.0	194352.0
в них членов домохозяйств	1022057.0	471503.0	330640.0	113260.0	27603.0		550554.0
Домохозяйства, в которых нет занятых	76420.0	14304.0	10865.0	2611.0	828.0	2807.0	62116.0
в них членов домохозяйств	174090.0	39880.0	27878.0	8352.0	3650.0		134210.0
г. Москва							
Все домохозяйства	2776182.0	1295289.0	816294.0	361838.0	117157.0	384372.0	1480893.0
в них членов домохозяйств	9270067.0	4803221.0	2710183.0	1479975.0	613063.0		4466846.0
Из общего числа домохозяйств - домохозяйства, состоящие из:							
2 человек	998515.0	201397.0	190321.0	11076.0			797118.0
из них имеют занятых							
1 человека	441918.0	145695.0	145695.0				296223.0
2 человек	233452.0						233452.0
3 человек	818800.0	427444.0	327736.0	95265.0	4443.0	13329.0	391356.0
из них имеют занятых							
1 человека	296852.0	189350.0	108294.0	81056.0			107502.0
2 человек	330310.0	190291.0	190291.0				140019.0
3 человек	90288.0						90288.0
4 человек	594493.0	414112.0	205586.0	162362.0	46164.0	139979.0	180381.0
из них имеют занятых							
1 человека	150270.0	129396.0	45003.0	44598.0	39795.0	119385.0	20874.0
2 человек	252331.0	196065.0	88484.0	107581.0			56266.0
3 человек	109290.0	62360.0	62360.0				46930.0
4 человек	35461.0						35461.0
5 и более человек	364374.0	252336.0	92651.0	93135.0	66550.0	231064.0	112038.0
в них членов домохозяйств	2438665.0	1461647.0	523989.0	522580.0	415078.0		977018.0
из них имеют занятых							
1 человека	52180.0	46612.0	9440.0	14430.0	22742.0	80400.0	5568.0
2 человек	101244.0	87499.0	26526.0	37320.0	23653.0	77572.0	13745.0
3 человек	78796.0	64233.0	28302.0	27177.0	8754.0	29470.0	14563.0
4 человек	42039.0	28766.0	18191.0	7525.0	3050.0	10710.0	13273.0
5 и более человек	58027.0	12331.0	6932.0	3010.0	2389.0	9321.0	45696.0
в них занятых	561613.0	88188.0	48740.0	21107.0	18341.0		473425.0
Домохозяйства, в которых есть занятые	2272458.0	1152598.0	729518.0	322697.0	100383.0	326858.0	1119860.0
в них членов домохозяйств	7854708.0	4364965.0	2474152.0	1353364.0	537449.0		3489743.0
Домохозяйства, в которых нет занятых	503724.0	142691.0	86776.0	39141.0	16774.0	57514.0	361033.0
в них членов домохозяйств	1415359.0	438256.0	236031.0	126611.0	75614.0		977103.0
Северо-Западный федеральный округ							
Все домохозяйства	4032904.0	1599224.0	1125664.0	382103.0	91457.0	297409.0	2433680.0
в них членов домохозяйств	12346887.0	5684162.0	3687932.0	1531666.0	464564.0		6662725.0
Из общего числа домохозяйств - домохозяйства, состоящие из:							
2 человек	1527867.0	245297.0	233920.0	11377.0			1282570.0
из них имеют занятых							
1 человека	598950.0	167044.0	167044.0				431906.0
2 человек	358945.0						358945.0
3 человек	1301967.0	608696.0	506600.0	97986.0	4110.0	12330.0	693271.0
из них имеют занятых							
1 человека	419036.0	236086.0	153191.0	82895.0			182950.0
2 человек	610712.0	310624.0	310624.0				300088.0
3 человек	120236.0						120236.0
4 человек	831380.0	495417.0	270137.0	189538.0	35742.0	108450.0	335963.0
из них имеют занятых							
1 человека	191957.0	139807.0	65073.0	44432.0	30302.0	90906.0	52150.0
2 человек	403825.0	253880.0	118913.0	134967.0			149945.0
3 человек	141657.0	72664.0	72664.0				68993.0
4 человек	30473.0						30473.0
5 и более человек	371690.0	249814.0	115007.0	83202.0	51605.0	176629.0	121876.0
в них членов домохозяйств	2059732.0	1385812.0	619744.0	456802.0	309266.0		673920.0
из них имеют занятых							
1 человека	64856.0	49729.0	18017.0	14465.0	17247.0	60760.0	15127.0
2 человек	131923.0	92492.0	36676.0	35231.0	20585.0	66638.0	39431.0
3 человек	89110.0	62402.0	33637.0	22838.0	5927.0	19826.0	26708.0
4 человек	42410.0	25311.0	18142.0	5201.0	1968.0	6740.0	17099.0
5 и более человек	11895.0	5515.0	3322.0	1325.0	868.0	3392.0	6380.0
в них занятых	66198.0	30292.0	17575.0	7216.0	5501.0		35906.0
Домохозяйства, в которых есть занятые	3215985.0	1415554.0	997303.0	341354.0	76897.0	248262.0	1800431.0
