1. ПРОДОЛЖИТЕЛЬНОСТЬ ПРОЖИВАНИЯ НАСЕЛЕНИЯ ЧАСТНЫХ ДОМОХОЗЯЙСТВ В МЕСТЕ								
ПОСТОЯННОГО ЖИТЕЛЬСТВА ПО ПОЛУ И ВОЗРАСТНЫМ ГРУППАМ								
ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ								
								
	Всего	в том числе население в возрасте			Возраст не указан	Из общей численности – население в возрасте, в процентах		
с рождения	422643.0	110874.0	255175.0	56585.0	9.0	26.2334878373	60.3760147453	13.3883679607
не с рождения	192861.0	13795.0	137549.0	41513.0	4.0	7.15281990656	71.3202772982	21.5248287627
в том числе:								
с 1992-2002 года	66295.0	11291.0	49429.0	5575.0	-	17.0314503356	74.559167358	8.40938230636
с 1989-1991 года	15767.0	1637.0	12608.0	1522.0	-	10.3824443458	79.9644827805	9.65307287372
с 1988 года и ранее	108952.0	560.0	74178.0	34210.0	4.0	0.513987811146	68.0831925986	31.3991482488
год не указан	1847.0	307.0	1334.0	206.0	-	16.621548457	72.2252301029	11.1532214402
не указавшие непрерывность проживания в месте постоянного жительства	2340.0	576.0	1406.0	313.0	45.0	24.6153846154	60.0854700855	13.3760683761
Женщины, проживающие непрерывно в месте постоянного жительства	746714.0	119467.0	399276.0	227912.0	59.0	15.9990304186	53.4710746015	30.521993695
с рождения	488792.0	105688.0	247654.0	135434.0	16.0	21.6222851438	50.6665411873	27.707900293
не с рождения	254780.0	13192.0	149944.0	91639.0	5.0	5.17780045529	58.8523431981	35.9678938692
в том числе:								
с 1992-2002 года	75268.0	10690.0	51190.0	13386.0	2.0	14.2025827709	68.0103098262	17.7844502312
с 1989-1991 года	18817.0	1652.0	13810.0	3355.0	-	8.77929531806	73.3910825318	17.8296221502
с 1988 года и ранее	158323.0	494.0	83676.0	74150.0	3.0	0.312020363434	52.8514492525	46.8346355236
год не указан	2372.0	356.0	1268.0	748.0	-	15.0084317032	53.4569983137	31.5345699831
не указавшие непрерывность проживания в месте постоянного жительства	3142.0	587.0	1678.0	839.0	38.0	18.6823679185	53.4054742202	26.7027371101
Городское население								
Мужчины и женщины, проживающие непрерывно в месте постоянного жительства	930983.0	164600.0	570205.0	196097.0	81.0	17.6802369109	61.2476275077	21.0634351003
с рождения	605485.0	147900.0	366242.0	91325.0	18.0	24.4266992576	60.4873778871	15.0829500318
не с рождения	321340.0	15848.0	201498.0	103988.0	6.0	4.93184788697	62.7055455281	32.3607394037
в том числе:								
с 1992-2002 года	86316.0	12805.0	62552.0	10958.0	1.0	14.8350247926	72.4686037351	12.6952129385
с 1989-1991 года	20024.0	1893.0	15460.0	2671.0	-	9.45365561326	77.2073511786	13.3389932082
с 1988 года и ранее	211894.0	685.0	121547.0	89657.0	5.0	0.32327484497	57.3621716519	42.3121938328
год не указан	3106.0	465.0	1939.0	702.0	-	14.9710238249	62.4275595621	22.601416613
не указавшие непрерывность проживания в месте постоянного жительства	4158.0	852.0	2465.0	784.0	57.0	20.4906204906	59.2833092833	18.8552188552
Мужчины, проживающие непрерывно в месте постоянного жительства	418291.0	84230.0	274927.0	59096.0	38.0	20.1366990923	65.7262527762	14.1279635469
с рождения	281322.0	75700.0	178896.0	26720.0	6.0	26.9086669368	63.5911873227	9.49801295313
не с рождения	135225.0	8114.0	94931.0	32177.0	3.0	6.00036975411	70.2022555001	23.7951562211
в том числе:								
с 1992-2002 года	39489.0	6564.0	29868.0	3057.0	-	16.622350528	75.6362531338	7.74139633822
с 1989-1991 года	9101.0	976.0	7311.0	814.0	-	10.7240962532	80.3318316668	8.94407207999
с 1988 года и ранее	85281.0	354.0	56780.0	28144.0	3.0	0.415098322018	66.579894701	33.0014891945
год не указан	1354.0	220.0	972.0	162.0	-	16.2481536189	71.7872968981	11.964549483
не указавшие непрерывность проживания в месте постоянного жительства	1744.0	416.0	1100.0	199.0	29.0	23.8532110092	63.0733944954	11.4105504587
Женщины, проживающие непрерывно в месте постоянного жительства	512692.0	80370.0	295278.0	137001.0	43.0	15.6760784253	57.5936429669	26.721891506
с рождения	324163.0	72200.0	187346.0	64605.0	12.0	22.2727455015	57.7937642482	19.9297884089
не с рождения	186115.0	7734.0	106567.0	71811.0	3.0	4.15549525831	57.2586841469	38.5842086882
в том числе:								
с 1992-2002 года	46827.0	6241.0	32684.0	7901.0	1.0	13.3277809811	69.7973391419	16.8727443569
с 1989-1991 года	10923.0	917.0	8149.0	1857.0	-	8.39512954317	74.6040465074	17.0008239495
с 1988 года и ранее	126613.0	331.0	64767.0	61513.0	2.0	0.261426551776	51.1535150419	48.5834787897
год не указан	1752.0	245.0	967.0	540.0	-	13.9840182648	55.1940639269	30.8219178082
не указавшие непрерывность проживания в месте постоянного жительства	2414.0	436.0	1365.0	585.0	28.0	18.0613090307	56.5451532726	24.2336371168
Сельское население								
Мужчины и женщины, проживающие непрерывно в месте постоянного жительства	433575.0	80112.0	223201.0	130226.0	36.0	18.4770800899	51.4792135155	30.0354033328
с рождения	305950.0	68662.0	136587.0	100694.0	7.0	22.4422291224	44.6435692107	32.9119137114
не с рождения	126301.0	11139.0	85995.0	29164.0	3.0	8.81940760564	68.0873468935	23.0908702227
в том числе:								
с 1992-2002 года	55247.0	9176.0	38067.0	8003.0	1.0	16.6090466451	68.9032888664	14.4858544355
с 1989-1991 года	14560.0	1396.0	10958.0	2206.0	-	9.58791208791	75.260989011	15.1510989011
с 1988 года и ранее	55381.0	369.0	36307.0	18703.0	2.0	0.666293494159	65.5585850743	33.7715100847
год не указан	1113.0	198.0	663.0	252.0	-	17.7897574124	59.5687331536	22.641509434
не указавшие непрерывность проживания в месте постоянного жительства	1324.0	311.0	619.0	368.0	26.0	23.4894259819	46.752265861	27.7945619335
Мужчины, проживающие непрерывно в месте постоянного жительства	199553.0	41015.0	119203.0	39315.0	20.0	20.5534369315	59.7350077423	19.7015329261
с рождения	141321.0	35174.0	76279.0	29865.0	3.0	24.8894361065	53.9757007097	21.1327403571
не с рождения	57636.0	5681.0	42618.0	9336.0	1.0	9.85668679298	73.9433687279	16.1982094524
в том числе:								
с 1992-2002 года	26806.0	4727.0	19561.0	2518.0	-	17.634111766	72.9724688503	9.39341938372
с 1989-1991 года	6666.0	661.0	5297.0	708.0	-	9.91599159916	79.4629462946	10.6210621062
с 1988 года и ранее	23671.0	206.0	17398.0	6066.0	1.0	0.870263191247	73.499218453	25.6262937772
год не указан	493.0	87.0	362.0	44.0	-	17.6470588235	73.4279918864	8.92494929006
не указавшие непрерывность проживания в месте постоянного жительства	596.0	160.0	306.0	114.0	16.0	26.8456375839	51.3422818792	19.1275167785
Женщины, проживающие непрерывно в месте постоянного жительства	234022.0	39097.0	103998.0	90911.0	16.0	16.7065489569	44.4394116792	38.8472023998
с рождения	164629.0	33488.0	60308.0	70829.0	4.0	20.3414951193	36.6326710361	43.023404139
не с рождения	68665.0	5458.0	43377.0	19828.0	2.0	7.94873661982	63.1719216486	28.8764290395
в том числе:								
с 1992-2002 года	28441.0	4449.0	18506.0	5485.0	1.0	15.6429098836	65.0680355824	19.2855384832
с 1989-1991 года	7894.0	735.0	5661.0	1498.0	-	9.31086901444	71.7126931847	18.9764378009
с 1988 года и ранее	31710.0	163.0	18909.0	12637.0	1.0	0.514033427941	59.6310312204	39.8517817723
год не указан	620.0	111.0	301.0	208.0	-	17.9032258065	48.5483870968	33.5483870968
не указавшие непрерывность проживания в месте постоянного жительства	728.0	151.0	313.0	254.0	10.0	20.7417582418	42.9945054945	34.8901098901
Владимирская область								
Городское и сельское население								
Мужчины и женщины, проживающие непрерывно в месте постоянного жительства	1496443.0	242949.0	885856.0	366443.0	1195.0	16.235098831	59.1974435378	24.4876015993
с рождения	871259.0	208413.0	509360.0	153358.0	128.0	23.9209006736	58.4625237731	17.6018841699
не с рождения	601908.0	30439.0	362637.0	208777.0	55.0	5.05708513593	60.247911641	34.685865614
в том числе:								
с 1992-2002 года	157764.0	24051.0	105896.0	27810.0	7.0	15.2449227961	67.1230445476	17.6275956492
с 1989-1991 года	38230.0	3484.0	29039.0	5704.0	3.0	9.11326183625	75.9586712006	14.9202197227
с 1988 года и ранее	397941.0	1765.0	223458.0	172676.0	42.0	0.443533086563	56.1535504007	43.3923621843
год не указан	7973.0	1139.0	4244.0	2587.0	3.0	14.2857142857	53.229650069	32.4470086542
не указавшие непрерывность проживания в месте постоянного жительства	23276.0	4097.0	13859.0	4308.0	1012.0	17.6018216188	59.5420175288	18.5083347654
Мужчины, проживающие непрерывно в месте постоянного жительства	666841.0	123730.0	433962.0	108605.0	544.0	18.5546479596	65.0772822907	16.2864910826
с рождения	409231.0	105985.0	257878.0	45297.0	71.0	25.8985756211	63.015265217	11.0688095477
не с рождения	247072.0	15644.0	169317.0	62095.0	16.0	6.33175754436	68.5294165264	25.1323500842
в том числе:								
с 1992-2002 года	73156.0	12416.0	52406.0	8334.0	-	16.9719503527	71.6359560391	11.3920936082
с 1989-1991 года	17335.0	1706.0	13742.0	1887.0	-	9.84136140756	79.2731468128	10.8854917796
с 1988 года и ранее	153210.0	917.0	101106.0	51171.0	16.0	0.598524900463	65.9917759937	33.3992559232
год не указан	3371.0	605.0	2063.0	703.0	-	17.9471966775	61.198457431	20.8543458914
не указавшие непрерывность проживания в месте постоянного жительства	10538.0	2101.0	6767.0	1213.0	457.0	19.9373695198	64.2152211046	11.5107230974
Женщины, проживающие непрерывно в месте постоянного жительства	829602.0	119219.0	451894.0	257838.0	651.0	14.3706259146	54.4711801563	31.0797225658
с рождения	462028.0	102428.0	251482.0	108061.0	57.0	22.1692191815	54.4300345434	23.3884093605
не с рождения	354836.0	14795.0	193320.0	146682.0	39.0	4.16953184006	54.4815069497	41.3379702172
в том числе:								
с 1992-2002 года	84608.0	11635.0	53490.0	19476.0	7.0	13.7516546899	63.2209720121	23.0190998487
с 1989-1991 года	20895.0	1778.0	15297.0	3817.0	3.0	8.50921273032	73.2089016511	18.2675281168
с 1988 года и ранее	244731.0	848.0	122352.0	121505.0	26.0	0.346502895015	49.9944837393	49.6483894562
год не указан	4602.0	534.0	2181.0	1884.0	3.0	11.6036505867	47.3924380704	40.9387222947
не указавшие непрерывность проживания в месте постоянного жительства	12738.0	1996.0	7092.0	3095.0	555.0	15.6696498665	55.6759302873	24.2973779243
Городское население								
Мужчины и женщины, проживающие непрерывно в месте постоянного жительства	1192409.0	192275.0	720965.0	278075.0	1094.0	16.1249202245	60.4628948624	23.3204378699
с рождения	700269.0	166650.0	426162.0	107384.0	73.0	23.7979976266	60.8568992773	15.3346785307
не с рождения	471385.0	22204.0	282244.0	166895.0	42.0	4.71037474676	59.8754733392	35.4052419996
в том числе:								
с 1992-2002 года	116807.0	17622.0	79974.0	19208.0	3.0	15.086424615	68.4667870932	16.4442199526
с 1989-1991 года	26508.0	2436.0	20475.0	3594.0	3.0	9.1896785876	77.2408329561	13.5581711182
с 1988 года и ранее	321574.0	1231.0	178244.0	142066.0	33.0	0.382804579972	55.428610522	44.1783228744
год не указан	6496.0	915.0	3551.0	2027.0	3.0	14.085591133	54.664408867	31.203817734
не указавшие непрерывность проживания в месте постоянного жительства	20755.0	3421.0	12559.0	3796.0	979.0	16.4827752349	60.5107203084	18.2895687786
Мужчины, проживающие непрерывно в месте постоянного жительства	528997.0	97921.0	348583.0	81999.0	494.0	18.5106909869	65.8950806904	15.5008440502
с рождения	328018.0	84660.0	211974.0	31350.0	34.0	25.8095592315	64.622673146	9.55740233768
не с рождения	191574.0	11528.0	130487.0	49544.0	15.0	6.01751803481	68.1131051186	25.861546974
